Table 3 - RWA by Risk and Exposure Type under Basel 3 Advanced,September 30 2025
(Dollars in millions),RWA
Wholesale,,
Corporate,442319
Bank,11967
Sovereign,17847
Income-Producing Real Estate (IPRE),67268
High Volatility Commercial Real Estate (HVCRE),745
Total Wholesale RWA,540146
Retail,,
Residential Mortgage,37154
Qualifying Revolving Exposures,77450
Other Retail Exposures,40189
Total Retail RWA,154793
Counterparty,,
Eligible Margin Loans and Repo-Style Transactions,35293
OTC Derivatives,70242
Cleared Transactions,11017
Unsettled Transactions,801
Total Counterparty RWA,117353
Securitization Exposures,49265
Equity Exposures,63676
Credit Risk Supervisory Scalar,60169
CVA,49724
Market Risk,76367
Operational Risk,357067
All Other,77582
Total RWA,1546142
