Table 14 - Market Risk - Total Regulatory VaR,10-day Scaled Holding Period,,,
(Dollars in millions),Period End,Average,High,Low
Three months ended September 30 2025,,,,
Foreign exchange,62,62,98,32
Interest rate,157,169,207,130
Credit,135,138,162,118
Equities,79,68,101,49
Commodities,28,24,28,17
Portfolio diversification,-275,-266,NM,NM
Total Regulatory VaR,186,195,243,170
