Field No,Field Name,Technical Field Name,MDRM,Description,Allowable Values
100,Syndicated Loan Flag,SyndicatedLoanFlag,,"Report whether syndicated loan commitment is single signed, dual signed, closed but not settled, or closed and settled. For non-syndicated loans, report 0 (NA).","0=NA; 1=Single-signed; 2=Dual-signed; 3=Closed but not settled; 4=Closed and settled"
101,Target Hold,TargetHold,,"For syndicated pipeline loans (Options 1-3 in Field 100), report percentage of total commitment BHC/IHC/SLHC intends to hold. If option 0 or 4 in Field 100, report NA.","Decimal to 4 places (e.g. 0.05%=0.0005). No scientific notation. NA if option 0 or 4 in Field 100."
102,ASC326-20,ASC32620,,"Report allowance for credit losses per ASC 326-20. Provide at credit facility level if available, otherwise pro-rated allocation from collective (pool).","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimals. 0 if no reserve."
103,Purchased Credit Deteriorated Noncredit Discount,PCDNoncreditDiscount,,"If PCD asset, report noncredit discount/premium per ASC 326-20-30-13. Credit facility level if available, otherwise pro-rated from pool. Leave blank if not PCD.","Rounded whole dollar amount. No dollar sign, commas, or decimals."
104,Current Maturity Date,CurrentMaturityDate,,"Report maturity date exclusive of extension options. Demand loans = 9999-01-01. Syndicated pipeline: estimated maturity per commitment letter. Non-syndicated commitments to commit: estimated maturity per terms.","yyyy-mm-dd format (e.g. 2005-02-01)"
105,Committed Exposure Global Par Value,,,For HFS and FVO loans: report total commitment amount per credit agreement. If not HFS or FVO: report NA.,"Rounded whole dollar amount. No dollar sign, commas, or decimal. Negative sign for negatives. NA if not HFS/FVO."
106,Utilized Exposure Global Par Value,,,For HFS and FVO loans: report outstanding funded exposure. If not HFS or FVO: report NA.,"Rounded whole dollar amount. No dollar sign, commas, or decimal. Negative sign for negatives. NA if not HFS/FVO."
107,Committed Exposure Global Fair Value,,,For HFS and FVO loans: report fair value of entire credit facility. If not HFS or FVO: report NA.,"Rounded whole dollar amount. No dollar sign, commas, or decimal. Negative sign for negatives. NA if not HFS/FVO."
108,Utilized Exposure Global Fair Value,,,For HFS and FVO loans: report fair value of outstanding funded exposure. If not HFS or FVO: report NA.,"Rounded whole dollar amount. No dollar sign, commas, or decimal. Negative sign for negatives. NA if not HFS/FVO."
109,DO NOT USE,,,,
110,DO NOT USE,,,,
111,Obligor LEI,ObligorLEI,,"Report 20-character alphanumeric LEI of obligor in Field 4 if available. LEIs issued by LOUs of Global LEI System. If not applicable, report NA.","Valid 20-char alphanumeric LEI or NA"
112,Primary Source of Repayment LEI,PSRLEI,,"If primary source of repayment entity differs from obligor in Field 4, report LEI of entity in Field 50. If same as obligor, leave blank. If no LEI, report NA.","Valid 20-char alphanumeric LEI or NA. Blank if same as obligor in Field 2."
