Field No,Field Name,Technical Field Name,MDRM (CRED),Description,Allowable Values,Mandatory/Optional
40,Net Operating Income (NOI) Current,CurrentNetOperatingInc,K472,"Most recent annualized NOI (per Field 12 definition) as of report date serving as primary source of repayment.","Refer to Field 12 for allowable values.",Mandatory
41,Last NOI Date,LastNOIDate,K473,"Date for the value provided in Field 40.","yyyy-mm-dd. Must be <= report date. May be blank if Field 40 is NA.",Mandatory
42,Current Value,CurrentValue,M209,"Most recent property value from appraisal or evaluation (12 CFR 34). If most recent = Field 13, report Field 13 amount. Prorated for ownership interest. Sum for multiple/cross-collateralized properties.","Rounded whole dollar. No dollar signs, commas, or decimals.",Mandatory
43,Last Valuation Date,LastValuationDate,K475,"Date of most recent valuation in Field 42.","yyyy-mm-dd. Must be <= report date.",Mandatory
44,Cross Collateralized Loan Numbers,CrossCollateralizedLoans,M290,"LoanNumbers (Field 1) for all cross-collateralized loans. Includes loans < $1M. Single loan with multiple properties is NOT cross-collateralized. Only loans sharing properties in collateral pool. Must have CRE collection entry.","Comma-separated LoanNumbers. Blank if not cross-collateralized.",Mandatory
45,Additional Collateral,AdditionalCollateral,M291,"Value of cash and marketable securities pledged as collateral where bank has first perfected security interest.","Rounded whole dollar. No dollar signs, commas, or decimals.",Optional
46,DO NOT USE,,,,,"
47,DO NOT USE,,,,,"
48,DO NOT USE,,,,,"
49,Troubled Debt Restructuring,TroubledDebtRestructuring,,"Whether loan has been restructured in TDR per FR Y-9C Glossary.","1=No; 2=Yes",Mandatory
50,DO NOT USE,,,,,"
51,DO NOT USE,,,,,"
52,Lower of Cost or Market Flag,LOCOM,,"Whether loan is under FVO, HFS at LOCOM, or neither (NA).","1=LOCOM; 2=FVO; 3=NA",Mandatory
53,SNC Internal Credit ID,SNCInternalCreditID,,"If in SNC and reporting entity is lead bank/agent (option 5 in Field 7), report Internal Credit ID from SNC collection. Otherwise NA.","No carriage return, line feed, comma, or unprintable characters. NA if not in SNC or not agent.",Mandatory
54,Renewal Date,RenewalDate,,"Date of most recent renewal if credit facility renewed/re-priced/maturity changed without changing Origination Date. Major modification = 9999-12-31. Not renewed = 9999-12-31.","yyyy-mm-dd format",Mandatory
55,Credit Facility Currency,CreditFacilityCurrency,,"Currency denomination for contractual principal and interest payments (ISO 4217). Predominant currency if multiple permitted. All other field amounts must be in USD.","Standard ISO 4217 three-letter codes",Mandatory
56,Current Occupancy Date,CurrentOccupancyDate,,"Date on which most recent occupancy level (Field 23) was determined by borrower.","yyyy-mm-dd. Must be <= report date. May be blank if Field 23 is NA.",Mandatory
57,Current Value Basis,CurrentValueBasis,,"Whether Current Value (Field 42) was calculated as is, as stabilized, or as completed per SR10-16.","1=As Is; 2=As Stabilized; 3=As Completed",Mandatory
58,Prepayment Penalty Flag,PrepaymentPenaltyFlag,,"Whether credit facility has prepayment penalty clause in effect (may include yield maintenance).","1=Yes; 2=Prepayment penalty expired; 3=No prepayment penalty clause",Mandatory
