Field No,Field Name,Technical Field Name,MDRM (CRED),Description,Allowable Values,Mandatory/Optional
1,Loan Number,LoanNumber,G063,"Unique internal identifier for credit facility record. Must identify facility for its entire life and be unique. If changed (migration/acquisition), provide Original/Previous in Field 35.","Unique within submission and over time. No carriage return, line feed, comma, or unprintable characters.",Mandatory
2,Obligor Name,ObligorName,9017,"Report obligor name on the loan. Full legal entity name desirable. For individuals (Natural Persons), substitute with ""Individual"".","No vertical bar, carriage return, line feed, comma, or unprintable characters.",Mandatory
3,Outstanding Balance,OutstandingBalance,K448,"Report per FR Y-9C: amortized cost for HFI, lower of cost/fair value for HFS, fair value for FVO. Fully undrawn commitments = 0. Disposed = 0.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal.",Mandatory
4,Line Reported on FR Y-9C,LineReportedOnFRY9C,K449,"Report integer code for HC-C line number. If multiple loans, report type with largest share of committed balance.","1=1-4 family res construction domestic; 2=Other construction/land development domestic; 3=Multifamily domestic; 4=DO NOT USE; 5=Other nonfarm nonresidential domestic; 6=DO NOT USE; 7=CRE non-domestic offices",Mandatory
5,Committed Exposure Global,CommittedBalance,G074,"Total commitment = HC-C financing receivables + unused from HC-F/HC-G/HC-L. Pro-rata for multiple lenders. Commitments to commit: total approved and offered.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal.",Mandatory
6,Cumulative Charge-offs,CumulativeChargeoffs,G076,"Cumulative net charge-offs over life of credit facility. If exceeds current but less than original commitment, report total. Disposed: as of disposition date.","Rounded whole dollar. 0 if no charge-off. NA for HFS or FVO.",Mandatory
7,Participation Flag,ParticipationFlag,6135,"Indicate if CRE loan is participated/syndicated and if part of SNC. Fronting exposures = No.","1=No; 2=Yes syndicate/participant not SNC; 3=Yes agent not SNC; 4=Yes participant in SNC; 5=Yes agent in SNC",Mandatory
8,Lien Position,LienPosition,K450,"First lien, subordinated, mixed, or B-Note. Partnership interest pledges = subordinate. B-Note = structurally subordinated position on senior lien.","1=First Lien; 2=Subordinated; 3=Mixed; 4=DO NOT USE; 5=B-Note",Mandatory
9,Property Type,PropertyType,K451,"Report predominant property type by highest collateral value. Mixed if none predominates. Land and Lot Development only for land/lot phase. If includes vertical construction, report appropriate category.","1=Retail; 2=Industrial; 3=Hotel/Hospitality/Gaming; 4=Multi-family; 5=Homebuilders; 6=Condo/Co-op; 7=Office; 8=Mixed; 9=Land and Lot Development; 10=Other; 11=Healthcare; 12=Warehouse/Distribution",Mandatory
10,Origination Date,OriginationDate,9912,"Contractual date of credit agreement. Major modifications use revised date. Extensions/covenants/waivers/maturity changes/re-pricing/TDR do not change date. Commitments to commit: date terms extended.","yyyy-mm-dd. Must be <= period end date.",Mandatory
11,Location,Location,K453,"5-digit ZIP Code for US locations. 2-letter ISO country code for foreign. Multiple if no property predominates.","ZIP code (leading zeroes required); 2-letter country code; or Multiple",Mandatory
12,Net Operating Income at Origination,NetOperatingIncome,K454,"NOI at origination: all operating income net of operating expenses except debt service and depreciation. Land/construction not generating income = NA. Participations prorated. Cross-collateralized: total NOI from pool.","Rounded whole dollar. 0 if actually zero. NA for non-income land/construction. Negative sign for negatives.",Mandatory
13,Value at Origination,ValueatOrigination,M148,"Property value at origination from appraisal or evaluation (12 CFR 34). Prorated for bank ownership. Multiple properties: sum of values. Cross-collateralized: sum of all.","Rounded whole dollar. No dollar signs, commas, or decimals.",Mandatory
14,Value Basis,ValueBasis,K456,"Indicate if Value in Field 13 was as is, as stabilized, or as completed per SR10-16.","1=As Is; 2=As Stabilized; 3=As Completed",Mandatory
15,Internal Rating,InternalRating,G080,"Bank's internal obligor rating for PD. Format: rating-code:fraction pairs separated by semicolons. All fractions must sum to 1.","Rating-code:decimal pairs (e.g. AAA:1 or A:0.5;C:0.5). Must be consistent with H.4 Field 1.",Mandatory
16,Probability of Default,PD,G082,"Advanced: IRB PD parameter. Defaulted = 1. Non-advanced: PD for Internal Rating. If no PD assigned, NA.","Decimal to 4 places (e.g. 50%=0.5000). No scientific notation. NA if not assigned.",Mandatory
17,Loss Given Default,LGD,G086,"Advanced: IRB LGD at loan level (dollar weighted avg for multiple). Non-advanced: LGD from credit risk system. If not assigned, NA.","Decimal to 2 places (e.g. 50%=0.50). No scientific notation. NA if not assigned.",Mandatory
18,Exposure At Default,EAD,G083,"Advanced: IRB EAD parameter (dollar weighted avg for multiple). Non-advanced: EAD from internal system. If not assigned, NA.","Rounded whole dollar (e.g. 20000000). No dollar sign, commas, or decimal. NA if not assigned.",Mandatory
