Field No,Field Name,Technical Field Name,MDRM (CRED),Description,Allowable Values,Mandatory/Optional
19,Maturity Date,MaturityDate,9914,"Last date funds must be repaid, inclusive of borrower-discretion extension options per most recent credit agreement. Conditional extensions = borrower discretion. Demand loans = 9999-01-01. Commitments to commit: estimated maturity.","yyyy-mm-dd format",Mandatory
20,Amortization,Amortization,K457,"Original amortization term in months from Field 10 date at rate implied by current payment. Interest only = 0. After IO period, months to fully amortize. Non-standard = -1.","Whole months (e.g. 120 for 10 years). -1 for non-standard.",Mandatory
21,Recourse,Recourse,G106,"Whether credit facility has full, partial, or no recourse to sponsor or guarantor as of reporting date.","1=DO NOT USE; 2=DO NOT USE; 3=Full; 4=Partial; 5=None",Mandatory
22,Line of Business,LineOfBusiness,K458,"Internal line of business. Must be consistent with H.3 Field 1.","Free text (e.g. Retail, Private Banking, Corporate Banking)",Optional
23,Current Occupancy,CurrentOccupancy,K459,"Current physical occupancy of rent-paying tenants as % of net rentable sq ft. NA for construction/land development without certificate of occupancy. Condo: units owned by borrower.","Fraction to 2 decimals (e.g. 0.80 for 80%). 0 if actually zero. NA if not applicable.",Mandatory
24,Anchor Tenant,AnchorTenant,K460,"Name of anchor tenant(s) named in co-tenancy clause or with majority of gross rental income. Multiple tenants separated by double semi-colon.","No vertical bar, carriage return, line feed, comma, or unprintable characters. Multiple names: ;; separator.",Optional
25,Loan Purpose,LoanPurpose,G073,"Purpose of CRE Loan at origination date per Field 10.","1=Construction Build to Suit/Credit Tenant Lease; 2=Land Acquisition & Development; 3=Construction Other; 4-5=DO NOT USE; 6=Acquisition (nonowner occupied); 7=Refinance; 8=Other; 9=Mini-Perm; 10-12=DO NOT USE",Mandatory
26,Interest Rate Variability,InterestRateVariability,K461,"Variability of current interest rates to maturity. Undrawn: rate that would apply if funded. Allows fixed or floating at borrower discretion = Mixed. Entirely fee based = 4.","0=DO NOT USE; 1=Fixed; 2=Floating; 3=Mixed; 4=Entirely fee based",Mandatory
27,Interest Rate,InterestRate,7889,"Current interest rate charged. Multiple draws: dollar weighted average on drawn balance exclusive of swaps. Undrawn: rate per credit agreement. Undrawn with multiple rates: most conservative (highest).","Decimal (e.g. 0.0575 for 5.75%). NA if entirely fee based.",Mandatory
28,Interest Rate Index,InterestRateIndex,K462,"Base interest rate index for floating rate loans. If borrower has option, select index in use. Fixed/fee based = Not applicable. Mixed base rates = Mixed.","0=DO NOT USE; 1=LIBOR; 2=PRIME or Base; 3=Treasury Index; 4=Other; 5=Not applicable; 6=Mixed; 7=SOFR",Mandatory
29,Interest Rate Spread,InterestRateSpread,K463,"Spread from base rate for floating rate loans (positive or negative). Fixed/fee based = NA. Multiple draws: spread approximating overall.","Decimal (e.g. 0.0575 for 5.75%). NA if fixed/fee based. Negative sign for negatives.",Mandatory
30,Interest Rate Ceiling,InterestRateCeiling,K464,"Rate ceiling for floating rate loans per credit agreement. No ceiling = NONE. Fixed/fee based = NA. Multiple ceilings: provide maximum.","Decimal (e.g. 0.0575). NA if fixed/fee based. NONE if no ceiling.",Mandatory
31,Interest Rate Floor,InterestRateFloor,K465,"Rate floor for floating rate loans per credit agreement. No floor = NONE. Fixed/fee based = NA. Multiple floors: provide minimum.","Decimal (e.g. 0.0575). NA if fixed/fee based. NONE if no floor.",Mandatory
32,Frequency of Rate Reset,FrequencyofRateReset,K466,"Frequency of interest rate reset in months for floating rate loans. Frequencies < 1 month = 1. Fixed/fee based = NA.","Whole months. NA if fixed/fee based.",Mandatory
33,Interest Reserves,InterestReserves,K467,"Remaining interest reserves from original construction commitment for construction/lease-up phases. Prorated for participations. Non-applicable or unfunded = 0.","Rounded whole dollar. No cents, punctuation, or dollar signs. 0 if not applicable.",Mandatory
34,Origination Amount,OriginationAmount,K468,"Bank's total commitment as of origination date (Field 10). Includes drawn and undrawn. Pro-rata for multiple lenders.","Round to whole dollar. No punctuation or dollar sign.",Mandatory
35,Original/Previous Loan Number,OrigLoanNumber,G064,"Internal ID from previous submission. For commitment-to-commit fulfillment, report prior ID. No change or first submission = Field 1 value. Disposed rebookings: comma-separated IDs.","No carriage return, line feed, or unprintable characters. Comma-separated for multiple.",Mandatory
36,Acquired Loan,AcqLoan,K469,"Whether loan was acquired via bank/portfolio/individual loan purchase outside original underwriting syndication. Originated/underwritten by reporting bank = No. No longer acquired after renewal/modification.","1=Yes; 2=No",Mandatory
37,# Days Principal or Interest Past Due,PastDue,G077,"Longest number of days P&I past due if >= 30 days. As of last day of reporting period or disposition date. If not 30+ days past due = 0. Undrawn = 0.","Numbers only. 0 if not past due or undrawn.",Mandatory
38,Non-Accrual Date,NonAccrualDate,G078,"Date credit facility placed on non-accrual. If none, 9999-12-31. Undrawn = 9999-12-31.","yyyy-mm-dd format",Mandatory
39,Property Size,PropertySize,K471,"For single-property facilities: report size for predominant property type (sq ft, rooms, units, lots, or acreage). Multiple property types w/o predominant = Other. Property type Other = Other. Multiple properties = NA.","Whole number. Other or NA as applicable.",Mandatory
