Field No,Field Name,Technical Field Name,MDRM,Description,Allowable Values
81,Retained Earnings,RetainedEarnings,CLCE3247,"Report the cumulative retained earnings of the entity identified in Field 2 or Field 49 less total dividend distributions to shareholders. Typically prior year retained earnings plus net income less distributions.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
82,Capital Expenditures,CapitalExpenditures,CLCEM324,"Report the funds used to acquire a long-term asset resulting in depreciation deductions over the life of the acquired asset. Report gross of depreciation. Report TTM period ended on date in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
83,Special Purpose Entity Flag,SpecialPurposeEntityFlag,,"Indicate 2 (Yes) if obligor is organized as a bankruptcy remote SPE where primary source of repayment depends on performance of specified underlying assets. Includes ABCP conduits, securitization trusts, structured VIEs. Personal wealth trusts or OpCo/PropCo = 1 (No).","1=No; 2=Yes"
84,DO NOT USE,,,,
85,DO NOT USE,,,,
86,Lower of Cost or Market Flag,LOCOM,,"Indicate whether the loan is accounted for under the fair value option or is held for sale and carried at LOCOM. For loans not under FVO or not HFS, report Option 3 (NA).","1=LOCOM; 2=FVO; 3=NA"
87,SNC Internal Credit ID,SNCInternalCreditID,,"If credit facility is in SNC collection and reporting entity is lead bank/agent (option 5 in Field 34), report Internal Credit ID from SNC collection. If not in SNC or entity is participant, report NA.","No carriage return, line feed, comma, or unprintable characters. Report NA if not in SNC or not agent."
88,Probability of Default (PD),ProbabilityOfDefault,,"Advanced approaches firms: report advanced IRB PD parameter. Defaulted obligor = 1. Non-advanced firms: report PD corresponding to Obligor Internal Risk Rating (Field 10). If no PD assigned, report NA.","Decimal to 4 places (e.g. 0.05%=0.0005; 100%=1). No scientific notation. NA if no PD assigned."
89,Loss Given Default,LGD,CLCOG081,"Advanced approaches firms: report advanced IRB LGD at loan level. Multiple loans with different LGDs: dollar weighted average. Non-advanced firms: report LGD from credit risk management system. If not assigned, report NA.","Decimal to 4 places (e.g. 0.05%=0.0005). No scientific notation. NA if no LGD assigned."
90,Exposure At Default,EAD,,"Advanced approaches firms: report advanced IRB EAD parameter. Multiple loans: dollar weighted average. Non-advanced firms: report EAD from internal credit risk management system. If not assigned, report NA.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal. NA if no EAD assigned."
91,Renewal Date,RenewalDate,,"If credit facility renewed, re-priced, or maturity changed without changing Origination Date, report date of most recent renewal. If major modification changed origination date, report 9999-12-31. If not renewed, report 9999-12-31.","yyyy-mm-dd format (e.g. 2005-02-01)"
92,Credit Facility Currency,CreditFacilityCurrency,,"Indicate currency denomination for contractual principal and interest payments using ISO 4217 three-letter code. If multiple currencies, indicate predominant currency. All other field amounts must be in USD regardless.","Standard ISO 4217 three-letter currency codes"
93,Collateral Market Value,CollateralMarketValue,,"For facilities requiring ongoing/periodic collateral valuation, report market value as of reporting date. If not updated in internal systems, report NA.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal. NA if not updated."
94,Prepayment Penalty Flag,PrepaymentPenaltyFlag,,"Indicate whether credit facility has prepayment penalty clause in effect (may include yield maintenance).","1=Yes; 2=Prepayment penalty has expired; 3=No prepayment penalty clause"
95,Entity Industry Code,EntityIndustryCode,,"Report NAICS code for primary business activity of entity in Field 49. If NAICS unavailable, provide SIC or GICS. For individuals, use industry of commercial loan purpose. Report predominant industry if multiple.","4 to 6 digit number. SIC or GICS if NAICS unavailable."
96,Participation Interest,ParticipationInterest,,"For participated/syndicated credit facilities closed and settled, report percentage of total commitment held. If not participated/syndicated, report 1. If syndicated options 1-3 in Field 100, report NA. Fronting exposures = 1.","Decimal to 4 places (e.g. 0.05%=0.0005). No scientific notation. NA if options 1-3 in Field 100. Fronting = 1."
97,Leveraged Loan Flag,LeveragedLoanFlag,,"Indicate 2 (Yes) if credit facility is defined as leveraged loan per SR 13-3 (Interagency Guidance on Leveraged Lending).","1=No; 2=Yes"
98,Disposition Flag,DispositionFlag,,"Report disposition method for credit facilities disposed during reporting quarter. If still pursuing payment, report 0. Rebookings/restructures: report 1 or 2 depending on default occurrence.","0=Active; 1=Payoff; 2=Involuntary Payoff; 3=Involuntary Liquidation; 4=Sold or fully participated; 5=Fully syndicated; 6=Below reporting threshold; 7=Transfer to another Y-14 schedule; 8=Expired Commitment to Commit"
99,Disposition Schedule Shift,DispositionScheduleShift,,"For facilities with option 7 in Field 98, indicate the Y-14 report/schedule/subschedule to which facility shifted.","Format examples: Q.H.2 (for FR Y-14Q Schedule H.2); M.D.1 (for FR Y-14M Schedule D.1)"
