form_family,schedule,line_number,item_description,column_role,mdrm_code,forms,start_date,notes
y9c,HC-C,1,Loans secured by real estate,mdrm_total,BHCK1410,,1981-06-30,Total RE loans (Col A consolidated). Sum of 1.a through 1.e. No domestic-only or foreign-office code at the item-1 total level.
y9c,HC-C,2,Loans to depository institutions and acceptances of other banks,mdrm_domestic,BHDM1288,,1996-03-31,In domestic offices (Col B) at the item-2 total. Sub-items 2.a/2.b reported Col A consolidated.
y9c,HC-C,3,Loans to finance agricultural production and other loans to farmers,mdrm_total,BHCK1590,,1986-06-30,Reported both Col A consolidated (BHCK1590) and Col B in-domestic-offices (BHDM1590). Farm operating loans.
y9c,HC-C,3,Loans to finance agricultural production and other loans to farmers,mdrm_domestic,BHDM1590,,1986-06-30,Reported both Col A consolidated (BHCK1590) and Col B in-domestic-offices (BHDM1590). Farm operating loans.
y9c,HC-C,4,Commercial and industrial loans,mdrm_domestic,BHDM1766,,1981-06-30,In domestic offices (Col B) at the item-4 total. Consolidated C&I split into 4.a/4.b/4.c below.
y9c,HC-C,6,"Loans to individuals for household, family, and other personal expenditures (consumer loans)",mdrm_domestic,BHDM1975,,1981-06-30,In domestic offices (Col B) at the item-6 total. Consolidated detail in 6.a-6.d. (Was item 5 in the older repo structure.)
y9c,HC-C,7,Loans to foreign governments and official institutions (including foreign central banks),mdrm_total,BHCK2081,,1981-06-30,Reported Col A consolidated (BHCK2081) and Col B in-domestic-offices (BHDM2081). (Repo previously had item 6 with wrong code BHCK1296.)
y9c,HC-C,7,Loans to foreign governments and official institutions (including foreign central banks),mdrm_domestic,BHDM2081,,1981-06-30,Reported Col A consolidated (BHCK2081) and Col B in-domestic-offices (BHDM2081). (Repo previously had item 6 with wrong code BHCK1296.)
y9c,HC-C,10,Lease financing receivables (net of unearned income),mdrm_domestic,BHDM2165,,1981-06-30,In domestic offices (Col B) at the item-10 total. Consolidated lease detail in 10.a-10.c.
y9c,HC-C,11,LESS: Any unearned income on loans reflected in items 1-9 above,mdrm_total,BHCK2123,,1981-06-30,"LESS line. Col A consolidated (BHCK2123) and Col B in-domestic-offices (BHDM2123). Current form item 11 is UNEARNED INCOME, not the allowance; the allowance lives on Schedule HC item 4.c."
y9c,HC-C,11,LESS: Any unearned income on loans reflected in items 1-9 above,mdrm_domestic,BHDM2123,,1981-06-30,"LESS line. Col A consolidated (BHCK2123) and Col B in-domestic-offices (BHDM2123). Current form item 11 is UNEARNED INCOME, not the allowance; the allowance lives on Schedule HC item 4.c."
y9c,HC-C,12,Total loans and leases held for investment and held for sale (items 1-10 minus item 11),mdrm_total,BHCK2122,,1981-06-30,"Total loans and leases, net of unearned income. Col A (BHCK2122) must equal HC items 4.a + 4.b. (Repo previously used BHCKB529 = HC 4.d net-of-allowance, a different concept.)"
y9c,HC-C,12,Total loans and leases held for investment and held for sale (items 1-10 minus item 11),mdrm_domestic,BHDM2122,,1981-06-30,"Total loans and leases, net of unearned income. Col A (BHCK2122) must equal HC items 4.a + 4.b. (Repo previously used BHCKB529 = HC 4.d net-of-allowance, a different concept.)"
y9c,HC-C,1.a.(1),1-4 family residential construction loans,mdrm_total,BHCKF158,,2007-03-31,"ADC loans, 1-4 family (Col A consolidated)."
y9c,HC-C,1.a.(2),Other construction loans and all land development and other land loans,mdrm_total,BHCKF159,,2007-03-31,Commercial ADC / land loans (Col A consolidated). May include HVCRE at 150%.
y9c,HC-C,1.b,Secured by farmland,mdrm_domestic,BHDM1420,,1990-09-30,In domestic offices (Col B). Agricultural real estate.
y9c,HC-C,1.c.(1),"Revolving, open-end loans secured by 1-4 family residential properties (HELOCs)",mdrm_domestic,BHDM1797,,1990-09-30,In domestic offices (Col B). Open-end home equity lines of credit.
y9c,HC-C,1.c.(2)(a),"1-4 family residential, closed-end, secured by first liens",mdrm_domestic,BHDM5367,,1991-03-31,In domestic offices (Col B). First-lien closed-end 1-4 family.
