Schedule C - Wholesale Exposure: Corporate - MDRM Grid,,,,,,,,,,,,
PD Range,Col A: Wtd-Avg Obligor PD,Col B: Number of Obligors,Col C: Balance Sheet Amount,Col D: Total Undrawn Amount,Col E: EAD,Col F: Wtd-Avg Effective Maturity (Years),Col G: Wtd-Avg LGD before Guarantees,Col H: Wtd-Avg LGD after CRM,Col I: Effect of PD Sub and LGD Adj on RWA,Col J: Effect of Double Default on RWA,Col K: Risk-Weighted Assets,Col L: Expected Credit Loss
1. 0.00 to < 0.15,AACA J005,AACB J005,AACC J005,AACD J005,AACE J005,AACF J005,AACG J005,AACH J005,AACI J005,AACJ J005,AACK J005,AACL J005
2. 0.15 to < 0.25,AACA J008,AACB J008,AACC J008,AACD J008,AACE J008,AACF J008,AACG J008,AACH J008,AACI J008,AACJ J008,AACK J008,AACL J008
3. 0.25 to < 0.35,AACA J010,AACB J010,AACC J010,AACD J010,AACE J010,AACF J010,AACG J010,AACH J010,AACI J010,AACJ J010,AACK J010,AACL J010
4. 0.35 to < 0.50,AACA J013,AACB J013,AACC J013,AACD J013,AACE J013,AACF J013,AACG J013,AACH J013,AACI J013,AACJ J013,AACK J013,AACL J013
5. 0.50 to < 0.75,AACA J014,AACB J014,AACC J014,AACD J014,AACE J014,AACF J014,AACG J014,AACH J014,AACI J014,AACJ J014,AACK J014,AACL J014
6. 0.75 to < 1.35,AACA J016,AACB J016,AACC J016,AACD J016,AACE J016,AACF J016,AACG J016,AACH J016,AACI J016,AACJ J016,AACK J016,AACL J016
7. 1.35 to < 2.50,AACA J019,AACB J019,AACC J019,AACD J019,AACE J019,AACF J019,AACG J019,AACH J019,AACI J019,AACJ J019,AACK J019,AACL J019
8. 2.50 to < 5.50,AACA J025,AACB J025,AACC J025,AACD J025,AACE J025,AACF J025,AACG J025,AACH J025,AACI J025,AACJ J025,AACK J025,AACL J025
9. 5.50 to < 10.00,AACA J029,AACB J029,AACC J029,AACD J029,AACE J029,AACF J029,AACG J029,AACH J029,AACI J029,AACJ J029,AACK J029,AACL J029
10. 10.00 to < 20.00,AACA J031,AACB J031,AACC J031,AACD J031,AACE J031,AACF J031,AACG J031,AACH J031,AACI J031,AACJ J031,AACK J031,AACL J031
11. 20.00 to < 100,AACA J033,AACB J033,AACC J033,AACD J033,AACE J033,AACF J033,AACG J033,AACH J033,AACI J033,AACJ J033,AACK J033,AACL J033
12. 100.00 (default),100.00,AACB J034,AACC J034,AACD J034,AACE J034,AACF J034,AACG J034,AACH J034,AACI J034,AACJ J034,AACK J034,AACL J034
13. Total (calculated),AACA J035,AACB J035,AACC J035,AACD J035,AACE J035,AACF J035,AACG J035,AACH J035,AACI J035,AACJ J035,AACK J035,AACL J035
Memoranda,,,,,,,,,,,,
M.1 Non-material portfolios RWA,,,,,,,,,,,,AACX J036
M.2 Regulated financial institutions (1.25x correlation),AACA P929,AACB P929,AACC P929,AACD P929,AACE P929,AACF P929,AACG P929,AACH P929,AACI P929,AACJ P929,AACK P929,AACL P929
M.3 Unregulated financial institutions (1.25x correlation),AACA P930,AACB P930,AACC P930,AACD P930,AACE P930,AACF P930,AACG P930,AACH P930,AACI P930,AACJ P930,AACK P930,AACL P930
