Schedule B - Summary RWA (Page B-3 Continued),,,
Exposure Category,MDRM Col B (Balance Sheet),MDRM Col G (Risk-Weighted Assets),Item
Equity Exposures,,,
Simple risk-weight method (SRWA),,AABG J144,23
Full internal models approach (IMA),,AABG J145,24
"Partial IMA, partial SRWA",,AABG J146,25
Other Assets,,,
Unsettled transactions,AABB J147,AABG J147,26
Assets not included in a defined exposure category,AABB J148,AABG J148,27
Non-material portfolios of exposures,AABB J149,AABG J149,28
Summary,,,
"Sum of Column G, items 1 through 28",,AABG J150,29
Total credit risk weighted assets (cell G-29 x 1.06),,AABG J151,30
Credit Valuation Adjustments: Simple,,AABG P925,31.a
Credit Valuation Adjustments: Advanced,,AABG P926,31.b
Assets subject to the general risk-based capital requirements,,AABG J198,32
Excess eligible credit reserves not included in Tier 2 capital,,AABG J152,33
Advanced market risk equivalent assets,,AABG J153,34
Operational risk,,AABG J154,35
"Total (add G-30, G-31, G-32, G-34, G-35, subtract G-33)",,AABG A223,36
