Schedule A - SLR Table 1: Summary Comparison of Accounting Assets and Total Leverage Exposure,,,
Dollar Amounts in Thousands,MDRM,Amount,Item
Total consolidated assets as reported in published financial statements,2170,1807982000,1.1
"Adjustment for investments in banking/financial/insurance/commercial entities outside regulatory consolidation",FS87,0,1.2
Adjustment for fiduciary assets (not applicable),,,1.3
Adjustment for derivative transactions,FS88,290213000,1.4
Adjustment for repo-style transactions,FS89,29925000,1.5
Adjustment for off-balance sheet exposures,FS90,156196000,1.6
"Other adjustments: Deductions from tier 1 capital (report as positive amount)",FS91,6783000,1.7.a
Other adjustments: Frequency calculations,FS92,12185000,1.7.b
"Other adjustments: Deductions of qualifying central bank deposits for custodial banking organizations",LB41,0,1.7.c
"Total leverage exposure (sum 1.1 through 1.6 minus 1.7.a, 1.7.b, and 1.7.c)",H015,2265348000,1.8
