Schedule K - Retail Exposure: Residential Mortgage Closed-End First Lien Exposures - MDRM Grid,,,,,,,,,,,,,,,,
PD Range,Col A: Wtd-Avg PD,Col B: Num Exposures,Col C: Total Bal Sheet,Col D: Total Undrawn,Col E: EAD,Col F: Wtd-Avg Age (Months),Col G: Wtd-Avg LGD,Col H: RWA,Col I: Expected Credit Loss,Col J: LTV <70%,Col K: LTV 70-80%,Col L: LTV 80-90%,Col M: LTV 90-100%,Col N: LTV >=100%,Col O: Wtd-Avg Bureau Score,Col P: EAD Updated LTV
1. 0.00 to < 0.05,AAKA J002,AAKB J002,AAKC J002,AAKD J002,AAKE J002,AAKF J002,AAKG J002,AAKH J002,AAKI J002,AAKJ J002,AAKK J002,AAKL J002,AAKM J002,AAKN J002,AAKO J002,AAKP J002
2. 0.05 to < 0.10,AAKA J004,AAKB J004,AAKC J004,AAKD J004,AAKE J004,AAKF J004,AAKG J004,AAKH J004,AAKI J004,AAKJ J004,AAKK J004,AAKL J004,AAKM J004,AAKN J004,AAKO J004,AAKP J004
3. 0.10 to < 0.15,AAKA J006,AAKB J006,AAKC J006,AAKD J006,AAKE J006,AAKF J006,AAKG J006,AAKH J006,AAKI J006,AAKJ J006,AAKK J006,AAKL J006,AAKM J006,AAKN J006,AAKO J006,AAKP J006
4. 0.15 to < 0.20,AAKA J007,AAKB J007,AAKC J007,AAKD J007,AAKE J007,AAKF J007,AAKG J007,AAKH J007,AAKI J007,AAKJ J007,AAKK J007,AAKL J007,AAKM J007,AAKN J007,AAKO J007,AAKP J007
5. 0.20 to < 0.25,AAKA J009,AAKB J009,AAKC J009,AAKD J009,AAKE J009,AAKF J009,AAKG J009,AAKH J009,AAKI J009,AAKJ J009,AAKK J009,AAKL J009,AAKM J009,AAKN J009,AAKO J009,AAKP J009
6. 0.25 to < 0.35,AAKA J010,AAKB J010,AAKC J010,AAKD J010,AAKE J010,AAKF J010,AAKG J010,AAKH J010,AAKI J010,AAKJ J010,AAKK J010,AAKL J010,AAKM J010,AAKN J010,AAKO J010,AAKP J010
7. 0.35 to < 0.50,AAKA J013,AAKB J013,AAKC J013,AAKD J013,AAKE J013,AAKF J013,AAKG J013,AAKH J013,AAKI J013,AAKJ J013,AAKK J013,AAKL J013,AAKM J013,AAKN J013,AAKO J013,AAKP J013
8. 0.50 to < 0.75,AAKA J014,AAKB J014,AAKC J014,AAKD J014,AAKE J014,AAKF J014,AAKG J014,AAKH J014,AAKI J014,AAKJ J014,AAKK J014,AAKL J014,AAKM J014,AAKN J014,AAKO J014,AAKP J014
9. 0.75 to < 1.35,AAKA J016,AAKB J016,AAKC J016,AAKD J016,AAKE J016,AAKF J016,AAKG J016,AAKH J016,AAKI J016,AAKJ J016,AAKK J016,AAKL J016,AAKM J016,AAKN J016,AAKO J016,AAKP J016
10. 1.35 to < 2.50,AAKA J019,AAKB J019,AAKC J019,AAKD J019,AAKE J019,AAKF J019,AAKG J019,AAKH J019,AAKI J019,AAKJ J019,AAKK J019,AAKL J019,AAKM J019,AAKN J019,AAKO J019,AAKP J019
11. 2.50 to < 5.50,AAKA J025,AAKB J025,AAKC J025,AAKD J025,AAKE J025,AAKF J025,AAKG J025,AAKH J025,AAKI J025,AAKJ J025,AAKK J025,AAKL J025,AAKM J025,AAKN J025,AAKO J025,AAKP J025
12. 5.50 to < 10.00,AAKA J029,AAKB J029,AAKC J029,AAKD J029,AAKE J029,AAKF J029,AAKG J029,AAKH J029,AAKI J029,AAKJ J029,AAKK J029,AAKL J029,AAKM J029,AAKN J029,AAKO J029,AAKP J029
13. 10.00 to < 20.00,AAKA J031,AAKB J031,AAKC J031,AAKD J031,AAKE J031,AAKF J031,AAKG J031,AAKH J031,AAKI J031,AAKJ J031,AAKK J031,AAKL J031,AAKM J031,AAKN J031,AAKO J031,AAKP J031
14. 20.00 to < 100,AAKA J033,AAKB J033,AAKC J033,AAKD J033,AAKE J033,AAKF J033,AAKG J033,AAKH J033,AAKI J033,AAKJ J033,AAKK J033,AAKL J033,AAKM J033,AAKN J033,AAKO J033,AAKP J033
15. 100.00 Default,AAKA J034,AAKB J034,AAKC J034,AAKD J034,AAKE J034,AAKF J034,AAKG J034,AAKH J034,AAKI J034,AAKJ J034,AAKK J034,AAKL J034,AAKM J034,AAKN J034,AAKO J034,AAKP J034
16. Total (calculated),AAKA J035,AAKB J035,AAKC J035,AAKD J035,AAKE J035,AAKF J035,AAKG J035,AAKH J035,AAKI J035,AAKJ J035,AAKK J035,AAKL J035,AAKM J035,AAKN J035,AAKO J035,AAKP J035
Memoranda,,,,,,,,,,,,,,,,
M.1 Non-material portfolios RWA,,,,,,,,AAKX J036,,,,,,,,
M.2 Credit scoring system(s),,,,,,,,,,,,,,,,AAKX J041
