Schedule A - Advanced Approaches Regulatory Capital (Page A-1),,,
Dollar Amounts in Thousands,MDRM,Amount,Item
Common equity tier 1 capital,,,
"Common stock plus related surplus, net of treasury stock",P742,-50418000,1
Retained earnings,3247,162143000,2
Accumulated other comprehensive income (AOCI),B530,-2476000,3
"Directly issued capital subject to phase out from common equity tier 1 capital (not applicable)",,, 4
Common equity tier 1 minority interest includable in common equity tier 1 capital,P839,0,5
"Common equity tier 1 capital before regulatory deductions and adjustments (sum of items 1, 2, 3, and 5)",P840,109249000,6
Common equity tier 1 capital: adjustments and deductions,,,
Prudential valuation adjustments (not applicable),,,7
Goodwill net of associated deferred tax liabilities (DTLs),P841,5246000,8
"Other intangible assets, net of associated DTLs, other than goodwill and MSAs",P842,659000,9
"DTAs from net operating loss and tax credit carryforwards, net of valuation allowances and net of DTLs",P843,361000,10
"Accumulated net gain or loss on cash-flow hedges in AOCI, net of applicable income taxes",P849,1000,11
Expected credit loss that exceeds eligible credit reserves,P886,0,12
Gain-on-sale associated with a securitization exposure,J161,0,13
"Unrealized gain or loss related to changes in fair value of liabilities due to own credit risk",Q258,-897000,14
"Defined-benefit pension fund assets, net of associated DTLs",P887,86000,15
"Investments in own shares not excluded above as part of treasury stock",P888,24000,16
Reciprocal cross-holdings in the common equity of financial institutions,P889,0,17
"Non-significant investments in capital of unconsolidated FIs exceeding 10% threshold",P851,0,18
"Significant investments in capital of unconsolidated FIs exceeding 10% CET1 deduction threshold",P853,0,19
"MSAs, net of associated DTLs, exceeding 10% CET1 deduction threshold",P854,0,20
"DTAs from temporary differences exceeding 10% CET1 deduction threshold",P855,0,21
"Amount of significant investments/MSAs/DTAs exceeding 15% CET1 deduction threshold",P856,0,22
"of which: significant investments in unconsolidated FIs",P890,0,23
"of which: MSAs, net of associated DTLs",P891,0,24
"of which: DTAs from temporary differences",P892,0,25
National specific regulatory adjustments (not applicable),,,26
Deductions applied to CET1 due to insufficient AT1 and T2 capital,P857,0,27
"Total adjustments and deductions for CET1 capital (sum items 8-22, plus item 27)",P858,5480000,28
Common equity tier 1 capital (item 6 less item 28),P859,103769000,29
