Schedule O - Retail Exposure: Other Retail Exposures - MDRM Grid,,,,,,,,,,
PD Range,Col A: Wtd-Avg PD,Col B: Num Exposures,Col C: Total Bal Sheet,Col D: Total Undrawn,Col E: EAD,Col F: EAD <2 Yrs Old,Col G: Wtd-Avg LGD,Col H: RWA,Col I: Expected Credit Loss,Col J: Wtd-Avg Bureau Score
1. 0.00 to < 0.50,AAOA J011,AAOB J011,AAOC J011,AAOD J011,AAOE J011,AAOF J011,AAOG J011,AAOH J011,AAOI J011,AAOJ J011
2. 0.50 to < 1.00,AAOA J015,AAOB J015,AAOC J015,AAOD J015,AAOE J015,AAOF J015,AAOG J015,AAOH J015,AAOI J015,AAOJ J015
3. 1.00 to < 1.50,AAOA J017,AAOB J017,AAOC J017,AAOD J017,AAOE J017,AAOF J017,AAOG J017,AAOH J017,AAOI J017,AAOJ J017
4. 1.50 to < 2.00,AAOA J018,AAOB J018,AAOC J018,AAOD J018,AAOE J018,AAOF J018,AAOG J018,AAOH J018,AAOI J018,AAOJ J018
5. 2.00 to < 2.50,AAOA J020,AAOB J020,AAOC J020,AAOD J020,AAOE J020,AAOF J020,AAOG J020,AAOH J020,AAOI J020,AAOJ J020
6. 2.50 to < 3.00,AAOA J021,AAOB J021,AAOC J021,AAOD J021,AAOE J021,AAOF J021,AAOG J021,AAOH J021,AAOI J021,AAOJ J021
7. 3.00 to < 3.50,AAOA J022,AAOB J022,AAOC J022,AAOD J022,AAOE J022,AAOF J022,AAOG J022,AAOH J022,AAOI J022,AAOJ J022
8. 3.50 to < 4.00,AAOA J023,AAOB J023,AAOC J023,AAOD J023,AAOE J023,AAOF J023,AAOG J023,AAOH J023,AAOI J023,AAOJ J023
9. 4.00 to < 5.00,AAOA J024,AAOB J024,AAOC J024,AAOD J024,AAOE J024,AAOF J024,AAOG J024,AAOH J024,AAOI J024,AAOJ J024
10. 5.00 to < 6.00,AAOA J026,AAOB J026,AAOC J026,AAOD J026,AAOE J026,AAOF J026,AAOG J026,AAOH J026,AAOI J026,AAOJ J026
11. 6.00 to < 7.00,AAOA J027,AAOB J027,AAOC J027,AAOD J027,AAOE J027,AAOF J027,AAOG J027,AAOH J027,AAOI J027,AAOJ J027
12. 7.00 to < 8.00,AAOA J028,AAOB J028,AAOC J028,AAOD J028,AAOE J028,AAOF J028,AAOG J028,AAOH J028,AAOI J028,AAOJ J028
13. 8.00 to < 10.00,AAOA J030,AAOB J030,AAOC J030,AAOD J030,AAOE J030,AAOF J030,AAOG J030,AAOH J030,AAOI J030,AAOJ J030
14. 10.00 to < 100,AAOA J032,AAOB J032,AAOC J032,AAOD J032,AAOE J032,AAOF J032,AAOG J032,AAOH J032,AAOI J032,AAOJ J032
15. 100.00 (default),AAOA J034,AAOB J034,AAOC J034,AAOD J034,AAOE J034,AAOF J034,AAOG J034,AAOH J034,AAOI J034,AAOJ J034
16. Total (calculated),AAOA J035,AAOB J035,AAOC J035,AAOD J035,AAOE J035,AAOF J035,AAOG J035,AAOH J035,AAOI J035,AAOJ J035
Memoranda,,,,,,,,,,
M.1 Non-material portfolios RWA,,,,,,,,AAOX J036,,
M.2 Credit scoring system(s),,,,,,,,,,AAOX J041
