Schedule H - Wholesale Exposure: Eligible Margin Loans/Repo-Style/OTC Derivatives with Cross-Product Netting - MDRM Grid,,,,,,,,,,,,,
,Exposures with EAD Adjustment,,,,,,Exposures Where Collateral Is Reflected in LGD,,,,,,
PD Range,Col A: Wtd-Avg PD,Col B: Wtd-Avg Maturity (Yrs),Col C: EAD,Col D: Wtd-Avg LGD,Col E: RWA,Col F: Expected Credit Loss,Col G: Wtd-Avg PD,Col H: Wtd-Avg Maturity (Yrs),Col I: EAD,Col J: Wtd-Avg LGD,Col K: RWA,Col L: Expected Credit Loss
1. 0.00 to < 0.03,AAHA J001,AAHB J001,AAHC J001,AAHD J001,AAHE J001,AAHF J001,AAHG J001,AAHH J001,AAHI J001,AAHJ J001,AAHK J001,AAHL J001
2. 0.03 to < 0.10,AAHA J003,AAHB J003,AAHC J003,AAHD J003,AAHE J003,AAHF J003,AAHG J003,AAHH J003,AAHI J003,AAHJ J003,AAHK J003,AAHL J003
3. 0.10 to < 0.15,AAHA J006,AAHB J006,AAHC J006,AAHD J006,AAHE J006,AAHF J006,AAHG J006,AAHH J006,AAHI J006,AAHJ J006,AAHK J006,AAHL J006
4. 0.15 to < 0.25,AAHA J008,AAHB J008,AAHC J008,AAHD J008,AAHE J008,AAHF J008,AAHG J008,AAHH J008,AAHI J008,AAHJ J008,AAHK J008,AAHL J008
5. 0.25 to < 0.50,AAHA J012,AAHB J012,AAHC J012,AAHD J012,AAHE J012,AAHF J012,AAHG J012,AAHH J012,AAHI J012,AAHJ J012,AAHK J012,AAHL J012
6. 0.50 to < 0.75,AAHA J014,AAHB J014,AAHC J014,AAHD J014,AAHE J014,AAHF J014,AAHG J014,AAHH J014,AAHI J014,AAHJ J014,AAHK J014,AAHL J014
7. 0.75 to < 1.35,AAHA J016,AAHB J016,AAHC J016,AAHD J016,AAHE J016,AAHF J016,AAHG J016,AAHH J016,AAHI J016,AAHJ J016,AAHK J016,AAHL J016
8. 1.35 to < 2.50,AAHA J019,AAHB J019,AAHC J019,AAHD J019,AAHE J019,AAHF J019,AAHG J019,AAHH J019,AAHI J019,AAHJ J019,AAHK J019,AAHL J019
9. 2.50 to < 5.50,AAHA J025,AAHB J025,AAHC J025,AAHD J025,AAHE J025,AAHF J025,AAHG J025,AAHH J025,AAHI J025,AAHJ J025,AAHK J025,AAHL J025
10. 5.50 to < 10.00,AAHA J029,AAHB J029,AAHC J029,AAHD J029,AAHE J029,AAHF J029,AAHG J029,AAHH J029,AAHI J029,AAHJ J029,AAHK J029,AAHL J029
11. 10.00 to < 100,AAHA J032,AAHB J032,AAHC J032,AAHD J032,AAHE J032,AAHF J032,AAHG J032,AAHH J032,AAHI J032,AAHJ J032,AAHK J032,AAHL J032
12. 100.00 (default),AAHA J034,AAHB J034,AAHC J034,AAHD J034,AAHE J034,AAHF J034,AAHG J034,AAHH J034,AAHI J034,AAHJ J034,AAHK J034,AAHL J034
13. Eligible margin loans at 300% risk weight,,,AAHC J037,,AAHE J037,,,,,,,,
14. Total (calculated),AAHA J035,AAHB J035,AAHC J035,AAHD J035,AAHE J035,AAHF J035,AAHG J035,AAHH J035,AAHI J035,AAHJ J035,AAHK J035,AAHL J035
