Schedule J - Wholesale Exposure: OTC Derivatives with No Cross-Product Netting - MDRM Grid,,,,,,,,,,,,,
,Exposures with EAD Adjustment,,,,,,Exposures Where Collateral Is Reflected in LGD,,,,,,
PD Range,Col A: Wtd-Avg PD,Col B: Wtd-Avg Maturity (Yrs),Col C: EAD,Col D: Wtd-Avg LGD,Col E: RWA,Col F: Expected Credit Loss,Col G: Wtd-Avg PD,Col H: Wtd-Avg Maturity (Yrs),Col I: EAD,Col J: Wtd-Avg LGD,Col K: RWA,Col L: Expected Credit Loss
1. 0.00 to < 0.03,AAJA J001,AAJB J001,AAJC J001,AAJD J001,AAJE J001,AAJF J001,AAJG J001,AAJH J001,AAJI J001,AAJJ J001,AAJK J001,AAJL J001
2. 0.03 to < 0.10,AAJA J003,AAJB J003,AAJC J003,AAJD J003,AAJE J003,AAJF J003,AAJG J003,AAJH J003,AAJI J003,AAJJ J003,AAJK J003,AAJL J003
3. 0.10 to < 0.15,AAJA J006,AAJB J006,AAJC J006,AAJD J006,AAJE J006,AAJF J006,AAJG J006,AAJH J006,AAJI J006,AAJJ J006,AAJK J006,AAJL J006
4. 0.15 to < 0.25,AAJA J008,AAJB J008,AAJC J008,AAJD J008,AAJE J008,AAJF J008,AAJG J008,AAJH J008,AAJI J008,AAJJ J008,AAJK J008,AAJL J008
5. 0.25 to < 0.50,AAJA J012,AAJB J012,AAJC J012,AAJD J012,AAJE J012,AAJF J012,AAJG J012,AAJH J012,AAJI J012,AAJJ J012,AAJK J012,AAJL J012
6. 0.50 to < 0.75,AAJA J014,AAJB J014,AAJC J014,AAJD J014,AAJE J014,AAJF J014,AAJG J014,AAJH J014,AAJI J014,AAJJ J014,AAJK J014,AAJL J014
7. 0.75 to < 1.35,AAJA J016,AAJB J016,AAJC J016,AAJD J016,AAJE J016,AAJF J016,AAJG J016,AAJH J016,AAJI J016,AAJJ J016,AAJK J016,AAJL J016
8. 1.35 to < 2.50,AAJA J019,AAJB J019,AAJC J019,AAJD J019,AAJE J019,AAJF J019,AAJG J019,AAJH J019,AAJI J019,AAJJ J019,AAJK J019,AAJL J019
9. 2.50 to < 5.50,AAJA J025,AAJB J025,AAJC J025,AAJD J025,AAJE J025,AAJF J025,AAJG J025,AAJH J025,AAJI J025,AAJJ J025,AAJK J025,AAJL J025
10. 5.50 to < 10.00,AAJA J029,AAJB J029,AAJC J029,AAJD J029,AAJE J029,AAJF J029,AAJG J029,AAJH J029,AAJI J029,AAJJ J029,AAJK J029,AAJL J029
11. 10.00 to < 100,AAJA J032,AAJB J032,AAJC J032,AAJD J032,AAJE J032,AAJF J032,AAJG J032,AAJH J032,AAJI J032,AAJJ J032,AAJK J032,AAJL J032
12. 100.00 (default),AAJA J034,AAJB J034,AAJC J034,AAJD J034,AAJE J034,AAJF J034,AAJG J034,AAJH J034,AAJI J034,AAJJ J034,AAJK J034,AAJL J034
13. Total (calculated),AAJA J035,AAJB J035,AAJC J035,AAJD J035,AAJE J035,AAJF J035,AAJG J035,AAJH J035,AAJI J035,AAJJ J035,AAJK J035,AAJL J035
Memoranda,,,,,,,,,,,,,
M.1 EAD Adjustment Method (% of line 13 col C),,,AAJX J038 (Collateral Haircut),,,,,,,,AAJX J040 (Internal Models),,
