Assets (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022,Percent Change 1-Year,Percent Change 5-Year
Real estate loans,36132000,32313000,33680000,30078000,32129000,11.82,45.68
Commercial and industrial loans,37701000,38021000,34433000,41111000,46034000,-0.84,12.85
Loans to individuals,31524000,29120000,30949000,31740000,33127000,8.26,154.49
Loans to depository institutions and acceptances of other banks,1427000,669000,1187000,196000,204000,113.30,1041.60
Agricultural loans,111000,59000,85000,59000,10000,88.14,593.75
Other loans and leases,205773000,164423000,173687000,152579000,125237000,25.15,132.27
Less: Unearned income,0,0,0,0,0,,
Loans and leases net of unearned income,312668000,264605000,274021000,255763000,236741000,18.16,96.24
Less: Allowance for credit losses on loans and leases,4508000,4752000,4666000,5050000,5543000,-5.13,21.38
Net loans and leases,308160000,259853000,269355000,250713000,231198000,18.59,98.03
Debt securities that reprice or mature in over 1 year,154176000,127981000,117254000,85611000,87254000,20.47,266.82
Mutual funds and equity securities,26000,23000,54000,50000,46000,13.04,44.44
Subtotal,462362000,387857000,386663000,336374000,318498000,19.21,133.91
Interest-bearing bank balances,164316000,149329000,178051000,234341000,235573000,10.04,17.64
Federal funds sold and reverse repos,346306000,415174000,373119000,421569000,412894000,-16.59,51.45
Debt securities that reprice or mature within 1 year,22455000,28635000,40156000,33376000,13327000,-21.58,725.55
Trading assets,659028000,611441000,579456000,492503000,317820000,7.78,51.25
Total earning assets,1654467000,1592436000,1557445000,1518163000,1298112000,3.90,64.71
Non-interest-bearing cash and due from depository institutions,6744000,6197000,5385000,7719000,6848000,8.83,-41.85
Premises fixed assets and right-of-use assets,8774000,8938000,8770000,9490000,9923000,-1.83,-7.88
Other real estate owned,50000,56000,71000,143000,130000,-10.71,-86.70
Investment in unconsolidated subsidiaries,630000,559000,773000,546000,651000,12.70,221.43
Intangible and other assets,137317000,119896000,103530000,105535000,126137000,14.53,29.64
Total assets,1807982000,1728080000,1675972000,1641594000,1441799000,4.62,59.71
Quarterly average assets,1806172000,1692584000,1700370000,1581536000,1503486000,6.71,58.51
Average loans and leases (YTD),291824667,262599333,265454500,244775750,245591750,11.13,81.23
Memoranda,,,,,,,,
Loans held-for-sale,14884000,13983000,14844000,15523000,14430000,6.44,83.91
Loans not held-for-sale,297784000,250622000,259177000,240240000,222311000,18.82,96.90
Real estate loans secured by 1-4 family,19443000,18984000,19942000,17403000,17209000,2.42,53.77
Commercial real estate loans,13356000,11120000,11459000,11059000,12366000,20.11,49.51
Construction and land development,3317000,3047000,3611000,2752000,3633000,8.86,-8.67
Multifamily,1827000,1279000,1228000,1157000,1037000,42.85,214.46
Nonfarm nonresidential,8212000,6794000,6620000,7150000,7696000,20.87,73.98
Real estate loans secured by farmland,25000,19000,43000,19000,19000,31.58,19.05
Total investment securities,176657000,156639000,157464000,119037000,100627000,12.78,294.61
U.S. Treasury securities,143241000,131592000,131791000,116020000,98241000,8.85,230.08
US agency securities (excluding MBS),0,0,0,0,0,,
Municipal securities,0,0,0,0,0,,
Mortgage-backed securities,25835000,19895000,20753000,198000,164000,29.86,3488.19
Asset-backed securities,0,0,0,0,0,,
Other debt securities,7555000,5129000,4866000,2769000,2176000,47.30,1091.64
Mutual funds and equity securities,26000,23000,54000,50000,46000,13.04,44.44
Available-for-sale securities,103350000,77677000,79040000,49024000,49143000,33.05,165.01
AFS U.S. Treasury securities,96720000,73445000,75019000,46618000,46967000,31.69,152.11
AFS US agency securities (excluding MBS),0,0,0,0,0,,
AFS Municipal securities,0,0,0,0,0,,
AFS Mortgage-backed securities,0,0,0,0,0,,
AFS Asset-backed securities,0,0,0,0,0,,
AFS Other debt securities,6630000,4232000,4021000,2406000,2176000,56.66,945.74
AFS Mutual funds and equity securities,0,0,0,0,0,,
Held-to-maturity securities appreciation (depreciation),416000,416000,-677000,-520000,-1405000,0.00,13.66
Available-for-sale securities appreciation (depreciation),-143000,-835000,-1319000,-1860000,-3512000,,
Structured notes fair value,0,0,0,0,0,,
Pledged securities,16961000,12611000,6802000,21073000,775000,34.49,403.00
