Parent Company Balance Sheet (Dollar Amount in Thousands),09/30/2025,% of Total Assets,09/30/2024,% of Total Assets,12/31/2024,% of Total Assets,12/31/2023,12/31/2022,Percent Change 1-Year,Percent Change 5-Year
Assets,,,,,,,,,,
Investment in bank subsidiaries,70719000,12.71,63089000,11.83,69210000,13.35,57055000,53127000,12.09,124.07
Common and preferred stock,65981000,11.86,61743000,11.58,63427000,12.23,55165000,49534000,6.86,113.83
Excess cost over fair value,0,0,0,0,0,0,0,0,,
"Loans, advances, notes, and bonds",1910000,0.34,355000,0.07,2242000,0.43,851000,3103000,438.03,938.04
Other receivables,2828000,0.51,991000,0.19,3541000,0.68,1039000,490000,185.37,443.85
Investment in nonbank subsidiaries,397756000,71.49,380656000,71.38,362511000,69.91,367740000,348915000,4.49,29.06
Common and preferred stock,81135000,14.58,80346000,15.07,79715000,15.37,80954000,87434000,0.98,14.19
Excess cost over fair value,0,0,0,0,0,0,0,0,,
"Loans, advances, notes, and bonds",302560000,54.38,285038000,53.45,269627000,52,268831000,243858000,6.15,33.54
Other receivables,14061000,2.53,15272000,2.86,13169000,2.54,17955000,17623000,-7.93,32.89
Investment in subsidiary holding companies,0,0,0,0,0,0,0,0,,
Common and preferred stock,0,0,0,0,0,0,0,0,,
Excess cost over fair value,0,0,0,0,0,0,0,0,,
"Loans, advances, notes, and bonds",0,0,0,0,0,0,0,0,,
Other receivables,0,0,0,0,0,0,0,0,,
Assets Excluding Investment in Subsidiaries,,,,,,,,,,
Net loans and leases,1176000,0.21,1031000,0.19,1103000,0.21,827000,456000,14.06,68.48
Securities,77940000,14.01,80704000,15.13,79552000,15.34,78333000,68629000,-3.42,412.83
Securities purchased (reverse repos),0,0,0,0,0,0,0,0,,
Cash and due from affiliated depository institution,5000,0,4000,0,2000,0,7000,2000,25.00,
Cash and due from unrelated depository institution,20000,0,42000,0.01,19000,0,35000,35000,-52.38,-76.19
"Premises, furnishings, fixtures and equipment",675000,0.12,543000,0.10,568000,0.11,551000,570000,24.31,29.06
Intangible assets,0,0,0,0,0,0,0,0,,
Other assets,8119000,1.46,7226000,1.35,5598000,1.08,7675000,7289000,12.36,111.21
Balance due from subsidiaries and related institutions,0,0,0,0,0,0,0,0,,
Total assets,556410000,100.00,533295000,100.00,518563000,100.00,512223000,479023000,4.33,54.51
Liabilities and Capital,,,,,,,,,,
Deposits,0,0,0,0,0,0,0,0,,
Securities sold (repos),0,0,0,0,0,0,0,0,,
Commercial paper,0,0,0,0,0,0,0,0,,
Other borrowings 1 year or less,12909000,2.32,22993000,4.31,18640000,3.59,30026000,22026000,-43.86,-34.74
Borrowings with maturity over 1 year,172938000,31.08,156639000,29.37,157326000,30.34,162384000,173037000,10.41,13.48
Subordinated notes and debentures,11643000,2.09,12008000,2.25,11217000,2.16,11898000,11882000,-3.04,-38.71
Other liabilities,5766000,1.04,4534000,0.85,5763000,1.11,5454000,5387000,27.17,-17.13
Balance due to subsidiaries and related institutions,228752000,41.11,215921000,40.49,203621000,39.27,185556000,149502000,5.94,229.92
Total liabilities,432008000,77.64,412095000,77.27,396567000,76.47,395318000,361834000,4.83,61.52
Equity Capital,124402000,22.36,121200000,22.73,121996000,23.53,116905000,117189000,2.64,34.27
Perpetual preferred stock (income surplus),15153000,2.72,13253000,2.49,13253000,2.56,11203000,10703000,14.34,35.26
Common stock,9000,0,9000,0,9000,0,9000,9000,0.00,0.00
Common surplus,67462000,12.12,66462000,12.46,66524000,12.83,65368000,64746000,1.50,14.40
Retained earnings,162143000,29.14,150454000,28.21,153412000,29.58,143688000,139372000,7.77,48.71
Accumulated other comprehensive income,-2476000,-0.44,-2503000,-0.47,-2702000,-0.52,-2918000,-3010000,,
Other equity capital components,-117889000,-21.19,-106475000,-19.97,-108500000,-20.92,-100445000,-94631000,,
Total liabilities and equity capital,556410000,100.00,533295000,100.00,518563000,100.00,512223000,479023000,4.33,54.51
Memoranda,,,,,,,,,,
Loans and advances from bank subsidiaries,2000,0,18000,0,20000,0,40000,557000,-88.89,-98.35
Loans and advances from nonbank subsidiaries,223702000,40.20,211193000,39.60,199387000,38.45,183072000,145521000,5.92,231.98
Notes payable to subsidiaries that issued TPS,939000,0.17,939000,0.18,939000,0.18,939000,939000,0.00,0.00
Loans and advances from subsidiary holding companies,0,0,0,0,0,0,0,0,,
Subordinated and long-term debt 1 year or less,108872000,19.57,113734000,21.33,110120000,21.24,99376000,87149000,-4.27,219.90
"Guaranteed loans to banks, nonbanks, and holding companies",143409000,25.77,117712000,22.07,115226000,22.22,92350000,87402000,21.83,130.33
