Servicing Securitization and Asset Sale Activities Part 2 (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022
Percent of Total Securitization Activities by Type,,,,,,
Retained credit exposure,1,1.30,1.14,0.91,2.16
1-4 family residential loans,1.86,1.89,1.87,1.78,3.35
Home equity lines,,,,,,
Credit card receivables,,,,,,
Auto loans,,,,,,
Commercial and industrial loans,,,,,,
All other loans and leases,0.25,0.52,0.41,0.47,1.30
Unused commitments to provide liquidity (servicer advance),0,0.40,0,0.27,0.73
Seller's interest carried as securities and loans,0,0,0,0,0
Percent of Tier 1 Capital,,,,,,
Total retained credit exposure,0.08,0.10,0.09,0.11,0.18
Total retained credit exposure and asset sale credit exposure,1.11,1.34,1.55,1.39,1.46
30-89 Days Past Due Securitized Assets,,,,,,Percent Change 1-Year,Percent Change 5-Year
1-4 family residential loans,112000,161000,145000,111000,97000,-30.43,-42.56
Home equity lines,0,0,0,0,0,,
Credit card receivables,0,0,0,0,0,,
Auto loans,0,0,0,0,0,,
Commercial and industrial loans,0,0,0,0,0,,
All other loans and leases,4000,8000,12000,52000,52000,-50.00,
Total 30-89 days past due securitized assets,116000,169000,157000,163000,149000,-31.36,-40.51
90+ Days Past Due Securitized Assets,,,,,,,,
1-4 family residential loans,528000,702000,652000,396000,339000,-24.79,7.32
Home equity lines,0,0,0,0,0,,
Credit card receivables,0,0,0,0,0,,
Auto loans,0,0,0,0,0,,
Commercial and industrial loans,0,0,0,0,0,,
All other loans and leases,0,4000,5000,15000,20000,,
Total 90+ days past due securitized assets,528000,706000,657000,411000,359000,-25.21,7.32
Total past due securitized assets,644000,875000,814000,574000,508000,-26.40,-6.26
Net Losses on Securitized Assets,,,,,,,,
1-4 family residential loans,0,0,0,0,0,,
Home equity lines,0,0,0,0,0,,
Credit card receivables,0,0,0,0,0,,
Auto loans,0,0,0,0,0,,
Commercial and industrial loans,0,0,0,0,0,,
All other loans and leases,0,0,0,23000,8000,,
Total net losses on securitized assets,0,0,0,23000,8000,,
