Summary Ratios,09/30/2025 BHC,09/30/2025 Peer 1,09/30/2025 Pct,09/30/2024 BHC,09/30/2024 Peer 1,09/30/2024 Pct,12/31/2024 BHC,12/31/2024 Peer 1,12/31/2024 Pct,12/31/2023 BHC,12/31/2023 Peer 1,12/31/2023 Pct,12/31/2022 BHC,12/31/2022 Peer 1,12/31/2022 Pct
Average assets ($000),1767297667,,, 1670747000,,,1678152750,,,1555169250,,,1545690000,,
Net income ($000),12559000,,,10165000,,,14276000,,,8516000,,,11261000,,
Number of BHCs in peer group,134,,,136,,,135,,,139,,,131,,
Earnings and Profitability - Percent of Average Assets,,,,,,,,,,,,,,,,
Net interest income (tax equivalent),0.75,2.97,0,0.46,2.77,0,0.49,2.78,0,0.42,2.84,0,0.52,2.86,1
+ Non-interest income,2.65,1,92,2.71,0.94,93,2.71,0.95,93,2.57,0.96,90,2.57,0.89,94
- Overhead expense,2.10,2.39,30,2.04,2.36,27,2.01,2.37,25,2.22,2.44,41,2.02,2.19,43
- Provision for credit losses,0.08,0.23,21,0.08,0.20,24,0.08,0.19,26,0.07,0.19,25,0.18,0.13,73
+ Securities gains (losses),0,-0.01,22,0,-0.05,39,0,-0.06,45,0,-0.03,87,0,0,51
+ Other tax equivalent adjustments,0,0,49,0,0,46,0,0,50,0,0,82,0,0,87
= Pretax net operating income (tax equivalent),1.22,1.36,40,1.06,1.16,42,1.11,1.16,45,0.70,1.18,20,0.90,1.46,10
Net operating income,0.95,1.03,41,0.81,0.87,41,0.85,0.88,44,0.55,0.88,22,0.73,1.11,13
Net income,0.95,1.03,41,0.81,0.89,40,0.85,0.90,43,0.55,0.89,21,0.73,1.11,13
Net income (Subchapter S adjusted),1.16,,,,0.73,,,,0.79,,,,0.99,,,,1.53,,
Percent of Average Earning Assets,,,,,,,,,,,,,,,,
Interest income (tax equivalent),4.70,5.46,10,5.08,5.59,27,5.02,5.55,23,4.59,5.23,21,1.97,3.62,3
Interest expense,3.92,2.24,94,4.60,2.58,95,4.52,2.54,95,4.16,2.14,95,1.44,0.55,93
Net interest income (tax equivalent),0.78,3.22,0,0.48,3.01,0,0.50,3.02,0,0.43,3.08,0,0.54,3.09,1
Losses Allowance and Past Due + Nonaccrual,,,,,,,,,,,,,,,,
Net credit losses on loans and leases / Average loans and leases,0.49,0.27,80,0.60,0.27,87,0.61,0.28,87,0.68,0.22,91,0.30,0.09,87
Earnings coverage of net credit losses on loans and leases (X),15.77,18.38,68,11.95,17.81,55,12.13,16.23,61,7.13,25.03,31,22.12,55.30,43
Allowance for credit losses on loans and leases / Total loans and leases not held-for-sale,1.51,1.27,77,1.90,1.28,87,1.80,1.27,86,2.10,1.24,90,2.49,1.16,94
Allowance for credit losses on loans and leases / Total loans and leases,1.44,1.26,74,1.80,1.27,86,1.70,1.26,83,1.97,1.23,88,2.34,1.15,94
Nonaccrual loans and leases + OREO / Total loans and leases + OREO,1.59,0.72,92,2.31,0.64,97,1.91,0.67,94,2.26,0.50,97,2.34,0.38,98
30-89 days past due loans and leases / Total loans and leases,0.42,0.38,64,0.46,0.41,67,0.35,0.45,47,0.23,0.40,34,0.37,0.34,66
Liquidity and Funding,,,,,,,,,,,,,,,,
Net noncore funding dependence,69.30,9.72,98,65.40,11.07,98,60.75,10.23,98,35.18,12.91,90,-17.96,8.68,3
Net short-term noncore funding dependence,-8.23,2.93,11,-17.82,3.72,7,-21.28,3.22,5,-56.93,5.15,2,-115.62,3.04,1
Net loans and leases / Total assets,17.04,64.24,2,15.04,64.44,2,16.07,64.60,2,15.27,63.69,2,16.04,63.56,3
Capitalization,,,,,,,,,,,,,,,,
Tier 1 leverage ratio,6.59,9.97,3,6.83,9.77,3,6.83,9.86,3,7.02,9.48,5,7.28,9.26,9
Holding company equity capital / Total assets,6.88,11.13,3,7.01,10.83,4,7.28,10.79,8,7.12,10.33,9,8.13,9.83,23
Total equity capital (including minority interest) / Total assets,6.90,11.26,2,7.04,10.96,2,7.30,10.95,6,7.14,10.46,7,8.17,9.96,21
Common equity tier 1 capital / Total risk-weighted assets,14.34,12.79,76,14.65,12.65,80,14.97,12.81,80,14.35,12.38,79,15.02,11.81,87
Net loans and leases / Equity capital (X),2.48,5.84,3,2.14,6.07,2,2.21,6.10,2,2.14,6.27,3,1.97,6.59,3
Cash dividends / Net income,30.48,31.78,43,33.10,37.50,40,31.65,42.95,40,49.20,40.19,66,32.86,32.07,49
Cash dividends / Net income (Subchapter S adjusted),23.87,,,,62.37,,,,37.47,,,,33.91,,,,49.64,,
Growth Rates,,,,,,,,,,,,,,,,
Assets,4.62,6.89,54,9.57,3.75,84,2.09,2.32,52,13.86,4.19,86,-1.52,5.08,32
Equity capital,2.64,8.90,21,3.35,13.16,10,4.35,7.01,32,-0.24,9.13,8,6.61,-2.85,74
Net loans and leases,18.59,7.55,86,7.11,2.90,78,7.44,2.44,80,8.44,5.34,73,-5.14,14.53,3
Noncore funding,0.79,-0.15,55,14.85,-0.26,74,2.30,-7.18,66,33.60,41.97,57,-11.21,89.54,9
Parent Company Ratios,,,,,,,,,,,,,,,,
Short-term debt / Equity capital,10.38,0.34,98,18.97,0.83,98,15.28,0.79,97,25.68,0.58,98,18.80,0.50,98
Long-term debt / Equity capital,148.37,11.81,97,139.15,12.21,97,138.15,12.19,97,149.08,13.06,97,157.80,12.27,97
Equity investment in subsidiaries / Equity capital,118.26,101.97,91,117.24,102.48,93,117.33,102.12,93,116.44,102.59,92,116.88,104.31,89
Cash from ops + noncash items + op expense / Op expense + dividends,159.21,163.37,56,152.37,137.07,63,130.79,139.35,55,179.04,143.06,76,442.36,132.32,95
