Income Statement - Revenues and Expenses (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022,Percent Change 1-Year,Percent Change 5-Year
Interest and fees on loans,21461000,22077000,29226000,25569000,13480000,-2.79,344.24
Income from lease financing receivables,0,0,0,0,8000,-100.00,
Fully taxable income on loans and leases,21461000,22077000,29226000,25569000,13488000,-2.79,343.68
Tax-exempt income on loans and leases,0,0,0,0,0,,
Estimated tax benefit on income on loans and leases,0,0,0,0,0,,
Income on loans and leases (tax equivalent),21461000,22077000,29226000,25569000,13488000,-2.79,343.68
Investment interest income (tax equivalent),5209000,3538000,5092000,2749000,1479000,47.23,1464.26
Interest on balances due from depository institutions,4576000,7592000,9282000,10967000,3235000,-39.73,1822.69
Interest income on other earning assets,28862000,28304000,37897000,29336000,11145000,1.97,442.01
Total interest income (tax equivalent),60108000,61511000,81497000,68621000,29347000,-2.28,460.03
Interest on time deposits of $250K or more,651000,666000,875000,528000,341000,-2.25,296.95
Interest on time deposits < $250K,2767000,2567000,3476000,2105000,713000,7.79,297.56
Interest on foreign office deposits,3038000,3474000,4482000,3352000,864000,-12.55,758.19
Interest on other deposits,7288000,8846000,11449000,11025000,3905000,-17.61,848.96
Interest on other borrowings and trading liabilities,35767000,39458000,52125000,44254000,15114000,-9.35,601.73
Interest on subordinated debt and mandatory convertible securities,632000,721000,934000,900000,409000,-12.34,113.51
Total interest expense,50143000,55732000,73341000,62164000,21346000,-10.03,579.91
Net interest income (tax equivalent),9965000,5779000,8156000,6457000,8001000,72.43,196.75
Non-interest income,35061000,34006000,45547000,39918000,39715000,3.10,20.04
Adjusted operating income (tax equivalent),45026000,39785000,53703000,46375000,47716000,13.17,38.26
Overhead expense,27822000,25506000,33767000,34487000,31164000,9.08,19.01
Provision for credit losses,1010000,997000,1348000,1028000,2715000,,-59.65
Securities gains (losses),-59000,-29000,-38000,8000,0,,
Other tax equivalent adjustments,0,0,0,1000,1000,,
Pretax net operating income (tax equivalent),16135000,13253000,18550000,10869000,13838000,21.75,130.37
Applicable income taxes,3438000,2975000,4121000,2223000,2225000,15.56,73.20
Tax equivalent adjustments,114000,68000,100000,107000,319000,67.65,714.29
Applicable income taxes (tax equivalent),3552000,3043000,4221000,2330000,2544000,16.73,77.69
Minority interest,24000,45000,53000,23000,33000,-46.67,-53.85
Net income before discontinued operations net of minority interest,12559000,10165000,14276000,8516000,11261000,23.55,153.56
Discontinued operations net of applicable income taxes,0,0,0,0,0,,
Net income attributable to holding company,12559000,10165000,14276000,8516000,11261000,23.55,153.56
Memoranda,,,,,,,,
Net income - holding company and noncontrolling (minority) interest,12583000,10210000,14329000,8539000,11294000,23.24,151.41
Investment securities income (tax equivalent),5209000,3538000,5092000,2749000,1479000,47.23,1464.26
US Treasury and agency securities (excluding MBS),4019000,3008000,4227000,2612000,1118000,33.61,1204.87
Mortgage-backed securities,959000,416000,689000,11000,33000,130.53,8618.18
All other securities,231000,114000,176000,126000,328000,102.63,1550.00
Cash dividends declared,3828000,3365000,4518000,4190000,3700000,13.76,119.24
Common,3185000,2836000,3801000,3591000,3203000,12.31,136.45
Preferred,643000,529000,717000,599000,497000,21.55,61.15
