schedule,item,description,mdrm_code,data_type,reporting_frequency
RI,1.a.(1)(a),"Interest and fee income on loans secured by 1-4 family residential properties",RIAD 4435,Amount,Quarterly
RI,1.a.(1)(b),"All other loans secured by real estate",RIAD 4436,Amount,Quarterly
RI,1.a.(2),"Commercial and industrial loans",RIAD 4012,Amount,Quarterly
RI,1.a.(3)(a),"Credit cards",RIAD B485,Amount,Quarterly
RI,1.a.(3)(b),"Other consumer loans (revolving credit plans other than credit cards, automobile loans, other)",RIAD B486,Amount,Quarterly
RI,1.a.(5),"All other loans",RIAD 4058,Amount,Quarterly
RI,1.a.(6),"Total interest and fee income on loans (sum of 1.a.(1)(a) through 1.a.(5))",RIAD 4010,Amount,Quarterly
RI,1.b.,"Income from lease financing receivables",RIAD 4065,Amount,Quarterly
RI,1.c.,"Interest income on balances due from depository institutions",RIAD 4115,Amount,Quarterly
RI,1.d.(1),"U.S. Treasury securities and U.S. Government agency obligations (excluding MBS)",RIAD B488,Amount,Quarterly
RI,1.d.(2),"Mortgage-backed securities",RIAD B489,Amount,Quarterly
RI,1.d.(3),"All other securities (includes securities issued by states and political subdivisions)",RIAD 4060,Amount,Quarterly
RI,1.f.,"Interest income on federal funds sold and securities purchased under agreements to resell",RIAD 4020,Amount,Quarterly
RI,1.g.,"Other interest income",RIAD 4518,Amount,Quarterly
RI,1.h.,"Total interest income (sum of items 1.a.(6) through 1.g)",RIAD 4107,Amount,Quarterly
RI,2.a.(1),"Interest on transaction accounts (demand deposits, NOW, ATS, telephone/preauthorized transfer)",RIAD 4508,Amount,Quarterly
RI,2.a.(2)(a),"Savings deposits (includes MMDAs)",RIAD 0093,Amount,Quarterly
RI,2.a.(2)(b),"Time deposits of $250,000 or less",RIAD HK03,Amount,Quarterly
RI,2.a.(2)(c),"Time deposits of more than $250,000",RIAD HK04,Amount,Quarterly
RI,2.b.,"Expense of federal funds purchased and securities sold under agreements to repurchase",RIAD 4180,Amount,Quarterly
RI,2.c.,"Other interest expense",RIAD GW44,Amount,Quarterly
RI,2.e.,"Total interest expense (sum of items 2.a through 2.c)",RIAD 4073,Amount,Quarterly
RI,3.,"Net interest income (item 1.h minus 2.e)",RIAD 4074,Amount,Quarterly
RI,4.,"Provisions for credit losses",RIAD JJ33,Amount,Quarterly
RI,5.a.,"Income from fiduciary activities",RIAD 4070,Amount,Quarterly
RI,5.b.,"Service charges on deposit accounts",RIAD 4080,Amount,Quarterly
RI,5.d.(1),"Fees and commissions from securities brokerage, investment banking, advisory, underwriting",RIAD HT73,Amount,Quarterly
RI,5.d.(2),"Income from insurance activities",RIAD HT74,Amount,Quarterly
RI,5.f.,"Net servicing fees",RIAD B492,Amount,Quarterly
RI,5.i.,"Net gains (losses) on sales of loans and leases",RIAD 5416,Amount,Quarterly
RI,5.j.,"Net gains (losses) on sales of other real estate owned",RIAD 5415,Amount,Quarterly
RI,5.k.,"Net gains (losses) on sales of other assets",RIAD B496,Amount,Quarterly
RI,5.l.,"Other noninterest income",RIAD B497,Amount,Quarterly
RI,5.m.,"Total noninterest income (sum of items 5.a through 5.l)",RIAD 4079,Amount,Quarterly
RI,6.a.,"Realized gains (losses) on held-to-maturity securities",RIAD 3521,Amount,Quarterly
RI,6.b.,"Realized gains (losses) on available-for-sale debt securities",RIAD 3196,Amount,Quarterly
RI,7.a.,"Salaries and employee benefits",RIAD 4135,Amount,Quarterly
RI,7.b.,"Expenses of premises and fixed assets (net of rental income)",RIAD 4217,Amount,Quarterly
RI,7.c.(1),"Goodwill impairment losses",RIAD C216,Amount,Quarterly
RI,7.c.(2),"Amortization expense and impairment losses for other intangible assets",RIAD C232,Amount,Quarterly
RI,7.d.,"Other noninterest expense",RIAD 4092,Amount,Quarterly
RI,7.e.,"Total noninterest expense (sum of items 7.a through 7.d)",RIAD 4093,Amount,Quarterly
RI,8.a.,"Income (loss) before change in unrealized gains on equity securities, taxes, discontinued ops",RIAD HT69,Amount,Quarterly
RI,8.b.,"Change in net unrealized holding gains (losses) on equity securities not held for trading",RIAD HT70,Amount,Quarterly
RI,8.c.,"Income (loss) before applicable income taxes and discontinued operations",RIAD 4301,Amount,Quarterly
RI,9.,"Applicable income taxes (on item 8.c)",RIAD 4302,Amount,Quarterly
RI,10.,"Income (loss) before discontinued operations (item 8.c minus item 9)",RIAD 4300,Amount,Quarterly
RI,11.,"Discontinued operations, net of applicable income taxes",RIAD FT28,Amount,Quarterly
RI,12.,"Net income (loss) attributable to bank and noncontrolling interests (sum of 10 and 11)",RIAD G104,Amount,Quarterly
RI,13.,"LESS: Net income (loss) attributable to noncontrolling (minority) interests",RIAD G103,Amount,Quarterly
RI,14.,"Net income (loss) attributable to bank (item 12 minus item 13)",RIAD 4340,Amount,Quarterly
