Type of Equity Investments,Total On-balance Sheet ($ millions),Risk Weight %,RWA ($ millions)
Simple Risk-Weight Approach:,,,
Exposures in the 0% risk weight category,605,0%,0
Exposures in the 20% risk weight category,100,20%,21
Community development equity exposures,5167,100%,7427
Non-significant equity exposures,9706,100%,10698
Significant investments in unconsolidated financial institutions,2973,250%,7688
Publicly traded equity exposures,0,300%,0
Non-publicly traded equity exposures,448,400%,2039
Exposures in the 600% risk weight category,195,600%,1095
Sub-total,19194,N/A,28968
Equity exposures to investment funds:,,,
Alternative Modified Look-Through Approach,1187,N/A,513
Total Equities Not Subject to Market Risk Capital Rule,20381,N/A,29481
Quarter-to-date realized gains/(losses) from sales and liquidations,,,69
Total unrealized gains/(losses) on equity securities reflected in AOCI,,,-1
Unrecognized gains/(losses) related to investments carried at cost,,,-1
Unrealized gains/(losses) included in Tier 1 and/or Tier 2 capital,,,0
