Notes to Consolidated Financial Statements References,Section,Form 10-K Page reference,Form 10-Q Page reference
Note 1,Basis of presentation,177-180,96
Note 2,Fair value measurement,181-202,97-111
Note 3,Fair value option,203-206,112-115
Note 4,Credit risk concentrations,207-208,
Note 5,Derivative instruments (Note 4 in 10-Q),209-224,116-128
Note 8,Pension and other postretirement employee benefit plans (Note 7 in 10-Q),230-232,132
Note 9,Employee share-based incentives (Note 8 in 10-Q),233-234,133
Note 10,Investment securities (Note 9 in 10-Q),235-239,134-137
Note 11,Securities financing activities (Note 10 in 10-Q),240-242,138-139
Note 12,Loans (Note 11 in 10-Q),243-265,140-156
Note 13,Allowance for credit losses (Note 12 in 10-Q),266-270,157-159
Note 14,Variable interest entities (Note 13 in 10-Q),271-279,160-166
Note 15,Goodwill and Mortgage servicing rights (Note 14 in 10-Q),280-284,167-170
Note 18,Leases (Note 16 in 10-Q),286-287,171
Note 20,Long-term debt,289-290,
Note 21,Preferred stock (Note 17 in 10-Q),291-292,172
Note 22,Common stock,293,
Note 24,Accumulated other comprehensive income/(loss) (Note 19 in 10-Q),295,174-175
Note 26,Restrictions on cash and intercompany funds transfers (Note 20 in 10-Q),299,176
Note 27,Regulatory capital (Note 21 in 10-Q),300-301,177-178
Note 28,Off-balance sheet lending-related financial instruments guarantees and other commitments (Note 22 in 10-Q),302-307,179-182
Note 29,Pledged assets and collateral (Note 23 in 10-Q),308,182
Note 34,Business combinations,319-326,
