Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC,Cash - noninterest bearing,Noninterest-bearing balances and currency and coin,RCFD,0081,1.a.
RC,Cash - interest bearing,Interest-bearing balances,RCFD,0071,1.b.
RC,HTM securities,Held-to-maturity securities (from RC-B col A) net of allowance,RCFD,JJ34,2.a.
RC,AFS debt securities,Available-for-sale debt securities (from RC-B col D),RCFD,1773,2.b.
RC,Equity securities,Equity securities with readily determinable fair values not held for trading,RCFD,JA22,2.c.
RC,Fed funds sold,Federal funds sold in domestic offices,RCON,B987,3.a.
RC,Reverse repos,Securities purchased under agreements to resell,RCFD,B989,3.b.
RC,Loans held for sale,Loans and leases held for sale,RCFD,5369,4.a.
RC,Loans held for investment,Loans and leases held for investment,RCFD,B528,4.b.
RC,LESS: Loan loss allowance,LESS: Allowance for credit losses on loans and leases,RCFD,3123,4.c.
RC,Net loans,Loans and leases held for investment net of allowance,RCFD,B529,4.d.
RC,Trading assets,Trading assets (from RC-D),RCFD,3545,5.
RC,Premises and fixed assets,Premises and fixed assets (including right-of-use assets),RCFD,2145,6.
RC,OREO,Other real estate owned (from RC-M),RCFD,2150,7.
RC,Unconsolidated subsidiaries,Investments in unconsolidated subsidiaries and associated companies,RCFD,2130,8.
RC,RE ventures,Direct and indirect investments in real estate ventures,RCFD,3656,9.
RC,Intangible assets,Intangible assets (from RC-M),RCFD,2143,10.
RC,Other assets,Other assets (from RC-F),RCFD,2160,11.
RC,Total assets,Total assets (sum of items 1 through 11),RCFD,2170,12.
RC,Deposits domestic,Deposits in domestic offices,RCON,2200,13.a.
RC,Deposits domestic nonint,Noninterest-bearing domestic deposits,RCON,6631,"13.a.(1)"
RC,Deposits domestic int,Interest-bearing domestic deposits,RCON,6636,"13.a.(2)"
RC,Deposits foreign,Deposits in foreign offices Edge and Agreement subsidiaries and IBFs,RCFN,2200,13.b.
RC,Deposits foreign nonint,Noninterest-bearing foreign deposits,RCFN,6631,"13.b.(1)"
RC,Deposits foreign int,Interest-bearing foreign deposits,RCFN,6636,"13.b.(2)"
RC,Fed funds purchased,Federal funds purchased in domestic offices,RCON,B993,14.a.
RC,Repos,Securities sold under agreements to repurchase,RCFD,B995,14.b.
RC,Trading liabilities,Trading liabilities (from RC-D),RCFD,3548,15.
RC,Other borrowed money,Other borrowed money (includes mortgage indebtedness),RCFD,3190,16.
RC,Subordinated debt,Subordinated notes and debentures,RCFD,3200,19.
RC,Other liabilities,Other liabilities (from RC-G),RCON,2930,20.
RC,Total liabilities,Total liabilities (sum of items 13 through 20),RCFD,2948,21.
RC,Perpetual preferred stock,Perpetual preferred stock and related surplus,RCFD,3838,23.
RC,Common stock,Common stock,RCFD,3230,24.
RC,Surplus,Surplus (exclude all surplus related to preferred stock),RCFD,3839,25.
RC,Retained earnings,Retained earnings,RCFD,3632,26.a.
RC,AOCI,Accumulated other comprehensive income,RCFD,B530,26.b.
RC,Other equity components,Other equity capital components (treasury stock and unearned ESOP),RCFD,A130,26.c.
RC,Total bank equity,Total bank equity capital (sum of items 23 through 26.c),RCFD,3210,27.a.
RC,Minority interests,Noncontrolling (minority) interests in consolidated subsidiaries,RCFD,3000,27.b.
RC,Total equity capital,Total equity capital (sum of items 27.a and 27.b),RCFD,G105,28.
RC,Total liabilities and equity,Total liabilities and equity capital (sum of items 21 and 28),RCFD,3300,29.
