Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC-P,Retail originations for sale,Retail originations during quarter of 1-4 family residential mortgage loans for sale,RCON,HT81,1.
RC-P,Wholesale originations for sale,Wholesale originations and purchases during quarter of 1-4 family residential mortgage loans for sale,RCON,HT82,2.
RC-P,Mortgage loans sold,1-4 family residential mortgage loans sold during the quarter,RCON,FT04,3.
RC-P,Mortgage loans HFS/trading,1-4 family residential mortgage loans held for sale or trading at quarter-end,RCON,FT05,4.
RC-P,Noninterest income mortgage,Noninterest income from sale securitization and servicing of 1-4 family residential mortgage loans,RIAD,HT85,5.
RC-P,Repurchases and indemnifications,Repurchases and indemnifications of 1-4 family residential mortgage loans during quarter,RCON,HT86,6.
RC-P,Rep warranty reserves govt,Rep and warranty reserves for representations to U.S. govt and GSE agencies,RCON,L191,7.a.
RC-P,Rep warranty reserves other,Rep and warranty reserves for representations to other parties,RCON,L192,7.b.
RC-P,Total rep warranty reserves,Total representation and warranty reserves,RCON,M288,7.c.
RC-Q,AFS and equity securities FV,AFS debt securities and equity securities with readily determinable FV - Total FV,RCFD,JA36,1. Col A
RC-Q,AFS and equity securities netting,AFS debt securities and equity securities - Amounts netted,RCFD,G474,1. Col B
RC-Q,AFS and equity securities L1,AFS debt securities and equity securities - Level 1,RCFD,G475,1. Col C
RC-Q,AFS and equity securities L2,AFS debt securities and equity securities - Level 2,RCFD,G476,1. Col D
RC-Q,AFS and equity securities L3,AFS debt securities and equity securities - Level 3,RCFD,G477,1. Col E
RC-Q,Fed funds sold and repos FV,Fed funds sold and securities purchased under agreements to resell - Total FV,RCFD,G478,2. Col A
RC-Q,Fed funds sold and repos netting,Fed funds sold and repos - Amounts netted,RCFD,G479,2. Col B
RC-Q,Fed funds sold and repos L1,Fed funds sold and repos - Level 1,RCFD,G480,2. Col C
RC-Q,Fed funds sold and repos L2,Fed funds sold and repos - Level 2,RCFD,G481,2. Col D
RC-Q,Fed funds sold and repos L3,Fed funds sold and repos - Level 3,RCFD,G482,2. Col E
RC-Q,Loans HFS FV,Loans and leases held for sale - Total FV,RCFD,G483,3. Col A
RC-Q,Loans HFS netting,Loans and leases HFS - Amounts netted,RCFD,G484,3. Col B
RC-Q,Loans HFS L1,Loans and leases HFS - Level 1,RCFD,G485,3. Col C
RC-Q,Loans HFS L2,Loans and leases HFS - Level 2,RCFD,G486,3. Col D
RC-Q,Loans HFS L3,Loans and leases HFS - Level 3,RCFD,G487,3. Col E
RC-Q,Loans HFI FV,Loans and leases held for investment - Total FV,RCFD,G488,4. Col A
RC-Q,Loans HFI netting,Loans and leases HFI - Amounts netted,RCFD,G489,4. Col B
RC-Q,Loans HFI L1,Loans and leases HFI - Level 1,RCFD,G490,4. Col C
RC-Q,Loans HFI L2,Loans and leases HFI - Level 2,RCFD,G491,4. Col D
RC-Q,Loans HFI L3,Loans and leases HFI - Level 3,RCFD,G492,4. Col E
RC-Q,Derivative assets FV,Trading assets derivative assets - Total FV,RCFD,3543,5.a. Col A
RC-Q,Derivative assets netting,Trading assets derivative assets - Amounts netted,RCFD,G493,5.a. Col B
RC-Q,Derivative assets L1,Trading assets derivative assets - Level 1,RCFD,G494,5.a. Col C
