Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC-R Part II,On-bal sheet securitization HTM,On-balance sheet securitization exposures HTM securities,RCFD,S475/S476/S477/S478/S479,9.a.
RC-R Part II,On-bal sheet securitization AFS,On-balance sheet securitization exposures AFS securities,RCFD,S480/S481/S482/S483/S484,9.b.
RC-R Part II,On-bal sheet securitization trading,On-balance sheet securitization exposures trading assets,RCFD,S485/S486/S487/S488/S489,9.c.
RC-R Part II,On-bal sheet securitization other,All other on-balance sheet securitization exposures,RCFD,S490/S491/S492/S493/S494,9.d.
RC-R Part II,Off-bal sheet securitization,Off-balance sheet securitization exposures,RCFD,S495/S496/S497/S498/S499,10.
RC-R Part II,Total balance sheet assets,Total balance sheet assets,RCFD,2170,11. Col A
RC-R Part II,Financial standby LOC face,Financial standby letters of credit face amount,RCFD,D991,12. Col A
RC-R Part II,Financial standby LOC CEA,Financial standby letters of credit credit equivalent amount,RCFD,D992,12. Col B
RC-R Part II,Performance standby LOC face,Performance standby LOC and contingent items face amount,RCFD,D997,13. Col A
RC-R Part II,Performance standby LOC CEA,Performance standby LOC credit equivalent amount,RCFD,D998,13. Col B
RC-R Part II,Commercial LOC face,Commercial and similar letters of credit face amount,RCFD,G606,14. Col A
RC-R Part II,Commercial LOC CEA,Commercial letters of credit credit equivalent amount,RCFD,G607,14. Col B
RC-R Part II,Retained recourse face,Retained recourse on small business obligations face amount,RCFD,G612,15. Col A
RC-R Part II,Retained recourse CEA,Retained recourse credit equivalent amount,RCFD,G613,15. Col B
RC-R Part II,Repo-style transactions face,Repo-style transactions face amount,RCFD,S515,16. Col A
RC-R Part II,Repo-style transactions CEA,Repo-style transactions credit equivalent amount,RCFD,S516,16. Col B
RC-R Part II,Other OBS liabilities face,All other off-balance sheet liabilities face amount,RCFD,G618,17. Col A
RC-R Part II,Other OBS liabilities CEA,All other off-balance sheet liabilities credit equivalent amount,RCFD,G619,17. Col B
RC-R Part II,Unused commitments 1yr face,Unused commitments original maturity 1 year or less face amount,RCFD,S525,18.a. Col A
RC-R Part II,Unused commitments 1yr CEA,Unused commitments 1 year or less credit equivalent amount,RCFD,S526,18.a. Col B
RC-R Part II,Unused commitments over 1yr face,Unused commitments original maturity exceeding 1 year face amount,RCFD,G624,18.b. Col A
RC-R Part II,Unused commitments over 1yr CEA,Unused commitments over 1 year credit equivalent amount,RCFD,G625,18.b. Col B
RC-R Part II,Uncond cancelable commitments,Unconditionally cancelable commitments face amount,RCFD,S540,19. Col A
RC-R Part II,Uncond cancelable CEA,Unconditionally cancelable commitments credit equivalent amount,RCFD,S541,19. Col B
RC-R Part II,OTC derivatives CEA,Over-the-counter derivatives credit equivalent amount,RCFD,S542,20. Col B
RC-R Part II,Centrally cleared derivatives CEA,Centrally cleared derivatives credit equivalent amount,RCFD,S549,21. Col B
RC-R Part II,Unsettled transactions,Unsettled transactions (failed trades),RCFD,H191,22. Col A
RC-R Part II,RWA base for AACL,Risk-weighted assets base for AACL 1.25% threshold,RCFD,S580,26.
RC-R Part II,Market risk RWA,Standardized market-risk weighted assets,RCFD,S581,27.
RC-R Part II,RWA before deductions,Risk-weighted assets before deductions for excess AACL and ATRR,RCFD,B704,28.
