Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC-M,Insider credit extensions,Aggregate extensions of credit to insiders,RCFD,6164,1.a.
RC-M,Number of insiders exceeding threshold,Number of insiders with credit >= lesser of $500K or 5% capital,RCFD,6165,1.b.
RC-M,Mortgage servicing assets,Mortgage servicing assets,RCFD,3164,2.a.
RC-M,Fair value mortgage servicing,Estimated fair value of mortgage servicing assets,RCFD,A590,"2.a.(1)"
RC-M,Goodwill,Goodwill,RCFD,3163,2.b.
RC-M,Other intangible assets,All other intangible assets,RCFD,JF76,2.c.
RC-M,Total intangible assets,Total (must equal Schedule RC item 10),RCFD,2143,2.d.
RC-M,OREO construction land,Construction land development and other land in domestic offices,RCON,5508,3.a.
RC-M,OREO farmland,Farmland in domestic offices,RCON,5509,3.b.
RC-M,OREO 1-4 family,1-4 family residential properties in domestic offices,RCON,5510,3.c.
RC-M,OREO multifamily,Multifamily (5 or more) residential properties in domestic offices,RCON,5511,3.d.
RC-M,OREO nonfarm nonresidential,Nonfarm nonresidential properties in domestic offices,RCON,5512,3.e.
RC-M,OREO foreign offices,In foreign offices,RCFN,5513,3.f.
RC-M,Total OREO,Total (must equal Schedule RC item 7),RCFD,2150,3.g.
RC-M,Cost equity securities,Cost of equity securities with readily determinable fair values not held for trading,RCFD,JA29,4.
RC-M,FHLB advances 1yr or less,FHLB advances by remaining maturity or repricing one year or less,RCFD,F055,"5.a.(1)(a)"
RC-M,FHLB advances 1-3yr,FHLB advances over one year through three years,RCFD,F056,"5.a.(1)(b)"
RC-M,FHLB advances 3-5yr,FHLB advances over three years through five years,RCFD,F057,"5.a.(1)(c)"
RC-M,FHLB advances over 5yr,FHLB advances over five years,RCFD,F058,"5.a.(1)(d)"
RC-M,FHLB advances remaining maturity 1yr,FHLB advances with remaining maturity of one year or less,RCFD,2651,"5.a.(2)"
RC-M,FHLB structured advances,Structured FHLB advances,RCFD,F059,"5.a.(3)"
RC-M,Other borrowings 1yr or less,Other borrowings by remaining maturity one year or less,RCFD,F060,"5.b.(1)(a)"
RC-M,Other borrowings 1-3yr,Other borrowings over one year through three years,RCFD,F061,"5.b.(1)(b)"
RC-M,Other borrowings 3-5yr,Other borrowings over three years through five years,RCFD,F062,"5.b.(1)(c)"
RC-M,Other borrowings over 5yr,Other borrowings over five years,RCFD,F063,"5.b.(1)(d)"
RC-M,Other borrowings remaining maturity 1yr,Other borrowings with remaining maturity of one year or less,RCFD,B571,"5.b.(2)"
RC-M,Total other borrowed money,Total (must equal Schedule RC item 16),RCFD,3190,5.c.
RC-M,Mutual funds and annuities flag,Does bank sell private label or third-party mutual funds and annuities,RCFD,B569,6.
RC-M,Proprietary fund assets,Assets under management in proprietary mutual funds and annuities,RCFD,B570,7.
RC-M,Primary website URL,Primary Internet website URL,TEXT,4087,8.a.
RC-M,Other website URLs,URLs of other public-facing Internet websites,TEXT,N528,8.b.
RC-M,Trade names,Trade names other than legal title for physical offices,TEXT,N529,8.c.
RC-M,Internet transactional capability,Does any website have transactional capability (December only),RCFD,4088,9.
RC-M,Secured fed funds purchased,Secured federal funds purchased in domestic offices,RCON,F064,10.a.
RC-M,Secured other borrowings,Secured other borrowings,RCFD,F065,10.b.
RC-M,Trustee or custodian flag,Does bank act as trustee or custodian for IRAs HSAs and similar,RCON,G463,11.
RC-M,Custody and safekeeping flag,Does bank provide custody safekeeping or securities services,RCON,G464,12.
RC-M,FDIC loss-sharing OREO,Portion of covered OREO protected by FDIC loss-sharing agreements,RCFD,K192,13.
RC-M,Captive insurance assets,Total assets of captive insurance subsidiaries (December only),RCFD,K193,14.a.
RC-M,Captive reinsurance assets,Total assets of captive reinsurance subsidiaries (December only),RCFD,K194,14.b.
RC-M,QTL test type,HOLA QTL test or IRS DBLA test,RCON,L133,15.a.
RC-M,QTL compliance flag,Has institution been in compliance with QTL test,RCON,L135,15.b.
RC-M,Remittance transfer count,Estimated number of international remittance transfers (December only),RCON,N523,16.a.
RC-M,Remittance transfer value,Estimated dollar value of remittance transfers,RCON,N524,"16.b.(1)"
RC-M,Remittance exchange rate exception,Number using permanent exchange rate exception,RCON,MM07,"16.b.(2)"
RC-M,Remittance third-party fee exception,Number using permanent covered third-party fee exception,RCON,MQ52,"16.b.(3)"
RC-M,PPP loans count,Number of PPP loans outstanding,RCFD,LG26,17.a.
RC-M,PPP loans balance,Outstanding balance of PPP loans,RCFD,LG27,17.b.
RC-M,PPP loans pledged PPPLF,Outstanding balance of PPP loans pledged to the PPPLF,RCFD,LG28,17.c.
RC-M,PPPLF borrowings 1yr or less,PPPLF borrowings remaining maturity one year or less,RCFD,LL59,"17.d.(1)"
RC-M,PPPLF borrowings over 1yr,PPPLF borrowings remaining maturity more than one year,RCFD,LL60,"17.d.(2)"
RC-M,PPP loans avg excluded leverage,Quarterly average PPP loans pledged to PPPLF excluded from leverage ratio,RCFD,LL57,17.e.
RC-N,1-4 fam construction PD30,1-4 family residential construction past due 30-89 days (domestic),RCON,F172,"1.a.(1) Col A"
