Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC-R Part I,Common stock plus surplus,Common stock plus related surplus net of treasury stock and unearned ESOP shares,RCFA,P742,1.
RC-R Part I,Retained earnings,Retained earnings,RCFA,KW00,2.
RC-R Part I,CECL transition election,CECL transition election in effect (0=No 1=Yes 3yr 2=Yes 5yr),RCOA,JJ29,2.a.
RC-R Part I,AOCI,Accumulated other comprehensive income,RCFA,B530,3.
RC-R Part I,AOCI opt-out election,AOCI opt-out election (1=Yes 0=No),RCOA,P838,3.a.
RC-R Part I,CET1 minority interest,Common equity tier 1 minority interest includable in CET1,RCFA,P839,4.
RC-R Part I,CET1 before adj,CET1 capital before adjustments and deductions,RCFA,P840,5.
RC-R Part I,LESS Goodwill,LESS Goodwill net of associated DTLs,RCFA,P841,6.
RC-R Part I,LESS Intangibles,LESS Intangible assets other than goodwill and MSAs net of DTLs,RCFA,P842,7.
RC-R Part I,LESS DTAs NOL,LESS DTAs from net operating loss and tax credit carryforwards net of valuation allowances and DTLs,RCFA,P843,8.
RC-R Part I,LESS AFS unrealized,LESS Net unrealized gains losses on AFS debt securities,RCFA,P844,9.a.
RC-R Part I,LESS Cash flow hedges,LESS Accumulated net gains losses on cash flow hedges,RCFA,P846,9.c.
RC-R Part I,LESS Postretirement AOCI,LESS Amounts in AOCI from defined benefit postretirement plans,RCFA,P847,9.d.
RC-R Part I,LESS HTM unrealized,LESS Net unrealized gains losses on HTM securities in AOCI,RCFA,P848,9.e.
RC-R Part I,LESS Cash flow hedges non-FV,LESS Accumulated net gain loss on cash flow hedges related to non-FV items,RCFA,P849,9.f.
RC-R Part I,LESS Own credit risk,LESS Unrealized net gain loss from changes in FV of liabilities due to own credit risk,RCFA,Q258,10.a.
RC-R Part I,LESS Other CET1 deductions,LESS All other deductions from additions to CET1 before threshold deductions,RCFA,P850,10.b.
RC-R Part I,LESS Non-significant investments,LESS Non-significant investments in unconsolidated FIs exceeding 10% threshold (advanced only),RCFW,P851,11.
RC-R Part I,Subtotal,Subtotal after adjustments and deductions,RCFA/RCFW,P852,12.
RC-R Part I,LESS Investments exceeding 25%,LESS Investments in capital of unconsolidated FIs exceeding 25% of item 12 (non-advanced),RCFA,LB58,13.a.
RC-R Part I,LESS Significant investments 10%,LESS Significant investments in common stock exceeding 10% CET1 threshold (advanced),RCFW,P853,13.b.
RC-R Part I,LESS MSAs exceeding 25%,LESS MSAs net of DTLs exceeding 25% of item 12 (non-advanced),RCFA,LB59,14.a.
RC-R Part I,LESS MSAs exceeding 10%,LESS MSAs net of DTLs exceeding 10% CET1 threshold (advanced),RCFW,P854,14.b.
RC-R Part I,LESS DTAs temp diff 25%,LESS DTAs from temporary differences exceeding 25% of item 12 (non-advanced),RCFA,LB60,15.a.
RC-R Part I,LESS DTAs temp diff 10%,LESS DTAs from temporary differences exceeding 10% CET1 threshold (advanced),RCFW,P855,15.b.
RC-R Part I,LESS 15% threshold,LESS Amount exceeding 15% CET1 deduction threshold (advanced only),RCFW,P856,16.
RC-R Part I,LESS Insufficient AT1/T2,LESS Deductions applied to CET1 due to insufficient additional tier 1 and tier 2 capital,RCFA/RCFW,P857,17.
