Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RI-Memo,Tax-exempt carrying cost,Interest expense not deductible for federal income tax purposes,RIAD,4513,M.1.
RI-Memo,Mutual fund and annuity income,Income from sale and servicing of mutual funds and annuities (banks >= $1B),RIAD,8431,M.2.
RI-Memo,Tax-exempt loan income,Income on tax-exempt loans and leases to states and political subdivisions,RIAD,4313,M.3.
RI-Memo,Tax-exempt securities income,Income on tax-exempt securities issued by states and political subdivisions,RIAD,4507,M.4.
RI-Memo,FTE employees,Number of full-time equivalent employees at end of current period,RIAD,4150,M.5.
RI-Memo,Push down accounting date,Date of institution acquisition if push down accounting applied (YYYYMMDD),RIAD,9106,M.7.
RI-Memo,Trading revenue - interest rate,Interest rate exposures,RIAD,8757,M.8.a.
RI-Memo,Trading revenue - FX,Foreign exchange exposures,RIAD,8758,M.8.b.
RI-Memo,Trading revenue - equity,Equity security and index exposures,RIAD,8759,M.8.c.
RI-Memo,Trading revenue - commodity,Commodity and other exposures,RIAD,8760,M.8.d.
RI-Memo,Trading revenue - credit,Credit exposures,RIAD,F186,M.8.e.
RI-Memo,Gross CVA,Gross credit valuation adjustment (CVA),RIAD,FT36,"M.8.f.(1)"
RI-Memo,CVA hedge,CVA hedge,RIAD,FT37,"M.8.f.(2)"
RI-Memo,Gross DVA,Gross debit valuation adjustment (DVA),RIAD,FT38,"M.8.g.(1)"
RI-Memo,DVA hedge,DVA hedge,RIAD,FT39,"M.8.g.(2)"
RI-Memo,Gross trading revenue,Gross trading revenue before net CVA and net DVA,RIAD,FT40,M.8.h.
RI-Memo,Credit derivative gains - trading,Net gains (losses) on credit derivatives held for trading,RIAD,C889,M.9.a.
RI-Memo,Credit derivative gains - other,Net gains (losses) on credit derivatives held for purposes other than trading,RIAD,C890,M.9.b.
RI-Memo,Credit losses on derivatives,Credit losses on derivatives,RIAD,A251,M.10.
RI-Memo,Subchapter S election,Does the reporting bank have a Subchapter S election in effect?,RIAD,A530,M.11.
RI-Memo,Fair value gains on assets,Net gains (losses) on assets reported at fair value under fair value option,RIAD,F551,M.13.a.
RI-Memo,Fair value gains on loans - credit risk,Estimated net gains (losses) on loans attributable to changes in instrument-specific credit risk,RIAD,F552,"M.13.a.(1)"
RI-Memo,Fair value gains on liabilities,Net gains (losses) on liabilities reported at fair value under fair value option,RIAD,F553,M.13.b.
RI-Memo,Fair value gains on liabilities - credit risk,Estimated net gains (losses) on liabilities attributable to changes in instrument-specific credit risk,RIAD,F554,"M.13.b.(1)"
RI-Memo,Consumer overdraft charges,Consumer overdraft-related service charges on deposit accounts,RIAD,H032,M.15.a.
RI-Memo,Consumer maintenance charges,Consumer account periodic maintenance charges,RIAD,H033,M.15.b.
RI-Memo,Consumer ATM fees,Consumer customer automated teller machine (ATM) fees,RIAD,H034,M.15.c.
RI-Memo,All other deposit service charges,All other service charges on deposit accounts,RIAD,H035,M.15.d.
