Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC-C,Total RE loans (consolidated),Loans secured by real estate (total),RCFD,1410,1.
RC-C,1-4 fam construction,1-4 family residential construction loans,RCFD/RCON,F158,"1.a.(1)"
RC-C,Other construction,Other construction loans and all land development,RCFD/RCON,F159,"1.a.(2)"
RC-C,Farmland,Secured by farmland (including farm residential),RCFD/RCON,1420,1.b.
RC-C,Revolving 1-4 family,Revolving open-end loans secured by 1-4 family residential properties,RCFD/RCON,1797,"1.c.(1)"
RC-C,Closed-end first liens,Closed-end loans secured by first liens on 1-4 family,RCFD/RCON,5367,"1.c.(2)(a)"
RC-C,Closed-end junior liens,Closed-end loans secured by junior liens on 1-4 family,RCFD/RCON,5368,"1.c.(2)(b)"
RC-C,Multifamily,Secured by multifamily (5 or more) residential properties,RCFD/RCON,1460,1.d.
RC-C,Owner-occupied CRE,Loans secured by owner-occupied nonfarm nonresidential properties,RCFD/RCON,F160,"1.e.(1)"
RC-C,Other CRE,Loans secured by other nonfarm nonresidential properties,RCFD/RCON,F161,"1.e.(2)"
RC-C,To commercial banks US,To commercial banks in the U.S.,RCFD,B531,2.a.
RC-C,To US branches foreign banks,To U.S. branches and agencies of foreign banks,RCFD,B532,"2.a.(1)"
RC-C,To other commercial banks US,To other commercial banks in the U.S.,RCFD,B533,"2.a.(2)"
RC-C,To other depository institutions,To other depository institutions in the U.S.,RCFD/RCON,B534,2.b.
RC-C,To banks in foreign countries,To banks in foreign countries,RCFD,B535,2.c.
RC-C,Agricultural production loans,Loans to finance agricultural production and other loans to farmers,RCFD/RCON,1590,3.
RC-C,C&I loans US,Commercial and industrial loans - U.S. addressees,RCFD/RCON,1763,4.a.
RC-C,C&I loans non-US,Commercial and industrial loans - Non-U.S. addressees,RCFD/RCON,1764,4.b.
RC-C,Credit cards,Credit cards,RCFD/RCON,B538,6.a.
RC-C,Other revolving credit,Other revolving credit plans,RCFD/RCON,B539,6.b.
RC-C,Automobile loans,Automobile loans,RCFD/RCON,K137,6.c.
RC-C,Other consumer loans,Other consumer loans,RCFD/RCON,K207,6.d.
RC-C,Foreign government loans,Loans to foreign governments and official institutions,RCFD/RCON,2081,7.
RC-C,State and local obligations,Obligations of states and political subdivisions in the U.S.,RCFD/RCON,2107,8.
RC-C,Nondepository financial institution loans,Loans to nondepository financial institutions,RCFD/RCON,J454,9.a.
RC-C,Margin loans,Loans for purchasing or carrying securities (margin loans),RCFD/RCON,1545,"9.b.(1)"
RC-C,All other loans,All other loans (exclude consumer loans),RCFD/RCON,J451,"9.b.(2)"
RC-C,Lease financing receivables,Lease financing receivables (net of unearned income),RCFD,2165,10.
RC-C,Consumer leases,Leases to individuals for household family and other personal expenditures,RCFD,F162,10.a.
RC-C,All other leases,All other leases,RCFD,F163,10.b.
RC-C,LESS unearned income,LESS: Any unearned income on loans reflected in items 1-9,RCFD/RCON,2123,11.
RC-C,Total loans and leases,Total loans and leases held for investment and held for sale,RCFD/RCON,2122,12.
