Schedule,Item,Description,MDRM_ColA_1to4Fam,MDRM_ColB_HELOC,MDRM_ColC_CreditCard,MDRM_ColD_Auto,MDRM_ColE_OtherConsumer,MDRM_ColF_CI,MDRM_ColG_AllOther
HC-S,1.,Outstanding principal balance of assets sold and securitized with servicing retained or recourse,BHCK B705,BHCK B706,BHCK B707,BHCK B708,BHCK B709,BHCK B710,BHCK B711
HC-S,2.,Maximum credit exposure from recourse or seller-provided credit enhancements,BHCK HU09,BHCK HU10,BHCK HU11,BHCK HU12,BHCK HU13,BHCK HU14,BHCK HU15
HC-S,3.,Unused commitments to provide liquidity to structures in item 1,BHCK B726,BHCK B727,BHCK B728,BHCK B729,BHCK B730,BHCK B731,BHCK B732
HC-S,4.a.,Past due 30-89 days,BHCK B733,BHCK B734,BHCK B735,BHCK B736,BHCK B737,BHCK B738,BHCK B739
HC-S,4.b.,Past due 90+ days,BHCK B740,BHCK B741,BHCK B742,BHCK B743,BHCK B744,BHCK B745,BHCK B746
HC-S,5.a.,Charge-offs (calendar YTD),BHCK B747,BHCK B748,BHCK B749,BHCK B750,BHCK B751,BHCK B752,BHCK B753
HC-S,5.b.,Recoveries (calendar YTD),BHCK B754,BHCK B755,BHCK B756,BHCK B757,BHCK B758,BHCK B759,BHCK B760
HC-S,6.,Total amount of ownership (seller's) interest,BHCK HU16,BHCK HU17,,,,,BHCK HU18
HC-S,9.,Max credit exposure from credit enhancements to other institutions' securitizations,BHCK B776,,,BHCK B779,BHCK B780,BHCK B781,BHCK B782
HC-S,10.,Unused commitments to provide liquidity to other institutions' securitizations,BHCK B783,,,BHCK B786,BHCK B787,BHCK B788,BHCK B789
HC-S,11.,Assets sold with recourse and not securitized,BHCK B790,,,,,,BHCK B796
HC-S,12.,Max credit exposure from recourse on assets in item 11,BHCK B797,,,,,,BHCK B803
