Schedule,Item,Description,MDRM
HC-D-Assets,1.,U.S. Treasury securities,BHCM 3531
HC-D-Assets,2.,U.S. government agency obligations (excl MBS),BHCM 3532
HC-D-Assets,3.,Securities issued by states and political subdivisions,BHCM 3533
HC-D-Assets,4.a.,Residential pass-through: Issued or guaranteed by FNMA FHLMC or GNMA,BHCK G379
HC-D-Assets,4.b.,Other residential MBS: Issued or guaranteed by U.S. Government agencies or sponsored agencies,BHCK G380
HC-D-Assets,4.c.,All other residential MBS,BHCK G381
HC-D-Assets,4.d.,Commercial MBS: Issued or guaranteed by U.S. Government agencies or sponsored agencies,BHCK K197
HC-D-Assets,4.e.,All other commercial MBS,BHCK K198
HC-D-Assets,5.a.,Other debt securities: Structured financial products,BHCK HT62
HC-D-Assets,5.b.,Other debt securities: All other debt securities,BHCK G386
HC-D-Assets,6.a.(1),Loans: Secured by 1-4 family residential properties,BHCK HT63
HC-D-Assets,6.a.(2),Loans: All other loans secured by real estate,BHCK HT64
HC-D-Assets,6.b.,Loans: Commercial and industrial loans,BHCK F614
HC-D-Assets,6.c.,Loans: Consumer loans (includes purchased paper),BHCK HT65
HC-D-Assets,6.d.,Loans: Other loans,BHCK F618
HC-D-Assets,9.,Other trading assets,BHCM 3541
HC-D-Assets,11.,Derivatives with a positive fair value,BHCT 3543
HC-D-Assets,12.,Total trading assets,BHCT 3545
HC-D-Liabilities,13.a.(1),Liability for short positions: Equity securities,BHCK G209
HC-D-Liabilities,13.a.(2),Liability for short positions: Debt securities,BHCK G210
HC-D-Liabilities,13.a.(3),Liability for short positions: All other assets,BHCK G211
HC-D-Liabilities,13.b.,All other trading liabilities,BHCK F624
HC-D-Liabilities,14.,Derivatives with a negative fair value,BHCK 3547
HC-D-Liabilities,15.,Total trading liabilities,BHCT 3548
