Schedule,Item,Description,MDRM
HC-M,1.,Total number of holding company common shares outstanding,BHCK 3459
HC-M,2.,Debt maturing in one year or less issued to unrelated third parties by bank subsidiaries,BHCK 6555
HC-M,3.,Debt maturing in more than one year issued to unrelated third parties by bank subsidiaries,BHCK 6556
HC-M,4.,Other assets acquired in satisfaction of debts previously contracted,BHCK 6557
HC-M,5.,Securities purchased under agreements to resell offset against securities sold under agreements to repurchase,BHCK A288
HC-M,6.,Portion of covered OREO protected by FDIC loss-sharing agreements,BHCK K192
HC-M,7.a.,Total assets of captive insurance subsidiaries (annual December only),BHCK K193
HC-M,7.b.,Total assets of captive reinsurance subsidiaries (annual December only),BHCK K194
HC-M,8.,Business combination during calendar year (purchase method) 0=No 1=Yes,BHCK C251
HC-M,9.,Restated financial statements 0=No 1=Yes,BHCK 6689
HC-M,11.,All changes in investments and activities reported on FR Y-10 0=No 1=Yes,BHCK 6416
HC-M,12.a.,Intangible assets: Mortgage servicing assets,BHCK 3164
HC-M,12.a.(1),Estimated fair value of mortgage servicing assets,BHCK 6438
HC-M,12.b.,Intangible assets: Goodwill,BHCK 3163
HC-M,12.c.,Intangible assets: All other intangible assets,BHCK JF76
HC-M,12.d.,Intangible assets: Total (must equal Schedule HC item 10),BHCT 2143
HC-M,13.,Other real estate owned,BHCK 2150
HC-M,14.a.,Other borrowed money: Commercial paper,BHCK 2309
HC-M,14.b.,Other borrowed money: Remaining maturity one year or less,BHCK 2332
HC-M,14.c.,Other borrowed money: Remaining maturity more than one year,BHCK 2333
HC-M,14.d.,Other borrowed money: Total (must equal Schedule HC item 16),BHCT 3190
HC-M,15.,Does HC sell private label or third-party mutual funds and annuities 0=No 1=Yes,BHCK B569
HC-M,16.,Assets under management in proprietary mutual funds and annuities,BHCK B570
HC-M,17.,Nonfinancial equity investments held 0=No 1=Yes,BHCK C161
HC-M,18.,Aggregate nonfinancial equity investments exceed threshold 0=No 1=Yes,BHCK C159
HC-M,19.a.,Sold or liquidated nonfinancial equity investment 0=No 1=Yes,BHCK C700
HC-M,19.b.,Manage nonfinancial equity investments for others 0=No 1=Yes,BHCK C701
HC-M,20.a.,Broker-dealer subsidiaries: Net assets,BHCK C252
HC-M,20.b.(1),Broker-dealer: Due from holding company gross,BHCK 4832
HC-M,20.b.(2),Broker-dealer: Due from subsidiary banks gross,BHCK 4833
HC-M,20.b.(3),Broker-dealer: Due from nonbank subsidiaries gross,BHCK 4834
HC-M,20.c.(1),Broker-dealer: Due to holding company gross,BHCK 5041
HC-M,20.c.(2),Broker-dealer: Due to subsidiary banks gross,BHCK 5043
HC-M,20.c.(3),Broker-dealer: Due to nonbank subsidiaries gross,BHCK 5045
HC-M,20.d.,Intercompany liabilities subordinated to claims of general creditors,BHCK 5047
HC-M,21.,Net assets of subsidiaries in insurance/reinsurance underwriting,BHCK C253
HC-M,23.a.,Secured liabilities: Federal funds purchased in domestic offices that are secured,BHCK F064
HC-M,23.b.,Secured liabilities: Other borrowings that are secured,BHCK F065
HC-M,24.a.,Treasury Capital Purchase Program: Senior perpetual preferred stock or similar,BHCK G234
HC-M,24.b.,Treasury Capital Purchase Program: Warrants to purchase common stock or similar,BHCK G235
