Schedule,Item,Description,MDRM
Predecessor,1.,Average loans and leases (HFI and HFS),BHBC 3516
Predecessor,2.,Average earning assets,BHBC 3402
Predecessor,3.,Average total consolidated assets,BHBC 3368
Predecessor,4.,Average equity capital,BHBC 3519
Notes-Other,1.,CDCI program preferred stock/subordinated debt,BHCK K141
Notes-Other,2.,Balance sheet note 2,BHCK 5357
Notes-Other,3.,Balance sheet note 3,BHCK 5358
Notes-Other,4.,Balance sheet note 4,BHCK 5359
Notes-Other,5.,Balance sheet note 5,BHCK 5360
Notes-Other,6.,Balance sheet note 6,BHCK B027
Notes-Other,7.,Balance sheet note 7,BHCK B028
Notes-Other,8.,Balance sheet note 8,BHCK B029
Notes-Other,9.,Balance sheet note 9,BHCK B030
Notes-Other,10.,Balance sheet note 10,BHCK B031
Notes-Other,11.,Balance sheet note 11,BHCK B032
Notes-Other,12.,Balance sheet note 12,BHCK B033
Notes-Other,13.,Balance sheet note 13,BHCK B034
Notes-Other,14.,Balance sheet note 14,BHCK B035
Notes-Other,15.,Balance sheet note 15,BHCK B036
Notes-Other,16.,Balance sheet note 16,BHCK B037
Notes-Other,17.,Balance sheet note 17,BHCK B038
Notes-Other,18.,Balance sheet note 18,BHCK B039
Notes-Other,19.,Balance sheet note 19,BHCK B040
Notes-Other,20.,Balance sheet note 20,BHCK B041
