Schedule,Item,Description,MDRM
HC-K,1.a.,Securities: U.S. Treasury and U.S. government agency obligations (excl MBS),BHCK B558
HC-K,1.b.,Securities: Mortgage-backed securities,BHCK B559
HC-K,1.c.,Securities: All other debt securities and equity securities with RDFV not held for trading,BHCK B560
HC-K,2.,Federal funds sold and securities purchased under agreements to resell,BHCK 3365
HC-K,3.a.,Total loans and leases in domestic offices,BHDM 3516
HC-K,3.a.(1),Loans secured by 1-4 family residential properties,BHDM 3465
HC-K,3.a.(2),All other loans secured by real estate,BHDM 3466
HC-K,3.a.(3),Loans to finance agricultural production,BHDM 3386
HC-K,3.a.(4),Commercial and industrial loans,BHDM 3387
HC-K,3.a.(5)(a),Consumer loans: Credit cards,BHDM B561
HC-K,3.a.(5)(b),Consumer loans: Other,BHDM B562
HC-K,3.b.,Total loans and leases in foreign offices Edge and agreement subsidiaries and IBFs,BHFN 3360
HC-K,4.a.,Trading assets,BHCK 3401
HC-K,4.b.,Other earning assets,BHCK B985
HC-K,5.,Total consolidated assets,BHCK 3368
HC-K,6.,Interest-bearing deposits (domestic),BHCK 3517
HC-K,7.,Interest-bearing deposits (foreign),BHCK 3404
HC-K,8.,Federal funds purchased and securities sold under agreements to repurchase,BHCK 3353
HC-K,9.,All other borrowed money,BHCK 2635
HC-K,11.,Total equity capital (excludes limited-life preferred stock),BHCK 3519
