Schedule,Item,Description,MDRM
HC-Liabilities,13.a.(1),Deposits in domestic offices: Noninterest-bearing,BHDM 6631
HC-Liabilities,13.a.(2),Deposits in domestic offices: Interest-bearing,BHDM 6636
HC-Liabilities,13.b.(1),Deposits in foreign offices: Noninterest-bearing,BHFN 6631
HC-Liabilities,13.b.(2),Deposits in foreign offices: Interest-bearing,BHFN 6636
HC-Liabilities,14.a.,Federal funds purchased in domestic offices,BHDM B993
HC-Liabilities,14.b.,Securities sold under agreements to repurchase,BHCK B995
HC-Liabilities,15.,Trading liabilities,BHCK 3548
HC-Liabilities,16.,Other borrowed money,BHCK 3190
HC-Liabilities,19.a.,Subordinated notes and debentures,BHCK 4062
HC-Liabilities,19.b.,Subordinated notes payable to unconsolidated trusts issuing trust preferred securities,BHCK C699
HC-Liabilities,20.,Other liabilities,BHCT 2750
HC-Liabilities,21.,Total liabilities (sum of items 13 through 20),BHCK 2948
HC-Equity,23.,Perpetual preferred stock and related surplus,BHCK 3283
HC-Equity,24.,Common stock (par value),BHCK 3230
HC-Equity,25.,Surplus (exclude all surplus related to preferred stock),BHCK 3240
HC-Equity,26.a.,Retained earnings,BHCK 3247
HC-Equity,26.b.,Accumulated other comprehensive income,BHCK B530
HC-Equity,26.c.,Other equity capital components,BHCK A130
HC-Equity,27.a.,Total holding company equity capital (sum of items 23 through 26.c),BHCK 3210
HC-Equity,27.b.,Noncontrolling (minority) interests in consolidated subsidiaries,BHCK 3000
HC-Equity,28.,Total equity capital (sum of items 27.a and 27.b),BHCK G105
HC-Equity,29.,Total liabilities and equity capital (sum of items 21 and 28),BHCK 3300
