Schedule,Item,Description,MDRM
Predecessor,1.,Total interest income,BHBC 4107
Predecessor,1.a.,Interest income on loans and leases,BHBC 4094
Predecessor,1.b.,Interest income on investment securities,BHBC 4218
Predecessor,2.,Total interest expense,BHBC 4073
Predecessor,2.a.,Interest expense on deposits,BHBC 4421
Predecessor,3.,Net interest income,BHBC 4074
Predecessor,4.,Provision for credit losses,BHBC JJ33
Predecessor,5.,Total noninterest income,BHBC 4079
Predecessor,5.a.,Income from fiduciary activities,BHBC 4070
Predecessor,5.b.,Trading revenue,BHBC A220
Predecessor,5.c.,Investment banking advisory brokerage and underwriting fees and commissions,BHBC B490
Predecessor,5.d.,Venture capital revenue,BHBC B491
Predecessor,5.e.,Net securitization income,BHBC B493
Predecessor,5.f.,Insurance commissions and fees,BHBC B494
Predecessor,6.,Realized gains (losses) on held-to-maturity and available-for-sale securities,BHBC 4091
Predecessor,7.,Total noninterest expense,BHBC 4093
Predecessor,7.a.,Salaries and employee benefits,BHBC 4135
Predecessor,7.b.,Goodwill impairment losses,BHBC C216
Predecessor,8.,Income (loss) before applicable income taxes and discontinued operations,BHBC 4301
Predecessor,9.,Applicable income taxes,BHBC 4302
Predecessor,10.,Noncontrolling (minority) interest,BHBC 4484
Predecessor,11.,Discontinued operations net of applicable income taxes and noncontrolling interest,BHCK FT41
Predecessor,12.,Net income (loss),BHBC 4340
Predecessor,13.,Cash dividends declared,BHBC 4475
Predecessor,14.,Net charge-offs,BHBC 6061
Predecessor,15.,Net interest income on a fully taxable equivalent basis,BHBC 4519
