Schedule,Item,Description,MDRM
HC-Assets,1.a.,Cash: Noninterest-bearing balances and currency and coin,BHCK 0081
HC-Assets,1.b.(1),Cash: Interest-bearing balances in U.S. offices,BHCK 0395
HC-Assets,1.b.(2),Cash: Interest-bearing balances in foreign offices Edge and Agreement subsidiaries and IBFs,BHCK 0397
HC-Assets,2.a.,Held-to-maturity securities,BHCK JJ34
HC-Assets,2.b.,Available-for-sale debt securities,BHCK 1773
HC-Assets,2.c.,Equity securities with readily determinable fair values not held for trading,BHCK JA22
HC-Assets,3.a.,Federal funds sold in domestic offices,BHDM B987
HC-Assets,3.b.,Securities purchased under agreements to resell,BHCK B989
HC-Assets,4.a.,Loans and leases held for sale,BHCK 5369
HC-Assets,4.b.,Loans and leases held for investment,BHCK B528
HC-Assets,4.c.,LESS: Allowance for credit losses on loans and leases,BHCK 3123
HC-Assets,4.d.,Loans and leases held for investment net of allowance,BHCK B529
HC-Assets,5.,Trading assets,BHCT 3545
HC-Assets,6.,Premises and fixed assets (including right-of-use assets),BHCK 2145
HC-Assets,7.,Other real estate owned,BHCK 2150
HC-Assets,8.,Investments in unconsolidated subsidiaries and associated companies,BHCK 2130
HC-Assets,9.,Direct and indirect investments in real estate ventures,BHCK 3656
HC-Assets,10.,Intangible assets,BHCT 2143
HC-Assets,11.,Other assets,BHCT 2160
HC-Assets,12.,Total assets (sum of items 1 through 11),BHCK 2170
