Schedule,Item,Description,MDRM_ColK_250pct,MDRM_ColL_300pct,MDRM_ColM_400pct,MDRM_ColN_600pct,MDRM_ColO_625pct,MDRM_ColP_937pct,MDRM_ColQ_1250pct,MDRM_ColR_Exposure,MDRM_ColS_RWA
HC-R-II,1.,Cash and balances due from depository institutions,,,,,,,,,
HC-R-II,2.a.,Held-to-maturity securities,,,,,,,,,
HC-R-II,2.b.,Available-for-sale debt securities and equity securities with RDFV not held for trading,BHCK H270,BHCK S405,,BHCK S406,,,,,BHCK H271,BHCK H272
HC-R-II,3.a.,Federal funds sold (in domestic offices),,,,,,,,,
HC-R-II,3.b.,Securities purchased under agreements to resell,,,,,,,,,
HC-R-II,4.a.,Loans and leases held for sale: Residential mortgage exposures,,,,,,,,BHCK H273,BHCK H274
HC-R-II,4.b.,Loans and leases held for sale: High volatility CRE exposures,,,,,,,,BHCK H275,BHCK H276
HC-R-II,4.c.,Loans and leases held for sale: Exposures past due 90+ or nonaccrual,,,,,,,,BHCK H277,BHCK H278
HC-R-II,4.d.,Loans and leases held for sale: All other exposures,,,,,,,,BHCK H279,BHCK H280
HC-R-II,5.a.,Loans and leases held for investment: Residential mortgage exposures,,,,,,,,BHCK H281,BHCK H282
HC-R-II,5.b.,Loans and leases held for investment: High volatility CRE exposures,,,,,,,,BHCK H283,BHCK H284
HC-R-II,5.c.,Loans and leases held for investment: Exposures past due 90+ or nonaccrual,,,,,,,,BHCK H285,BHCK H286
HC-R-II,5.d.,Loans and leases held for investment: All other exposures,,,,,,,,BHCK H287,BHCK H288
HC-R-II,6.,LESS: Allowance for credit losses on loans and leases,,,,,,,,,
HC-R-II,7.,Trading assets,BHCK H289,BHCK H186,BHCK H290,BHCK H187,,,,,BHCK H291,BHCK H292
HC-R-II,8.,All other assets,BHCK H293,BHCK H188,BHCK S470,BHCK S471,,,,,BHCK H294,BHCK H295
HC-R-II,8.a.,Separate account bank-owned life insurance,,,,,,,,BHCK H296,BHCK H297
HC-R-II,8.b.,Default fund contributions to central counterparties,,,,,,,,BHCK H298,BHCK H299
