Line Item No.,Line Item Name,MDRM (CCHE),Detailed Description,Allowed Values,Format / Line Item Length
46,Current Credit Limit,M250,"Current Credit Line Amount - For lines of credit, report the total credit line currently available to the borrower. Leave blank for home equity loans.","e.g., 125000 for $125,000.00. Use banker's rounding.",Whole Number
47,Loan Status (MBA method),M251,"Report the status of borrower payments (Current, 30, 60, 90 etc.) of the loan. Indicators of Foreclosure, Bankruptcy and REO also carried in this line item. T=Terminated Reporting for loans missing from current month but not paid off or liquidated. If liquidated by short sale or third party foreclosure sale, report ""0"".","C = Current; 3 = 30 days; 6 = 60 days; 9 = 90+ days; F = FC; R = REO; T = Terminated Reporting; S = Servicing Sold Release; 0 = Paid off; U = Unknown",Character(1)
48,Foreclosure Referral Date,M203,"Foreclosure Referral Date - Report the date that the loan was referred to an attorney for the purpose of initiating foreclosure proceedings. Should reflect the referral date of currently active foreclosure process. Loans cured from foreclosure should not have a referral date.",YYYYMMDD,YYYYMMDD
49,Foreclosure Sale Date,M202,"Report the date that the foreclosure sale occurs on the subject property. Typically the end of the foreclosure process unless right of redemption applies. If loan is not in foreclosure, leave blank (null). Populate for any loan that has completed foreclosure sale.",YYYYMMDD,YYYYMMDD
50,Pre-Payment Penalty Flag,M187,"Pre-Payment Penalty Flag - Report whether the loan carries a penalty if the borrower prepays the loan during a specified period of time.","Y=Yes; N=No; U=Unknown",Character(1)
51,Pre-Payment Penalty Term,M188,"Pre-Payment Penalty Term (In Months) - Report the time period from loan origination that a prepayment penalty applies. This is an origination line item and should not change with the reporting month.","Whole number in months. e.g., 36 for 36 months (3 years).",Whole Number
52,Paid-in-full Coding (Retired March 2013),M205,Retired March 2013,,
53,Foreclosure Status,M206,"Foreclosure Status - Report the current foreclosure status as of the end of the reporting month. In foreclosure pre-sale = referred to attorney but not yet at sale. Post-sale foreclosure = title obtained but property not yet marketed (if unavailable, code as REO). In the month the loan liquidates, code as '2'. REO = title obtained and property on market.","0 = Not in foreclosure; 1 = In foreclosure, pre-sale; 2 = Post-sale foreclosure, Redemption, non-REO (if available, otherwise REO); 3 = REO",Character(1)
54,Liquidation Status,M252,"Liquidation Status - Provide the liquidation method for any loan liquidated during the reporting month. Not Paid In Full = outstanding balance or active line of credit. Voluntary Payoff = paid in full by borrower. Involuntary Liquidation = foreclosure, short-sales, charge-offs, REO liquidations. Servicing Transfer = servicing transferred or sold.","0 = Not paid-in-full; 1 = Voluntary payoff; 2 = Involuntary liquidation (foreclosure); 3 = Servicing transfer",Character(1)
55,Troubled Debt Restructure Date,N185,"Troubled Debt Restructure - Report the date designating when the loan was classified as a TDR as defined in the FR Y-9C Glossary. Reportable for the duration of TDR designation; discontinue when no longer designated.",YYYYMMDD,YYYYMMDD
56,Repayment Plan Performance Status (Retired March 2020),M219,Retired March 2020,,Numeric
57,Capitalization (Retired September 2022),M222,Retired September 2022,,
