Line Item No.,Line Item Name,Technical Line Item Name,MDRM (CCRS),Description,Static or Dynamic,Mandatory or Optional,Format
92,Fees Incurred - Cash Advance,FeeNetCashAdvanceAmount,N135,Report the cash advance fees assessed for cash advances made on the credit card. Report fees posted during current month's cycle.,D,Mandatory,N12.2
93,Fees Incurred - Monthly/Annual,FeeNetMonthlyAnnualAmount,N136,Report the monthly/annual fees assessed for the privilege of holding the credit card. Report fees posted during current month's cycle.,D,Mandatory,N12.2
94,Fees Incurred - Debt Suspension,FeeNetDebtSuspensionAmount,N137,"Report the debt suspension/cancellation fees assessed to protect consumer in the event of a significant life event like the loss of a job. Report fees posted during current month's cycle.",D,Mandatory,N12.2
95,Fees Incurred - Balance Transfer,FeeNetBalanceTransferAmount,N138,Report the balance transfer fees assessed for balances transferred from another institution to this cardholder's account. Report fees posted during current month's cycle.,D,Mandatory,N12.2
96,Fees Incurred - Other,FeeNetOtherAmount,N139,"Report all other fees not included elsewhere in this report. Examples include convenience check fees and foreign currency fees.",D,Mandatory,N12.2
97,Debt Suspension/Cancellation Program Enrollment,DebtWaiverProgramEnrolFlag,N140,"Report whether the account is enrolled in a debt waiver/cancellation program, including payment protection plans. 1 = Yes; 0 = No.",D,Mandatory,N1
98,Debt Suspension/Cancellation Program Active,DebtWaiverProgramActiveFlag,N141,"Report whether the borrower is receiving benefits under a debt suspension/cancellation program, including payment protection plans. 1 = Yes; 0 = No.",D,Mandatory,N1
99,Cycle-end Account Status - Active,CycleEndActiveFlag,N142,"Report whether the account has had any debit, credit, or balance activity in the last twelve months as of cycle end. If the account does not cycle in the current month, leave blank. 0 = Open & Active; 1 = Open & Inactive; 2 = Account is closed / not open.",D,Mandatory,N1
100,Cycle-end Account Status - Closed,CycleEndClosedRevokedFlag,N143,"Report whether, in the current reporting cycle, the account is closed or revoked and has no further charging privileges. If the account does not cycle in the current month report the last known status. 0 = Not closed/charged-off; 1 = Closed at borrower request; 2 = Closed not at borrower request; 3 = Closed borrower deceased; 4 = Closed due to charge off.",D,Mandatory,N1
101,Skip-a-payment,SkipaPaymentFlag,N144,"Report whether the account holder opted for a promotional skip-a-payment during the reporting month. 1 = Yes; 0 = No.",D,Mandatory,N1
102,Credit Card Workout Program,WorkoutProgramFlag,N145,"Report whether the account entered into any type of workout program during the current reporting month. 1 = Yes; 0 = No. Report No if the BHC or IHC or SLHC does not offer a workout program.",D,Mandatory,N1
103,Workout Program Type,WorkoutProgramType,N146,"For accounts in a workout program at month-end, report the type of program. 1 = External Program (CCCS); 2 = Internal Long-Term Program (>12 months); 3 = Internal Temporary Programs (<=12 months); 4 = Settlement Programs; 5 = Other; 6 = Not Applicable (includes SCRA programs). Leave blank if no workout.",D,Mandatory,N1
104,Workout Program Performance Status,WorkOutProgramPerformanceStatus,N147,"Report the performance of borrowers in all workout plans. 1 = Active and Performing; 2 = Active and Non-Performing (delinquent but not defaulted); 3 = Broken (defaulted on terms). Leave blank if no workout.",D,Mandatory,N1
105,Settlement Portion Forgiven,SettlementPortionForgivenAmount,N148,"For accounts with Settlement workout type, report the total amount of the outstanding balance forgiven in the current month. Leave blank if no settlement.",D,Mandatory,N12.2
106,Customer Service Re-age Date,CustomerServiceReageDate,N149,"Report the date of the last re-age performed by any customer service rep, in response to an erroneous payment posting or other similar non-performance issue.",D,Mandatory,Date YYYYMMDD
107,Principal Charge-off Amount - Current Month,PrincipalChargeOffInCurrentMonthAmount,N150,"Report the total amount of any principal write-downs (or principal reversals) on the account during the reporting month. Record all charges against the Allowance for credit losses on loans and leases. Do not report non-principal write-downs. Value will only be populated in month charged-off.",D,Mandatory,N12.2
108,Fraud in the current month,FraudFlag,N151,"Report whether the account is currently frozen due to potential fraud or has been closed for cause at the conclusion of a fraud investigation month. 1 = Yes; 2 = No.",D,Mandatory,N1
109,Original Credit Bureau Score Name,OriginalCreditScoreName,N152,"List the name of the commercially available credit score provided or mapped to in item 38. 1 = FICO; 2 = VantageScore; 3 = Other; 4 = None.",D,Mandatory,N2
110,Refreshed Credit Bureau Score Name,RefreshedCreditScoreName,N153,"List the name of the commercially available credit score provided or mapped to in item 40. 1 = FICO; 2 = VantageScore; 3 = Other; 4 = None.",D,Mandatory,N2
111,Behavioral Score Name/Version,BehavioralScoreNameVersion,N154,Report the name and version of the behavior score reported in line item 42.,S,Optional,C30
112,Credit Limit Type,CreditLimitType,N155,"Report the type of credit limit reported in line item 44 when there is no credit limit. 1 = Purchase Limit; 2 = Shadow Limit. Leave blank if the credit limit is not a shadow or purchase limit.",D,Mandatory,N1
113,Credit Line Change Type,CreditLineChangeType,N156,"Report the line change in line item 47 as proactive (bank-initiated) or reactive (borrower request). 1 = Proactive; 2 = Reactive; 3 = Unknown; 0 = No line change.",D,Mandatory,N1
114,Date Co-Borrower Was Added,CoBorrowerAddDate,N157,Report the date the co-borrower was added to the account.,D,Optional,Date YYYYMMDD
115,Entity Type,EntityType,M952,"Report the entity type that owns the reported loan. 1 = National Bank; 2 = State Member Bank; 3 = Nonmember Bank; 4 = State Credit Union; 5 = Federal Credit Union; 6 = Non-bank Subsidiary; 0 = Other.",D,Mandatory,N1
116,Origination Credit Bureau Score Version,OriginalCreditScoreVersion,R037,"Provide the version of the commercially available credit bureau score reported or mapped to in item 38 using the format 'score-name score-version' (e.g., 'FICO 08', 'VantageScore 3.0'). Effective for submission of June 2014 data.",D,Mandatory,C30
117,Refreshed Credit Bureau Score Version,RefreshedCreditScoreVersion,R039,"Provide the version of the commercially available credit bureau score reported or mapped to in item 40 using the format 'score-name score-version'. Effective for submission of June 2014 data.",D,Mandatory,C30
118,Internal Origination Credit Score Flag,InternalOrigScoreFlag,R040,"Indicate if an internal score was used to map to a commercially available credit bureau score in item 38, or if a commercially available credit bureau score was reported directly. 1 = Internal score mapped; 2 = Commercially available score reported directly. Effective for submission of June 2014 data.",D,Mandatory,N1
119,Internal Origination Credit Score Value,InternalOrigScoreValue,R041,"If an internal score was used in any way in item 38, report the corresponding value of the internal score here.",D,Mandatory,N6.3
120,Internal Refreshed Credit Score Flag,InternalRefrScoreFlag,R042,"Indicate if an internal score was used to map to a commercially available credit bureau score in item 40, or if a commercially available credit bureau score is reported directly. 1 = Internal score mapped; 2 = Commercially available score reported directly.",D,Mandatory,N1
121,Internal Refreshed Credit Score Value,InternalRefrScoreValue,R043,"If an internal score was used in any way in item 40, report the corresponding value of the internal score here.",D,Mandatory,N6.3
122,Month-Ending Balance,MonthEndingBalance,JA25,Report the total outstanding balance for the account at the end of the current reporting month.,D,Mandatory,N12.2
123,National Bank RSSD ID,NationalBankRSSDID,JA26,"Report the RSSD ID of the national bank that has a financial interest in the loan. For loans serviced by a National Bank but owned by another entity, report the servicer's RSSD ID. For loans owned by a National Bank but serviced by another entity, report the owner's RSSD ID. If no National Bank subsidiary either owns or services the loan, leave blank.",D,Mandatory,N10
