Line Item No.,Line Item Name,Technical Line Item Name,MDRM (CCRS),Description,Static or Dynamic,Mandatory or Optional,Format
28,Interest Expense,InterestExpense,N158,Report the total interest expenses accrued for the month to fund credit card receivables.,D,Mandatory,N12.4
29,Total Non-Interest Expense,TotalNonInterestExpense,N159,Report the total non-interest expenses.,D,Mandatory,N12.4
30,Total Non-Interest Expense - Interchange Expense,InterchangeExpense,N160,Report the interchange expense fees paid to the card associations.,D,Mandatory,N12.4
31,Total Non-Interest Expense - Rewards/Rebates Expense,RewardsExpense,N161,Report the rewards/rebates expenses associated with reward and rebate programs for credit cards.,D,Mandatory,N12.4
32,Total Non-Interest Expense - Collections Expense,CollectionsExpense,N162,"Report costs incurred to collect problem credits. Include the total collection cost for delinquent, recovery, and bankrupt accounts.",D,Mandatory,N12.4
33,Total Non-Interest Expense - Fraud Expense (Effective for submission of June 2013 data),FraudExpense,N163,Report losses incurred as a result of fraudulent activity.,D,Mandatory,N12.4
34,Total Non-Interest Expense - All Other Expenses,OtherNonInterestExpense,N164,"Report all other operating and other expenses associated with card operations. This includes servicing, cardholder billing, processing interchange, processing payments, card issuing, authorizations, card administration and outside services/outsourcing expenses, etc.",D,Mandatory,N12.4
35,Interest Income,InterestIncome,N165,"Report total interest accrued and billed on credit card receivables for the month, less any interest waived or reversed as uncollectible or any amount added to a contra-asset account for uncollectible interest. Do not include fee income in this category.",D,Mandatory,N12.4
36,Fee Income,TotalFeeIncome,N166,"Report total fees assessed on credit card accounts during the month, less any fee waived or reversed as uncollectible. Interchange, annual and debt suspension/cancellation fees should not be reported here.",D,Mandatory,N12.4
37,Fee Income - Late Fee Income,LateFeeIncome,N167,Report net fees assessed for late or nonpayment accounts.,D,Mandatory,N12.4
38,Fee Income - Over Limit Fee Income,OverLimitFeeIncome,N168,Report fees assessed for accounts going over established credit limits.,D,Mandatory,N12.4
39,Fee Income - Balance Transfer Fee,BalanceTransferFeeIncome,N169,"Report fees assessed for transferring balances from another source outside the bank, such as another financial institution's credit card.",D,Mandatory,N12.4
40,Fee Income - Convenience Check Fee,ConvenienceCheckFeeIncome,N170,Report fees assessed for the use of checks provided to assess available credit on the account.,D,Mandatory,N12.4
41,Fee Income - Cash Advance Fee (Effective for submission of June 2013 data),CashAdvanceFeeIncome,N171,Report fees assessed for cash advances on the account.,D,Mandatory,N12.4
42,Fee Income - NSF Fee,NSFFeeIncome,N172,Report fees assessed for payments returned unpaid.,D,Mandatory,N12.4
43,Fee Income - Other Fee Income,OtherFeeIncome,N173,"Report other activity-based fees assessed on an account, such as foreign exchange conversion fees, not reported in Line items 37-42 but included in Line item 36.",D,Mandatory,N12.4
44,Interchange Income,InterchangeIncome,N174,Report interchange fees received from the card associations.,D,Mandatory,N12.4
45,All Other Non-Interest Income,OtherNonInterestIncome,N175,"Report any other non-interest income as a part of total income not reported in line items 35, 36 (summation of 37-43), and 44, including annual fees, debt suspension/cancellation product fees, etc., associated with card operations.",D,Mandatory,N12.4
46,Taxes,Taxes,N176,Report tax expenses applicable to credit card income.,D,Mandatory,N12.4
