Line Item No.,Line Item Name,MDRM (CCHE),Detailed Description,Allowed Values,Format / Line Item Length
98,Entity Serviced,M945,"Report the Federal Regulator of the BHC or IHC or SLHC subsidiary that is servicing the loan. If the loan is a commercial loan secured by residential real estate loans, report the Federal Regulator of the entity servicing the commercial loan.","1 = FRB; 2 = OCC; 3 = FDIC",Character(1)
99,Total Debt at Time of any Involuntary Termination,M235,"Report the total debt at the time of any involuntary termination. Total debt should be reported at gross, not net values, and is comprised of: 1) Unpaid Principal Balance; 2) Interest pass through Amount; 3) Total Corporate Advance (incl. Property Preservation and Attorney's fees); 4) Total Escrow Advance (taxes and insurance paid). Any involuntary termination includes REO, short sale, deed-in-lieu of foreclosure, third party sale or charge-off. Do not include any write-downs prior to termination. This line item is required for portfolio loans and best efforts for all others. Report NULL for any junior liens.","Whole Number e.g., 2123 for $2,122.81. Use banker's rounding.",Whole Number
100,Net Recovery Amount,M236,"Report the cumulative recovery amount at the time the loan terminates. For first lien, this is computed as sales price net of costs of sales (e.g., sales commissions and buyer concessions.) Since net proceeds should be the same as Net Recovery Amount, report net proceeds in this line item for short sales and third party sales, along with all other involuntary terminations. This line item is required for portfolio loans and best efforts for all others. Report NULL for any junior liens.","Whole Number e.g., 2123 for $2,122.81. Use banker's rounding.",Whole Number
101,Sales Price of Property,M948,"Report the final sales price at which the property was disposed by the BHC or IHC or SLHC in the case of involuntary termination. Provide the same price as the BHC or IHC or SLHC would submit to public records data. In cases in which the home equity lender decides not to pursue recourse to the property collateral, or charges off a loan completely, report a 0 (zero) for this field. This line item is required for portfolio loans and best efforts for all others. Report NULL for any junior liens.","Whole Number e.g., 2123 for $2,122.81",Whole Number
102,Commercial Loan Flag,M951,"Report whether the loan is a commercial real estate (CRE) or commercial business purpose loan or transaction. This line item is reserved for certain CRE or commercial business purpose loans secured by 1-4 residential properties where the underlying 1-4 residential loans are required to be reported on Schedule Y-9C as 1-4 residential mortgage loans.","0 = No. This loan is not a CRE or commercial business purpose loan.; 1 = Yes. This loan is a CRE or commercial business purpose loan.",Character(1)
103,Probability of Default - PD,M114,"Report the Probability of Default (PD) for the account as defined in the most recent capital framework. More specifically, report the PD associated with the account's corresponding segment. Note: Applicable only to firms subject to the advanced approaches rule. This item is required for BHC or IHC or SLHC-owned loans only.","A one in ten probability of default should be reported as 0.1.","Numeric, up to 5 decimals"
104,Loss Given Default - LGD,M115,"Report the Loss Given Default (LGD) for the account as defined in the most recent capital framework. More specifically, report the LGD associated to the account's corresponding segment. Note: Applicable only to firms subject to the advanced approaches rule. This item is required for BHC or IHC or SLHC-owned loans only.","A ninety percent loss given default should be reported as 0.9.","Numeric, up to 5 decimals"
105,Expected Loss Given Default - ELGD,M116,"Report the Expected Loss Given Default (ELGD) parameter for the account as defined in the most recent capital framework. More specifically, report the ELGD associated to the account's corresponding segment. Missing or unavailable values should be left blank. If the BHC or IHC or SLHC generates this field, they are required to report it. ELGD is an input into the LGD calculation. Note: Applicable only to firms subject to the advanced approaches rule. This item is required for BHC or IHC or SLHC-owned loans only.","A ninety percent expected loss given default should be reported as 0.9.","Numeric, up to 5 decimals"
106,Exposure at Default - EAD,M117,"Report the dollar Exposure at Default (EAD) for the account as defined in the most recent capital framework. More specifically, report the EAD associated to the account's corresponding segment. In particular, for open-ended exposures assign to all the accounts in a particular segment the corresponding LEQ, CCF, or related parameters, associated with that segment. Note: Applicable only to firms subject to the advanced approaches rule. This item is required for BHC or IHC or SLHC-owned loans only.","Whole Number, e.g. 5123 for $5,122.81",Whole Number
107,Entity Type,M952,"Report the registered entity type of the BHC or IHC or SLHC subsidiary that owns the reported loan. If the loan is not owned by the BHC or IHC or SLHC or its subsidiaries, report the entity type as 'Other.'","1 = National Bank; 2 = State Member Bank; 3 = Nonmember Bank; 4 = State Credit Union; 5 = Federal Credit Union; 6 = Non-bank Subsidiary; 0 = Other",Whole number
108,HFI FVO/HFS Flag,M953,"Portfolio HFI FVO / HFS - Report whether all portfolio loans held for investment (HFI) measured at fair value under a fair value option (FVO) or held for sale (HFS). Note: For non-portfolio loans leave this line item blank.","Y = Yes; N = No",Character(1)
109,Origination Credit Bureau Score Vendor,R036,"List the vendor of the commercially available credit bureau score reported in item 13. If the vendor is not among those listed, please select 'Other' and report the vendor in item 110. List the version of the credit score in item 110.","1=FICO; 2=VantageScore; 3=Other",Character(1)
110,Origination Credit Bureau Score Version,R037,"Provide the version of the commercially available credit bureau score reported in item 13 (for example, FICO 08 or VantageScore 3.0). If 'Other' was selected in item 109, please report the vendor name along with the schedule version (in the format 'vendor name - score version').",Text String,Character(30)
111,Current Credit Bureau Score Vendor,R038,"List the vendor of the commercially available credit bureau score reported in item 14. If the vendor is not among those listed, please select 'Other' and report the vendor in item 112. The current credit bureau score related fields are required for portfolio loans and optional for loans that the BHC, IHC or SLHC services for others.","1=FICO; 2=VantageScore; 3=Other",Character(1)
112,Current Credit Bureau Score Version,R039,"Provide the version of the commercially available credit bureau score reported in item 14 (for example, FICO 08 or VantageScore 3.0). If 'Other' was selected in item 111, please report the vendor name along with the schedule version. The current credit bureau score related fields are required for portfolio loans and optional for loans that the BHC, IHC or SLHC services for others.",Text String,Character(30)
113,Current Credit Bureau Score Date,S382,"Provide the date on which the commercially available credit bureau score reported in item 14 was obtained. This field must be updated at least one month within the quarter, and refreshed at least one month within every subsequent quarter. The current credit bureau score related fields are required for portfolio loans and optional for loans that the BHC, IHC or SLHC services for others.",YYYYMMDD,YYYYMMDD
114,Serviced by Others (SBO) Flag,R622,"Indicates the servicer of the loan. If the loan is serviced by entities other than the BHC or IHC or SLHC or its subsidiary, use a code of Y. If the loan is serviced by the BHC or IHC or SLHC or its subsidiary, use a code of N.","Y-Yes; N-No",Character(1)
115,Reporting As of Month Date,R623,"Indicate the reporting as of month date. Note: This field will generally be consistent with the AS_OF_MON_ID used in the file naming convention. However, loans that are flagged as SBO loans may have a different reporting as of date. Use this field to code the reporting as of date for all loans.",YYYYMM,YYYYMM
116,Payment Type at the end of draw period,R624,"Report how borrowers are required to repay any principal outstanding at the end of the Allowable Draw Period.","1 = Balloon: Outstanding principal is immediately due at the end of the Allowable Draw Period; 2 = Amortizing: Borrowers are required to make payments that amortize the outstanding principal over the remaining term of the loan; 3 = Interest only: Borrowers are allowed to make interest-only payments over the remaining term, with any outstanding principal due at the end of term; 4 = Other repayment method",Character(1)
117,National Bank RSSD ID,JA26,"Report the RSSD ID of the national bank that has a financial interest in the loan. For these purposes, a national bank subsidiary is deemed to have a financial interest in a loan if it owns the loan and/or services the loan. If no National Bank subsidiary of the reporting BHC either owns or services the loan, this field should be left blank (null).",RSSD ID of a national bank subsidiary is the only valid value.,Whole Number
118,Charge-off Amount,LE95,"Cumulative amount charged off as of most recent charge-off event. If the account has experienced any charge-off, report the most recent cumulative dollar amount charged-off. Continue to report that same value each month unless another charge-off event occurs. The cumulative charge-off amount can increase or decrease, depending on the nature of the charge-off adjustment. If the account has not been charged-off, do not report a value.","Whole Number e.g., 2123 for $2,122.81. Use banker's rounding.",Whole Number
119,Charge-off Date,LE96,"Report the date of the most recent charge-off event for the account. If the account has experienced a charge-off event, report the most recent date a charge-off occurred. If the account has not been charged-off, do not report a value.",YYYYMMDD,YYYYMMDD
120,Workout Type Started,PG60,"Report the workout type started. This line item should be coded for any loan where a loss mitigation effort has started in the current month. The line item should be coded in the reporting month when the workout type was started and in subsequent months up to, but not including, the month the workout type was completed. If the workout plan began and ended in the same month, code this field as 0 and fill out Line 61 - Workout Type Completed.","0 = No Active Workout Plan; 1 = Modification; 2 = Payment Plan; 3 = Deed in Lieu; 4 = Short Sale; 6 = Do not Use; 7 = Settlement; 8 = Other; 9 = Forbearance Plan; 16 = Refinance; 17 = Partial Claim/Junior Lien",Numeric
