Line Item No.,Line Item Name,Technical Line Item Name,MDRM (CCRS),Description,Static or Dynamic,Mandatory or Optional,Format
33,Borrower's Income at Origination,BorrowerIncome,M076,"Report the borrower's total annual income obtained at the account's origination (annualized if monthly income was provided). For business credit cards the business income should be used.",S,Mandatory,N12
34,Income Source at Origination,BorrowerIncomeType,M077,"Income Source at Origination - Report whether the original income information was for the primary cardholder only or for joint or household members also. 1 = Individual; 2 = Household; 3 = Other.",S,Mandatory,N1
35,Updated Borrower's Income (Retired March 2020),UpdatedBorrowerIncome,M078,,,,
36,Updated Income Source (Retired March 2020),UpdatedBorrowerIncomeType,M079,,,,
37,Date Refreshed Income Obtained (Retired March 2020),DateUpdatedBorrowerIncome,M080,,,,
38,Origination Credit Bureau Score for the primary account holder,OriginalCreditScorePrimaryBorrower,M081,"Report the credit score value of the primary account holder at origination using a commercially available credit bureau score. Report the credit score name in item 109 and list the credit score version in item 116. If the underwriting decision was based on an internal score, please map this internal score to an industry standard credit score. For Small Business Cards, provide the score for the proprietor or primary business owner. For Corporate Cards, provide the score for the primary cardholder if available.",S,Mandatory,N3
39,Origination Credit Bureau Score for the co-borrower (if any),OriginalCreditScoreCoborrower,M082,"Report the credit score of the co-borrower at origination using an industry standard credit bureau credit score (e.g., FICO, VantageScore). A co-borrower is a person who jointly borrows using the credit card and is responsible for repayment of the loan. Report the guarantor's credit score if there is no co-borrower or the credit score of the co-borrower is not available and there is a guarantor.",S,Mandatory,N3
40,Refreshed Credit Bureau Score,RefreshedCreditScorePrimaryBorrower,M083,"Report the most recently updated credit score available for the primary account holder using a commercially available credit bureau score. Report the credit score name in item 110 and list the credit score version in item 117. Report the date on which the credit score was refreshed in item 41. If a commercially available credit bureau score is not available, please map an internal score to an industry standard credit score.",D,Mandatory,N3
41,Credit Bureau Score Refresh Date,CreditScoreRefreshDate,M084,"Report the date on which the commercially available credit score, or the internal score being mapped to a commercially available credit score, reported in item 40 was last refreshed.",D,Mandatory,Date YYYYMMDD
42,Behavioral Score,BehavioralScore,M085,"Report the current internal behavior score available for the account in the reporting month. If no score is available, leave blank. Report the behavior score name and version in line item 111.",D,Optional,N10.6
43,Original Credit Limit,OriginalCreditLimit,M086,"Report the amount of the credit line set by the card issuer at origination. If no credit limit, report the purchase or shadow limit. If credit limit is not available, then leave blank. A Shadow Limit is the maximum total outstanding balance allowed on an account and is not advertised to the account holder. A Purchase Limit is the maximum amount that can be purchased on an account in a given billing cycle.",S,Mandatory,N12.2
44,Current Credit Limit,CurrentCreditLimit,M087,"Report the maximum dollar amount that may be borrowed on the account during the reporting month. Report at the reporting month's end. If no credit limit, report the purchase or shadow limit. Report the type of credit limit in line item 112. For closed accounts, report the last known credit limits. If unknown, leave blank. For Corporate accounts, report the limit at the account level and not the relationship credit limit.",D,Mandatory,N12.2
45,Current Cash Advance Limit,CurrentCashAdvanceLimit,M088,Report the maximum cash advance amount available to the borrower. Report at the reporting month's end.,D,Mandatory,N12.2
46,Line Frozen in the current month,LineFrozenFlag,M089,"Report whether the account's credit line is involuntarily frozen and authorizations are prohibited on the account in the current reporting month. 1 = Yes; 0 = No.",D,Mandatory,N1
47,Line Increase or Decrease in the current month,LineIncreaseDecreaseFlag,M090,"Report whether the account remains open but the credit line has been increased or reduced in the current reporting month. Report if the line change is proactive or reactive in line item 113. Report the flag to reflect the net change in credit limit. Leave blank for closed accounts. 2 = Increase; 1 = Decrease; 0 = No change.",D,Mandatory,N1
48,Minimum Payment Due,MinimumPaymentDue,M091,"Report the current minimum dollar amount due that will make the account roll into the first delinquency bucket (1-29 days past due) if not paid. Use the most recent cycle date of the current reporting month.",D,Mandatory,N12.2
49,Total Payment Due,TotalPaymentDue,M092,"Report the dollar amount of the total payment due for the cycle ending in the current reporting month. This generally includes current minimum due, past due payments and any amount reported as over the credit limit.",D,Mandatory,N12.2
50,Next Payment Due Date,NextPaymentDueDate,M093,"Report the date the cardholder is told a payment must reach the bank for the cycle in the current reporting month to keep the account in a current status. Leave blank if no payment is due in the reporting month.",D,Mandatory,Date YYYYMMDD
51,Actual Payment Amount,ActualPaymentAmount,M094,"Report the dollar amount of all payments received during the current month's cycle. Aggregate multiple payments. Report net of checks returned for non-sufficient funds, account closed, etc. If a statement was not generated or a payment was not made, report as zero. Include payments made on an account secured by a collateral deposit.",D,Mandatory,N12.2
