Line Item No.,Line Item Name,Technical Line Item Name,MDRM (CCRS),Description,Static or Dynamic,Mandatory or Optional,Format
1,Bank Id,BankId (PK),9001,Identify the bank.,S,Mandatory,C18
2,Period Id,PeriodId (PK),9999,"Identify the reporting period. Reporting period is the period (month) over which account metrics are reported.",D,Mandatory,Date YYYYMMDD
3,Credit Card Type,CreditCardType (PK),M050,"Report portfolio level information: 1 = General Purpose; 2 = Private Label; 3 = Business Card; 4 = Corporate Card.",D,Mandatory,N1
4,Lending Type,LendingType (PK),M052,"Report portfolio level information: 1 = Consumer Bank Card; 2 = Consumer Charge Card; 3 = Non Consumer Card; 4 = Non Consumer Charge Card.",D,Mandatory,N1
5,End of Month Managed Receivables,MonthEndManagedReceivables,M119,"Report the end of month managed receivables. Include all outstanding credit card receivables, bank owned and securitized.",D,Mandatory,N12.4
6,End of Month Book Receivables,MonthEndBookReceivables,M120,"Report the end of month book receivables. Include outstanding credit card receivables, bank owned only (not securitized, not serviced for others). Report total receivables of the booked accounts.",D,Mandatory,N12.4
7,Number of Accounts,NumberAccount,M121,"Report in millions the total number of non-charge-off accounts as of the reporting month. Should correspond to the balance numbers reported in fields #5.",D,Mandatory,N12.4
8,Total Number of New Accounts,NumberNewAccounts,M122,Report in thousands total number of new accounts originated in the reporting month.,D,Mandatory,N12.4
9,ACL Managed Balance,ACLManagedBalance,M123,"Report the amount of the allowance for credit losses on loans and leases (ACL) assigned to the managed credit card portfolio at the end of the month; include reserves maintained for securitized assets, if any.",D,Mandatory,N12.4
10,ACL Booked Balance,ACLBookedBalance,M124,Report the amount of the allowance for credit losses on loans and leases assigned to the bank-owned credit card portfolio at the end of the month.,D,Mandatory,N12.4
11,Projected Managed Losses,ProjectedManagedLosses,M125,Report the estimated dollar amount of losses for the next 12 months for the entire managed portfolio.,D,Mandatory,N12.4
12,Projected Booked Losses,ProjectedBankowedLosses,M126,Report the estimated dollar amount of losses for the next 12 months for the bank-owned portfolio only.,D,Mandatory,N12.4
13,Managed Gross Charge-offs for the current month,ManagedGrossChargeOffs,M127,"Report the dollar amount of gross charge-offs recognized in the reporting month for the entire managed portfolio, including all write-downs, fee waivers or reversal of loan interest and fees. Report all gross charge-offs, including those related to acquired impaired loans.",D,Mandatory,N12.4
14,Booked Gross Charge-offs for the current month,OnBalanceSheetGrossChargeOffs,M128,"Report the dollar amount of gross charge-offs recognized in reporting month for bank-owned receivables, including all write-downs, fee waivers or reversal of loan interest and fees. Report all gross charge-offs, including those related to acquired impaired loans.",D,Mandatory,N12.4
15,Managed Bankruptcy Charge-off Amount for Current Month,ManagedBankruptcyChargeOffAmount,M129,Report the dollar amount of gross charge-offs recognized in the reporting month that was due to bankruptcy for the entire managed portfolio.,D,Mandatory,N12.4
16,Booked Bankruptcy Charge-off Amount for Current Month,OnBookBankruptcyChargeOffAmount,M130,Report the dollar amount of gross charge-offs recognized in the reporting month that was due to bankruptcy for bank owned receivables.,D,Mandatory,N12.4
17,Managed Recoveries,ManagedRecoveries,M131,"Report amounts recovered on credit card loans previously charged-off, including those related to acquired impaired loans, for the entire managed portfolio in the current reporting month.",D,Mandatory,N12.4
18,Booked Recoveries,BookedRecoveries,M132,"Report all recoveries for prior charge-offs, including those related to acquired impaired loans, on bank-owned receivables, recognized through the allowance for credit losses on loans and leases, in the current reporting month.",D,Mandatory,N12.4
19,Managed Principal Recovery Amount,ManagedPrincipalRecoveryAmount,M133,Report amounts recovered attributed as principal recovery on credit card loans previously charged-off for the entire managed portfolio in the current reporting month.,D,Mandatory,N12.4
20,Managed Interest and Fees Recovery Amount,ManagedInterestRecoveryAmount,M134,Report amounts recovered attributed as any interest and fees recoveries on credit card loans previously charged-off for the entire managed portfolio in the current reporting month.,D,Mandatory,N12.4
21,Booked Principal Recovery Amount,BookedPrincipalRecoveryAmount,M135,Report amounts recovered attributed as principal recovery on credit card loans previously charged-off for the entire booked portfolio in the current reporting month.,D,Mandatory,N12.4
22,Booked Interest and Fees Recovery Amount,BookedInterestRecoveryAmount,M136,Report amounts recovered attributed as any interest and fees recoveries on credit card loans previously charged-off for the entire booked portfolio in the current reporting month.,D,Mandatory,N12.4
23,Interest and Fees Charge-off/Reversal Amount,InterestAndFeeChargeOffAmount,M137,"Report the total amount of any write-downs, fee waivers or reversal of loan interest and fees on the credit card receivables during the reporting month. Can include those charged against the allowance for credit losses, a separate valuation reserve, or reversed against current period income.",D,Mandatory,N12.4
24,Loan Loss Provision Expense,LoanLossProvisionExpense,M138,"Report loan loss provision expenses during the month for credit cards only. Typically equals Loan Loss Provision Taken (Line item 25) + Loan Loss Provision Build (Line item 26).",D,Mandatory,N12.4
25,Loan Loss Provision Taken,ProvisionExpenseTaken,M139,"Report provision expenses taken during the month for credit cards only. This value should equal the total amount charged against the loss provision during the current month (charged-off - recovery).",D,Mandatory,N12.4
26,Loan Loss Provision Build,ProvisionExpenseBuild,M140,"Report the additional provision built up during the month for credit cards only. Provision build equals: provision expense + recoveries - charge-offs against the allowance for credit losses on loans and leases.",D,Mandatory,N12.4
27,Extraordinary Items,ExtraOrdinaryItems,M141,"Report extraordinary items, which are categorized as material and infrequent, such as gains and/or losses on the sale of credit card portfolios during the month.",D,Mandatory,N12.4
