Line Item No.,Line Item Name,MDRM (CCAM),Detailed Description,Allowed Values,Format / Line Item Length
1,Loan Number,M142,"Report an identifier for this loan that will be the same from month to month. It must identify the loan for its entire life and must be unique (piggy-backs should be separated). Provide the same loan number identifier that is provided in the FR Y-14M First Lien and Home Equity schedule submissions. The loan number identifier should be consistent across the Address Match, First Lien, and Home Equity schedules. If the BHC or IHC or SLHC is already submitting data to the OCC as part of the OCC Mortgage Metrics Data or OCC Home Equity Data, it is required that the BHC or IHC or SLHC use the same loan number for the FR Y-14M data schedules.","A contributor-defined alpha-numeric value up to 32 characters.",Character(32)
2,Property Street Address,9028,"Report the street address associated with the property. Must include street direction prefixes, direction suffixes, and Unit Number for condos and co-ops.","Text line item. Include street prefixes, suffixes, and unit number, e.g., 123 E Main St # 123, 123 Highway 79 South Unit 567",Text(100)
3,Property City,9130,"Report the city in which the property is located. Contributors should be careful to provide the property city (not the mailing city of the borrower).",Text line item,Text(50)
4,Property State,9200,"Report the state in which the property is located. Contributors should be careful to provide the property state (not the mailing state of the borrower), as the two may differ for non-owner occupied properties and second/vacation homes.",Two-letter postal codes for the state.,Character(2)
5,Property ZIP Code,9220,"Report the nine-digit ZIP code of the property or five-digit ZIP code if nine-digit is not available. Please be sure to provide the property ZIP code (not the mailing ZIP code). Note: Provide the zip code as 9 digits when available.","Five-digit or nine-digit number. Include leading zeroes WITH NO DASHES, e.g., 00901, 101015271",Character(9)
6,Mailing Street Address,9110,"Report the borrower's mailing street address. May be the same as the Property Street Address. Must include street prefixes, suffixes, and unit number for condos and co-ops.","Text line item. Include street prefixes, suffixes, and unit number, e.g., 123 E Main St Apt 123, 123 Highway 79 South Unit 567",Text(100)
7,Mailing City,F206,"Report the borrower's mailing city. May be the same as the Property City.",Text line item.,Text(50)
8,Mailing State,F207,"Report the borrower's mailing state. May be the same as the Property State. If the Mailing State is an international address, then use a code value of 'FF' to represent the Mailing State information.",Two-letter postal codes for the state.,Character(2)
9,Mailing ZIP Code,F208,"Report the nine-digit ZIP code of the mailing address or five-digit ZIP code if nine-digit is not available. This may be the same as the Property ZIP Code. If the Mailing zip code is an international address, and greater than 9 characters, leave the foreign mailing zip code blank.","Five-digit or nine-digit number. Include leading zeroes WITH NO DASHES, e.g., 00901, 101015271",Character(9)
10,Liquidation Status,M252,"Liquidation Status - Report the liquidation method for any loan that was liquidated during the reporting month. Not Paid In Full: Coded for any home equity loans having an outstanding balance as of month-end as well as all active lines of credit. Voluntary Payoff: Code all instances where the loan has been paid in full by the borrower. Involuntary Liquidation: Code all instances where the loan has been liquidated either through foreclosure proceedings or another settlement option. Servicing Transfer: Code all instances where the servicing of the loan has been transferred or sold to another institution during the reporting month.","0 = Not paid-in-full; 1 = Voluntary Payoff/Refinance (includes Property Sale); 2 = Involuntary liquidation; 3 = Servicing transfer",Character(1)
11,Lien Position at Origination,M158,"Report the lien position at origination (1st, 2nd, 3rd, etc.).","1 = First Lien; 2 = Second Lien; 3 = Third Lien",Character(1)
12,Census Tract,M275,"Report the census tract of the property address. Use the 2010 Census Tract definitions. Census tracts are identified by an up to four digit integer number and may have an optional two-digit suffix. The census tract codes consist of six digits with an implied decimal between the fourth and fifth digit. Use the 2010 Census Tract definitions, but more up-to-date Census Tract information can be used if it is available.","Census tract number, provided in text format including any leading zeroes and the decimal points if applicable. Example: 2345.06 = 234506; 78 = 007800.",Character(10)
13,Data File Reference,M946,"Indicates if the loan is included in Y-14M First Lien Closed-end data or Y-14M Home Equity Loan and Home Equity Line data file submission for that month.","1 = Available in the Y-14M First Lien Closed-end data file; 2 = Available in the Y-14M Home Equity Loan and Home Equity line data file",Character(1)
