Line Item No.,Line Item Name,MDRM (CCHE),Detailed Description,Allowed Values,Format / Line Item Length
76,Current Combined LTV,M266,"Report the current combined LTV. The current combined LTV includes the updated loan-to-value using the current commitment of the HE loan or line. The BHC or IHC or SLHC may use an updated 1st mortgage balance, if available (serviced in house), but is not required to do so. For property value, the BHC or IHC or SLHC should use the most recent estimate of property value. If the BHC or IHC or SLHC has not refreshed the value since loan origination, then use the origination value. If the BHC or IHC or SLHC has updated a property's value as part of a re-subordination process, then it should report the refreshed property value and current LTV along with the valuation method and date of valuation.","Provide as a decimal. E.g.: 0.51 for 51.1%. Please leave blank if unavailable","Numeric, to 2 decimals"
77,Modification Type,M215,"Report the modification type. This line item should be populated for any loan that is currently operating under modified terms and identifies the specific terms that were altered through loss mitigation efforts. Modification Type should be filled out for all months the loan is currently operating under modified terms (including the month where Workout Type Completed =1). If a loan is not operating under modified terms, this field should be populated as '0 = Loan has not been modified'. Report the code that reflects the current modification arrangement using all information available. If no information is available, code as 99=Other. This field will be filled out if Workout Type Completed = 1 (Modification). Codes 27-34 are to be used if a combination of modifications are applied to a loan.","0 = Not Modified; 7 = 2MP (Retired); 8 = Proprietary Systematic (Retired); 9 = Proprietary Other (Retired); 10 = HAMP (Retired); 13 = HELOC Line Renewal (Regular); 14 = HELOC Line Renewal (loss mitigation strategy); 21 = Principal deferral; 22 = Rate change; 23 = Term extension; 24 = Principal forgiveness; 25 = Recapitalization; 27 = Principal deferral + Rate change; 28 = Principal deferral + Term extension; 29 = Principal deferral + Rate change + Term extension; 30 = Rate change + Term extension; 31 = Rate change + Principal forgiveness; 32 = Rate change + Term extension + Principal forgiveness; 33 = Term extension + Principal forgiveness; 34 = Term extension + Recapitalization; 99 = Other",Numeric
78,Last Modified Date,M216,"Report the date of the most recent modification. This line item should only be populated for loans with a value in Line item 77 Modification Type, indicating that a loan has been modified. For HELOC Line Renewals, the field Modification Type will contain code 13 or 14, and Last Modified Date field will be populated with the line renewal date.",YYYYMMDD,YYYYMMDD
79,Refreshed Property Value,M209,"Refreshed property value - Report the most current property value if updated subsequent to loan origination. Only provide a refreshed value when it is based on a property-specific valuation method. Refreshed values are expected to be populated for modified loans only and the information to be collected at the time modification terms are being set. These are optional for other loans. Do not report where the refreshed property value was not obtained within the last year. Line items 79, 80, and 81 all refer to the same refreshed property valuation instance.","e.g. 125000 for $125,000.00",Whole Number
80,Refreshed Property Valuation Method,M210,"Report the valuation method for any refreshed values in line item 79. Identifies the method by which the value of the property was determined. The Refreshed Property Value, Refreshed Property Valuation Method, Property Method at Modification, and Most Recent Property Valuation Date line items refer to the same refreshed property valuation instance.","0=Not Refreshed; 1=Full Appraisal - Prepared by a licensed appraiser; 2=Limited Appraisal-Drive-by - Prepared by a licensed appraiser; 3=Broker Price Opinion ""BPO"" - Prepared by a real estate broker or agent; 4=Desktop Valuation - Prepared by a bank employee or non-appraiser; 5=Automated Valuation Model ""AVM""; 6=Unknown; 7=TAV - tax assessed value",Character(1)
81,Refreshed Property Valuation Date,M267,Report the date of the most recent property valuation.,YYYYMMDD,YYYYMMDD
82,Escrow Amount Current (Retired March 2013),M268,,,
83,Loan Purpose Coding,M161,"Report the purpose for the loan origination. If the loan has multiple purposes, report the primary purpose.","1 = Purchase; 4 = Rate / Term Refinance; 5 = Cash-Out Refinance; 6 = Other Refinance; 7 = Home Improvement; 8 = Debt Consolidation; 9 = Education; A = Medical; R = Reverse Mortgage, including Home Equity Conversion Mortgage (HECM) loans; Y = Other; U = Unknown",Character(1)
84,Remaining Term,M198,"Report the remaining term of the loan in months. For HELOC it should be the combined draw period and the repayment period. In the case of commercial loans, report commercial demand loans with a value of NULL. Note: For the Remaining Term line items in the FR Y-14M First Lien and Home Equity schedules, a value of 0 should be assigned if a loan is past maturity.",Whole Number,Whole Number
85,Bankruptcy Chapter,M195,"Bankruptcy Chapter - For all the loans with a Bankruptcy Flag, report the Bankruptcy Chapter Type. Note: If the Bankruptcy Flag line item (Line item 38) is coded with a value of 'N', then the Bankruptcy Chapter line item should be blank, i.e. null value. Do not populate this line item with any other value.","7 = Chapter 7; 9 = Chapter 9; 11 = Chapter 11; 12 = Chapter 12; 13 = Chapter 13; U = Unknown",Character(2)
86,Accrual Status,M957,Report the accrual status of the loan or line of credit as of the reporting month.,"0 = Accrual; 1 = Non-Accrual; 2 = Serviced for Others/Securitized",Character(1)
