Line Item No.,Line Item Name,MDRM (CCHE),Detailed Description,Allowed Values,Format / Line Item Length
14,Current Credit Bureau Score,M189,"Report the current credit score of the borrower using a commercially available credit bureau score. Provide the most recently determined score. Report vendor in item 111 and version in item 112. Required for portfolio loans, optional for serviced-for-others loans. Must be updated at least one month within the quarter.","Provide as a whole number, e.g.: 723",Whole Number
15,Occupancy,M155,"Owner Occupancy Flag - Report Occupancy related information available on the mortgage at the time of origination.","1 = Primary; 2 = Second Home; 3 = Non Owner / Investment; U = Unknown",Character(1)
16,Lien Position at Origination,M158,"Lien Position at Origination - Report the position of this loan relative to any additional liens on the property. If there are no additional liens, the loan is in first position. If the lien position is greater than third, code as ""3"".","1 = First lien; 2 = Second lien; 3 = Third lien or greater; U = Unknown",Character(1)
17,Home Equity Line Type,M243,"Report the home equity line type. Home Equity Loan = traditional fixed term second mortgages with no draw feature. Home Equity Line of Credit = borrower may access an available credit line through draw features; balances may have fixed term, locked or amortizing portions.","1 = Home Equity Loan; 2 = Home Equity Line of Credit; 3 = Other",Character(1)
18,Number of Units,M162,"Number of units to the property financed by the loan. If the actual number of units is not available for multi-family or 1-4 family properties, code with ""U"". For CRE or commercial purpose mortgage loans on multiple properties, code with ""Y"".","1 = one unit; 2 = two units; 3 = three units; 4 = four units; Y = Other; U = Unknown",Character(1)
19,Property Type,M164,"Property Type - Report the property type. For one property with multiple uses, report as ""F"" (Mixed Use). For properties with more than one piece of collateral, report as ""Z"" (Other). If known PUD with known underlying type, report underlying type. If known PUD with unknown underlying type, use 6=PUD.","1 = Single Family Resident; 2 = Condo; 3 = Co-Op; 4 = 2-4 Units; 5 = Townhouse; 6 = Planned Unit Development; 7 = 5+Units; E = Commercial; F = Mixed Use; M = Manufactured Housing; Z = Other; U = Unknown",Character(1)
20,Interest Type at Origination,M244,"Report the interest type at origination. Fixed = Loans where the interest rate is fixed for the entire term. Variable = Loans where the interest rate fluctuates based on a spread to an index, including all variable rate loans regardless of initial fixed period.","1 = Fixed; 2 = Variable",Character(1)
21,Interest Only at Origination,M168,"Interest Only at Origination - Report whether the loan required interest only at origination. An IO mortgage allows the borrower to pay only interest for a specified number of years.","Y=Yes; N=No; U=Unknown",Character(1)
22,Interest Only in Reporting Month,M190,"Interest Only in Reporting Month - Report whether the minimum payment in the reporting month represents only the interest due on the loan.","N = Was not I/O in reporting month; Y = Was I/O in reporting month; U = Unknown",Character(1)
23,Loan Source,M159,"Loan Source - Report the source by which the servicer originated or otherwise acquired the loan. At the servicer's discretion, acquired servicing may be reported as retail, broker, or correspondent originations to the extent information is available.","1 = Retail (Branch, Internet); 2 = Wholesale; 3 = Correspondent; 4 = Servicing Rights Purchased; 5 = Bulk Purchased; 6 = Wealth Management / Private Banking; U = Unknown",Character(1)
