Table 16: Capital Requirements by Risk Weight for Equity Exposures,March 31 2025,,
(in millions),Carrying Value,Exposure at Default,Advanced Approach RWAs
Simple Risk Weight Approach (SRWA),,,
0% - Federal Reserve stock and Sovereign exposures,3576,7099,—
20% - Federal Home Loan Bank exposures,43,43,10
100% - Community development equity exposures,12351,12937,13713
100% - Effective portion of hedge pairs,5849,5667,6007
100% - Non-significant equity exposures,11100,17536,18588
250% - Significant investments in unconsolidated financial institutions,2067,2598,6885
400% - Non-publicly traded equity exposures,593,699,2964
600% risk-weight equity exposures,—,—,—
Equity Exposures to Investment Funds,,,
Full look-through approach,12294,12859,2142
Alternative modified look-through approach,1869,1870,523
Total Equity Exposures,49742,61308,50832
