Table 6: Retail Exposures by Probability of Default Grades,March 31 2025,,,,,,
(in millions except ratios),Balance Sheet Amount,Undrawn Commitments,Exposure at Default,Advanced Approach RWAs,PD (%),LGD,Risk Weight
Residential mortgage - first lien:,,,,,,,,
0.00 to < 0.10,199561,—,199561,8231,0.04,33.82,4.12
0.10 to < 0.25,22466,2365,24254,4030,0.22,36.26,16.62
0.25 to < 0.75,3724,—,3724,988,0.47,33.69,26.53
0.75 to < 5.50,3558,—,3558,2228,1.75,34.41,62.62
5.50 to < 10.00,748,—,748,886,6.27,30.30,118.45
10.00 to < 100.00,2534,112,2646,4070,28.12,28.84,153.82
100 (default),5453,—,5453,2907,100.00,24.15,53.31
Total residential mortgage - first lien,238044,2477,239944,23340,2.69,33.79,9.73
Residential mortgage - junior lien:,,,,,,,,
0.00 to < 0.10,124,—,124,21,0.09,69.99,16.94
0.10 to < 0.25,—,—,—,—,—,—,—
0.25 to < 0.75,131,—,131,48,0.29,64.56,36.64
0.75 to < 5.50,150,—,150,143,1.28,63.26,95.33
5.50 to < 10.00,14,—,14,35,5.78,65.99,250.00
10.00 to < 100.00,18,—,18,60,24.07,65.19,333.33
100 (default),25,—,29,30,100.00,62.61,103.45
Total residential mortgage - junior lien,462,—,466,337,7.84,65.53,72.32
Residential mortgage - revolving:,,,,,,,,
0.00 to < 0.10,7086,20727,17008,1462,0.04,71.12,8.60
0.10 to < 0.25,—,—,—,—,—,—,—
0.25 to < 0.75,1822,139,1847,740,0.29,70.85,40.06
0.75 to < 5.50,2082,67,2094,2160,1.23,70.68,103.15
5.50 to < 10.00,180,3,181,469,5.57,70.40,259.12
10.00 to < 100.00,253,7,255,949,27.49,70.20,372.16
100 (default),506,16,513,544,100.00,69.09,106.04
Total residential mortgage - revolving,11929,20959,21898,6324,2.88,70.99,28.88
Qualifying revolving:,,,,,,,,
0.00 to < 0.50,13746,139454,71597,5255,0.12,98.45,7.34
0.50 to < 2.0,19242,26382,33838,13392,0.95,99.26,39.58
2.0 to < 5.0,12817,3107,15314,14721,3.10,99.11,96.13
5.0 to < 7.0,3140,320,3660,5315,5.64,99.57,145.22
7.0 to < 10.0,3061,422,3552,7090,9.56,99.24,199.61
10.0 to < 100.00,3763,276,4181,11065,45.66,99.00,264.65
100 (default),1,—,1,1,100.00,98.21,106.00
Total qualifying revolving,55770,169961,132143,56839,2.53,98.80,43.01
Other retail:,,,,,,,,
0.00 to < 0.50,33527,16746,43027,8724,0.14,66.59,20.28
0.50 to < 2.0,23102,2128,24513,16709,0.94,66.39,68.16
2.0 to < 5.0,7828,635,8375,9536,3.18,75.42,113.86
5.0 to < 7.0,1207,69,1269,1806,6.27,86.42,142.32
7.0 to < 10.0,1729,46,1765,2067,8.14,69.78,117.11
10.0 to < 100.00,3261,55,3341,5441,27.77,75.00,162.86
100 (default),309,—,392,379,100.00,53.85,96.68
Total other retail,70963,19679,82682,44662,2.54,68.08,54.02
Total Retail Exposures,377168,213076,477133,131502,2.63,59.47,27.56
