Table 7: Net Loan Charge-Offs,,,,Quarter ended,
(in millions),Mar 31 2025,Dec 31 2024,Sep 30 2024,Jun 30 2024,Mar 31 2024
Commercial loans:,,,,,,
Commercial and industrial,108,132,129,188,148
Commercial real estate,95,261,184,271,187
Lease financing,8,10,10,9,6
Total commercial,211,403,323,468,341
Consumer loans:,,,,,,
Residential mortgage,-15,-14,-23,-19,-13
Credit card,650,628,601,649,577
Auto,64,82,83,79,112
Other consumer,99,112,127,124,132
Total consumer,798,808,788,833,808
Total,1009,1211,1111,1301,1149
