Table Number,Table Name,LCR Section,PID,Product Type,Counterparty Filter,Key Distinguishing Fields
106,Retail Cash Inflow (Secured),Section 33(c),"I.S.1,2,5,6,7,8",Inflows-Secured,Retail or Small Business,"Maturity Bucket<=30d not Open, Encumbrance Type not Covered FRFF"
107,Retail Cash Inflow (Other I.O.6),Section 33(c),I.O.6,Inflows-Other,Retail or Small Business,"Collateral Class=Non-HQLA loans/Other, Maturity Bucket<=30d not Open"
108,Financial/Central Bank Cash Inflow (Unsecured),Section 33(d)(1),"I.U.1,2,4,5,6,8",Inflows-Unsecured,"Financial entities, Central Bank","Encumbrance Type not Segregated for Customer Protection or Covered FRFF"
109,Financial/Central Bank Cash Inflow (Assets I.A.3),Section 33(d)(1),I.A.3,Inflows-Assets,,"Collateral Class=A-0-Q, Market Value=*"
110,Financial/Central Bank Cash Inflow (Secured),Section 33(d)(1),"I.S.1,2,3,5,6,7,8",Inflows-Secured,"Financial entities, Central Bank","Collateral Class=Other, Encumbrance Type not Covered FRFF"
111,Financial/Central Bank Cash Inflow (Other I.O.6),Section 33(d)(1),I.O.6,Inflows-Other,"Financial entities, Central Bank","Collateral Class=Non-HQLA loans/Other"
112,Non-Financial Wholesale Cash Inflow (Unsecured),Section 33(d)(2),"I.U.1,2,6",Inflows-Unsecured,Non-Financial entities,"Encumbrance Type not Covered FRFF"
113,Non-Financial Wholesale Cash Inflow (Secured),Section 33(d)(2),"I.S.1,2,3,5,6,8",Inflows-Secured,Non-Financial entities,"Collateral Class=Other, Encumbrance Type not Covered FRFF"
114,Non-Financial Wholesale Cash Inflow (Other I.O.6),Section 33(d)(2),I.O.6,Inflows-Other,Non-Financial entities,"Collateral Class=Non-HQLA loans/Other"
115,Securities Cash Inflow (Non-HQLA),Section 33(e),"I.O.6,I.O.8",Inflows-Other,#,"Collateral Class=Non-HQLA securities, Maturity Bucket<=30d not Open"
116,Securities Cash Inflow (HQLA),Section 33(e),"I.O.6,I.O.8",Inflows-Other,#,"Collateral Class=HQLA, Treasury Control=N"
117,Secured Lending Rehyp Not Returned 30d,Section 33(f)(1)(i),"I.S.1,2,3,5,6",Inflows-Secured,Not Retail or Small Business,"Eff Maturity Bucket=>30d or Open, Unencumbered=N"
118,Secured Lending Asset Available Return (Non-HQLA),Section 33(f)(1)(ii),"I.S.1,2,3,6,7,8",Inflows-Secured,Not Retail or Small Business,"Eff Maturity Bucket=NULL, Collateral Class=Non-HQLA"
119,Secured Lending Asset Available Return (HQLA Unenc=N TC=Y),Section 33(f)(1)(ii),"I.S.1,2,3,5,6,7,8",Inflows-Secured,Not Retail or Small Business,"Eff Maturity Bucket=NULL, HQLA, Unencumbered=N, TC=Y"
120,Secured Lending Asset Available Return (HQLA TC=N),Section 33(f)(1)(ii),"I.S.1,2,3,5,6,7,8",Inflows-Secured,Not Retail or Small Business,"Eff Maturity Bucket=NULL, HQLA, TC=N"
121,Secured Lending L1 HQLA (Eff Mat<=30d),Section 33(f)(1)(iii),"I.S.1,2,3,5,6,7,8",Inflows-Secured,Not Retail or Small Business,"Eff Mat Bucket<=30d not Open, Collateral Class=Level 1 HQLA"
122,Secured Lending L1 HQLA (Eff Mat NULL Unenc=Y TC=Y),Section 33(f)(1)(iii),"I.S.1,2,3,5,6,7,8",Inflows-Secured,Not Retail or Small Business,"Eff Mat Bucket=NULL, Level 1 HQLA, Unenc=Y, TC=Y"
123,Secured Lending L2A HQLA (Eff Mat<=30d),Section 33(f)(1)(iv),"I.S.1,2,3,5,6,7,8",Inflows-Secured,Not Retail or Small Business,"Eff Mat Bucket<=30d not Open, Collateral Class=Level 2A HQLA"
124,Secured Lending L2A HQLA (Eff Mat NULL Unenc=Y TC=Y),Section 33(f)(1)(iv),"I.S.1,2,3,5,6,7,8",Inflows-Secured,Not Retail or Small Business,"Eff Mat Bucket=NULL, Level 2A HQLA, Unenc=Y, TC=Y"
