Section,Table,Field Name,Field Type
Supplemental,Informational,Reporting Entity,text
Supplemental,Informational,Product,text
Supplemental,Informational,Market Value,numeric
Supplemental,Informational,Collateral Class,text
Supplemental,Informational,Internal,text
Supplemental,Informational,Internal Counterparty,text
Supplemental,Informational,Business Line,text
Supplemental,Derivatives & Collateral,Reporting Entity,text
Supplemental,Derivatives & Collateral,Product,text
Supplemental,Derivatives & Collateral,Sub-Product,text
Supplemental,Derivatives & Collateral,Sub-Product2,text
Supplemental,Derivatives & Collateral,Market Value,numeric
Supplemental,Derivatives & Collateral,Collateral Class,text
Supplemental,Derivatives & Collateral,Collateral Level,text
Supplemental,Derivatives & Collateral,Counterparty,text
Supplemental,Derivatives & Collateral,G-SIB,text
Supplemental,Derivatives & Collateral,Effective Maturity Bucket,text
Supplemental,Derivatives & Collateral,Encumbrance Type,text
Supplemental,Derivatives & Collateral,Netting Eligible,text
Supplemental,Derivatives & Collateral,Treasury Control,text
Supplemental,Derivatives & Collateral,Internal,text
Supplemental,Derivatives & Collateral,Internal Counterparty,text
Supplemental,Derivatives & Collateral,Business Line,text
Supplemental,Liquidity Risk Measurement,Reporting Entity,text
Supplemental,Liquidity Risk Measurement,Product,text
Supplemental,Liquidity Risk Measurement,Market Value,numeric
Supplemental,Liquidity Risk Measurement,Collateral Class,text
Supplemental,Liquidity Risk Measurement,Internal,text
Supplemental,Liquidity Risk Measurement,Internal Counterparty,text
Supplemental,Balance Sheet,Reporting Entity,text
Supplemental,Balance Sheet,Collection Reference,text
Supplemental,Balance Sheet,Product,text
Supplemental,Balance Sheet,Product Reference,text
Supplemental,Balance Sheet,Sub-Product Reference,text
Supplemental,Balance Sheet,Collateral Class,text
Supplemental,Balance Sheet,Maturity Bucket,text
Supplemental,Balance Sheet,Effective Maturity Bucket,text
Supplemental,Balance Sheet,Encumbrance Type,text
Supplemental,Balance Sheet,Market Value,numeric
Supplemental,Balance Sheet,Maturity Amount,numeric
Supplemental,Balance Sheet,Collateral Value,numeric
Supplemental,Balance Sheet,Counterparty,text
Supplemental,Balance Sheet,G-SIB,text
Supplemental,Balance Sheet,Risk Weight,percent
Supplemental,Balance Sheet,Internal,text
Supplemental,Balance Sheet,Internal Counterparty,text
Supplemental,Foreign Exchange,Reporting Entity,text
Supplemental,Foreign Exchange,Product,text
Supplemental,Foreign Exchange,Maturity Amount Currency 1,numeric
Supplemental,Foreign Exchange,Maturity Amount Currency 2,numeric
Supplemental,Foreign Exchange,Maturity Bucket,text
Supplemental,Foreign Exchange,Foreign Exchange Option Direction,text
Supplemental,Foreign Exchange,Forward Start Amount Currency 1,numeric
Supplemental,Foreign Exchange,Forward Start Amount Currency 2,numeric
Supplemental,Foreign Exchange,Forward Start Bucket,text
Supplemental,Foreign Exchange,Counterparty,text
Supplemental,Foreign Exchange,G-SIB,text
Supplemental,Foreign Exchange,Settlement,text
Supplemental,Foreign Exchange,Business Line,text
Supplemental,Foreign Exchange,Internal,text
Supplemental,Foreign Exchange,Internal Counterparty,text
Supplemental,Comments,Reporting Entity,text
Supplemental,Comments,Collection,text
Supplemental,Comments,Product,text
Supplemental,Comments,Sub-Product,text
Supplemental,Comments,Comments,text
