Table Number,Description,Regulation Reference,RSF Factor,PID,Counterparty,Maturity Bucket,Key Conditions
72,Retail mortgages <= 50% risk weight >= 1Y,SS.106(a)(5)(i),65%,I.S.8,"Retail, Small Business",>= 1 Year,"Collateral Class = P-1; Risk Weight <= 0.5"
73,Other secured retail loans <= 20% risk weight >= 1Y,SS.106(a)(5)(ii),65%,I.S.8,"Retail, Small Business",>= 1 Year,"Collateral Class = Not P-1; Risk Weight <= 0.2"
74,Secured non-financial wholesale/CB loans <= 20% risk weight >= 1Y,SS.106(a)(5)(ii),65%,I.S.8,"Non-Financial Wholesale Entity, Central Bank",>= 1 Year,Risk Weight <= 0.2
75,SFTs <= 20% risk weight to non-financial customers >= 1Y,SS.106(a)(5)(ii),65%,"I.S.1, 2, 3, 5, 6, 7",Not Financial Sector Entity,>= 1 Year,Risk Weight <= 0.2
76,Unsecured loans <= 20% risk weight to non-financial customers >= 1Y,SS.106(a)(5)(ii),65%,"I.U.1, 2, 5, 6",Not Financial Sector Entity,>= 1 Year,Risk Weight <= 0.2
77,Retail mortgages > 50% risk weight >= 1Y,SS.106(a)(6)(i),85%,I.S.8,"Retail, Small Business",>= 1 Year,"Collateral Class = P-1; Risk Weight > 0.5"
78,Other secured retail loans > 20% risk weight >= 1Y,SS.106(a)(6)(ii),85%,I.S.8,"Retail, Small Business",>= 1 Year,"Collateral Class = Not P-1; Risk Weight > 0.2"
79,Secured non-financial wholesale/CB loans > 20% risk weight >= 1Y,SS.106(a)(6)(ii),85%,I.S.8,"Non-Financial Wholesale Entity, Central Bank",>= 1 Year,Risk Weight > 0.2
80,SFTs > 20% risk weight to non-financial customers >= 1Y,SS.106(a)(6)(ii),85%,"I.S.1, 2, 3, 5, 6, 7",Not Financial Sector Entity,>= 1 Year,Risk Weight > 0.2
81,Unsecured loans > 20% risk weight to non-financial customers >= 1Y,SS.106(a)(6)(ii),85%,"I.U.1, 2, 5, 6",Not Financial Sector Entity,>= 1 Year,Risk Weight > 0.2
82,Non-HQLA common equity shares,SS.106(a)(6)(iii),85%,"I.A.1, 2, 5, 7",N/A,#,"Collateral Class = E-1, E-2, E-3, E-4"
83,Other non-HQLA securities >= 1Y,SS.106(a)(6)(iv),85%,"I.A.1, 2, 3, 4, 5, 7",N/A,>= 1 Year,46 non-HQLA collateral classes listed
84,Commodities,SS.106(a)(6)(v),85%,"I.A.1, 2, 5, 7",N/A,#,Collateral Class = C-1
85,Secured lending to financial sector entities >= 1Y,SS.106(a)(7),100%,"I.S.1, 2, 3, 5, 6, 7, 8",Financial Sector Entity,>= 1 Year,
86,Unsecured lending to financial sector entities >= 1Y,SS.106(a)(7),100%,"I.U.1, 2, 4, 5, 6, 8",Financial Sector Entity,>= 1 Year,
87,Physical property and other assets,SS.106(a)(7),100%,"I.A.1, 2, 5, 7",N/A,#,"Collateral Class = P-1, P-2, Z-1"
88,Other assets,SS.106(a)(7),100%,S.B.4,#,#,Balance Sheet table; Effective Maturity Bucket < 1Y or NULL
89,Nonperforming assets,SS.106(b),100%,S.B.3,#,#,Balance Sheet table
