Table Number,Table Name,LCR Section,PID,Product Type,Key Distinguishing Fields
125,Secured Lending L2B HQLA (Eff Mat<=30d),Section 33(f)(1)(v),"I.S.1,2,3,5,6,7,8",Inflows-Secured,"Eff Mat Bucket<=30d not Open, Collateral Class=Level 2B HQLA"
126,Secured Lending L2B HQLA (Eff Mat NULL Unenc=Y TC=Y),Section 33(f)(1)(v),"I.S.1,2,3,5,6,7,8",Inflows-Secured,"Eff Mat Bucket=NULL, Level 2B HQLA, Unenc=Y, TC=Y"
127,Secured Lending Non-HQLA,Section 33(f)(1)(vi),"I.S.1,2,3,6,7,8",Inflows-Secured,"Eff Mat Bucket<=30d not Open, Collateral Class=Non-HQLA"
128,Margin Loans for Non-HQLA,Section 33(f)(1)(vii),I.S.5,Inflows-Secured,"Eff Mat Bucket<=30d or NULL not Open, Collateral Class=Non-HQLA"
129,Asset Exchange Collateral Rehyp Not Returning 30d,Section 33(f)(2)(i),I.S.4,Inflows-Secured,"Sub-Product=*, Eff Mat Bucket=>30d or Open"
130,Asset Exchange Post L1 Receive L1,Section 33(f)(2)(ii),I.S.4,Inflows-Secured,"Sub-Product=Level 1 HQLA, Collateral Class=Level 1 HQLA"
131,Asset Exchange Post L2A Receive L1,Section 33(f)(2)(iii),I.S.4,Inflows-Secured,"Sub-Product=Level 1 HQLA, Collateral Class=Level 2A HQLA"
132,Asset Exchange Post L2B Receive L1,Section 33(f)(2)(iv),I.S.4,Inflows-Secured,"Sub-Product=Level 1 HQLA, Collateral Class=Level 2B HQLA"
133,Asset Exchange Post Non-HQLA Receive L1,Section 33(f)(2)(v),I.S.4,Inflows-Secured,"Sub-Product=Level 1 HQLA, Collateral Class=Non-HQLA or Other"
134,Asset Exchange Post L2A Receive L2A,Section 33(f)(2)(vi),I.S.4,Inflows-Secured,"Sub-Product=Level 2A HQLA, Collateral Class=Level 2A HQLA"
135,Asset Exchange Post L2B Receive L2A,Section 33(f)(2)(vii),I.S.4,Inflows-Secured,"Sub-Product=Level 2A HQLA, Collateral Class=Level 2B HQLA"
136,Asset Exchange Post Non-HQLA Receive L2A,Section 33(f)(2)(viii),I.S.4,Inflows-Secured,"Sub-Product=Level 2A HQLA, Collateral Class=Non-HQLA or Other"
137,Asset Exchange Post L2B Receive L2B,Section 33(f)(2)(ix),I.S.4,Inflows-Secured,"Sub-Product=Level 2B HQLA, Collateral Class=Level 2B HQLA"
138,Asset Exchange Post Non-HQLA Receive L2B,Section 33(f)(2)(x),I.S.4,Inflows-Secured,"Sub-Product=Level 2B HQLA, Collateral Class=Non-HQLA or Other"
139,Broker-Dealer Segregated Account Inflow,Section 33(g),I.O.5,Inflows-Other,Maturity Bucket<=30 calendar days
140,Other Cash Inflow Amount,Section 33(h),I.O.9,Inflows-Other,"Maturity Bucket<=30d not Open, Forward Start=NULL"
