Table 11: Counterparty Credit Risk Exposures by Risk Weight and Category,,,,,,,June 30 2024
(in millions except ratios),,,,,,Exposure-weighted average,
PD Range (percentage),,Exposure at Default,Advanced Approach RWAs,PD (%),LGD,Risk Weight
OTC Derivatives & Repo-Style Transactions,,,,,,
0.00 to < 0.05,,$6552,$1696,0.03,45.86,25.89
0.05 to < 0.25,,$56886,$14921,0.10,43.41,26.23
0.25 to < 1.50,,$12803,$8830,0.70,40.33,68.97
1.50 to < 5.00,,$1410,$1152,2.79,27.12,81.70
5.00 to < 13.50,,$94,$178,12.34,41.04,189.36
13.50 to < 100,,--,--,--,--,--
100 (default),,$1,$1,100.00,23.34,106.00
Default Fund Contribution,,$2240,$886,--,--,39.55
Margin Loans,,$4562,$2729,--,--,59.82
Cleared Transactions,,$18048,$390,--,--,2.16
Unsettled Trades,,$249,$628,--,--,252.21
Total Counterparty Credit Risk Exposures,,$102845,$31411,0.26,42.81,30.54
