Table 16: Capital Requirements by Risk Weight for Equity Exposures,,,,June 30 2024
(in millions),,Carrying Value,Exposure at Default,Advanced Approach RWAs
Simple Risk Weight Approach (SRWA),,,,
0% - Federal Reserve stock and Sovereign exposures,,$3538,$7061,--
20% - Federal Home Loan Bank exposures,,$583,$583,$124
100% - Community development equity exposures,,$13070,$13767,$14593
100% - Effective portion of hedge pairs,,$6095,$6044,$6406
100% - Non-significant equity exposures,,$10566,$17292,$18330
250% - Significant investments in unconsolidated financial institutions,,$2001,$2541,$6733
400% - Non-publicly traded equity exposures,,$348,$417,$1768
600% risk-weight equity exposures,,--,--,--
Equity Exposures to Investment Funds,,,,
Full look-through approach,,$12037,$12683,$2166
Alternative modified look-through approach,,$1127,$1128,$383
Total Equity Exposures,,$49365,$61516,$50503
