Table 9a: Counterparty Credit Risk Exposures,,,June 30 2024
(in millions),,Over the Counter,Centrally Cleared & Exchange Traded
Derivatives:,,,
Gross positive fair value,,$69323,$7876
Counterparty netting benefit,,$-45758,$-5677
Net current credit exposure,,$23565,$2199
Collateral benefit,,$-9076,--
Net unsecured credit exposure,,$14489,$2199
Securities financing transactions:,,,
Gross notional exposure,,$268148,$61924
Netting and collateral benefit,,$-259871,$-61855
Net unsecured credit exposure,,$8277,$69
