Table 6: Credit Risk Assessment of Retail Exposures by Probability of Default Grades,,,,,,,,June 30 2024
(in millions except ratios),,,,,,Exposure-weighted average,,
PD Range (percentage),Balance Sheet Amount,Undrawn Commitments,Exposure at Default,Advanced Approach RWAs,PD (%),LGD,Risk Weight
Residential mortgage - first lien:,,,,,,,,
0.00 to < 0.10,$210504,--,$210504,$15592,0.10,30.15,7.41
0.10 to < 0.25,$12833,$1754,$14236,$2021,0.23,30.49,14.20
0.25 to < 1.00,$5492,--,$5492,$1473,0.55,30.61,26.82
1.00 to < 5.00,$4039,--,$4039,$2550,2.55,28.28,63.13
5.00 to < 10.00,$2417,$60,$2477,$2783,7.62,26.18,112.35
10.00 to < 100.00,$2442,$62,$2504,$3190,32.28,23.26,127.40
100 (default),$5881,--,$5881,$3380,100.00,22.17,57.47
Total residential mortgage - first lien,$243608,$1876,$245133,$30989,2.96,29.84,12.64
Residential mortgage - junior lien:,,,,,,,,
0.00 to < 0.10,$172,--,$172,$27,0.08,77.34,15.70
0.10 to < 0.25,$12,--,$12,$3,0.23,57.13,25.00
0.25 to < 1.00,$153,--,$152,$84,0.62,60.95,55.26
1.00 to < 5.00,$113,--,$113,$189,2.41,74.24,167.26
5.00 to < 10.00,$25,--,$25,$77,7.49,72.27,308.00
10.00 to < 100.00,$17,--,$18,$64,30.35,68.48,355.56
100 (default),$36,--,$40,$40,100.00,66.97,100.00
Total residential mortgage - junior lien,$528,--,$532,$484,9.47,70.23,90.98
Residential mortgage - revolving:,,,,,,,,
0.00 to < 0.10,$3160,$23377,$10462,$1047,0.04,81.81,10.01
0.10 to < 0.25,$5418,$1285,$5632,$1856,0.19,81.34,32.95
0.25 to < 1.00,$2847,$1101,$3170,$3116,0.87,81.52,98.30
1.00 to < 5.00,$1195,$13,$1208,$2490,2.94,81.11,206.13
5.00 to < 10.00,$125,$12,$128,$458,7.54,83.78,357.81
10.00 to < 100.00,$323,$22,$333,$1548,24.29,82.24,464.86
100 (default),$617,$29,$636,$674,100.00,80.02,105.97
Total residential mortgage - revolving,$13685,$25839,$21569,$11189,3.73,81.57,51.88
Qualifying revolving:,,,,,,,,
0.00 to < 0.25,$5138,$119302,$53380,$2448,0.07,98.68,4.59
0.25 to < 1.00,$19416,$43606,$40206,$9478,0.52,98.93,23.57
1.00 to < 2.50,$8114,$5064,$10797,$6080,1.57,98.62,56.31
2.50 to < 5.00,$12862,$3504,$15446,$14181,3.11,98.99,91.81
5.00 to < 10.00,$6385,$768,$7393,$12168,7.56,99.42,164.59
10.00 to < 100.00,$3790,$272,$4198,$10622,45.42,98.96,253.03
100 (default),$1,--,$1,$1,100.00,98.96,106.00
Total qualifying revolving,$55706,$172516,$131421,$54978,2.56,98.84,41.83
Other retail:,,,,,,,,
0.00 to < 0.25,$27216,$15959,$36442,$6611,0.11,65.89,18.14
0.25 to < 1.00,$23543,$2644,$25084,$13472,0.58,64.79,53.71
1.00 to < 2.50,$12254,$1613,$13623,$12411,1.66,70.23,91.10
2.50 to < 5.00,$5670,$276,$5842,$6512,3.74,72.47,111.47
5.00 to < 10.00,$2819,$106,$2913,$3486,7.47,71.70,119.67
10.00 to < 100.00,$3633,$49,$3711,$5870,28.16,72.14,158.18
100 (default),$343,--,$431,$413,100.00,51.42,95.82
Total other retail,$75478,$20647,$88046,$48775,2.64,67.09,55.40
Total Retail Exposures,$389005,$220878,$486701,$146415,2.83,57.56,30.08
