Table 8: Expected Credit Loss,,,,,,
(in millions),,,,Quarter ended,
,Jun 30 2024,Mar 31 2024,Dec 31 2023,Sep 30 2023,Jun 30 2023
Commercial (Wholesale) loans:,,,,,
Commercial and industrial,$1651,$1609,$1576,$1557,$1495
Real estate mortgage,$1481,$1444,$1774,$1629,$1121
Real estate construction,$255,$243,$241,$277,$263
Lease financing,$124,$107,$108,$110,$104
Total Commercial (Wholesale) ECL,$3511,$3403,$3699,$3573,$2983
Consumer (Retail) loans:,,,,,
Residential mortgage - first lien,$365,$369,$373,$374,$359
Residential mortgage - junior lien,$94,$98,$101,$102,$103
Credit card,$3272,$3188,$3025,$2873,$2683
Auto,$645,$640,$543,$584,$628
Other consumer,$312,$313,$332,$311,$302
Total Consumer (Retail) ECL,$4688,$4608,$4374,$4244,$4075
Total Loan ECL,$8199,$8011,$8073,$7817,$7058
Non-loan ECL,$184,$173,$171,$171,$181
Total ECL,$8383,$8184,$8244,$7988,$7239
