Table 3: Total Regulatory Capital Base,,June 30 2024
(in millions),,Risk-Based Capital
Common stock plus related surplus net of treasury stock,,$-34597
Retained earnings,,$207281
Accumulated other comprehensive income (AOCI),,$-12721
Common Equity Tier 1 capital (CET1) before regulatory adjustments and deductions,,$159963
"Less: Goodwill (net of associated deferred taxes)",,$25206
"Other (includes intangibles, net gain/loss on cash flow hedges)",,$568
CECL transition provision,,$60
Total adjustments and deductions for Common Equity Tier 1 capital,,$25714
CET1 capital,,$134249
Additional Tier 1 capital instruments plus related surplus,,$16467
"Less: Total additional Tier 1 capital deductions",,$169
Additional Tier 1 capital,,$16298
Tier 1 capital,,$150547
Tier 2 capital before regulatory adjustments and deductions,,$22731
"Less: Total Tier 2 capital deductions",,$351
Tier 2 capital,,$22380
Total capital,,$172927
