Table 1: Capital Components and Ratios Under Basel III,,,,,June 30 2024
"(in millions, except ratios)",CECL Transition,,CECL Fully Phased-In,
,Advanced Approach,Standardized Approach,Advanced Approach,Standardized Approach
Common Equity Tier 1 Capital,$134249,$134249,$134205,$134205
Tier 1 Capital,$150547,$150547,$150504,$150504
Total Capital,$172927,$183201,$172883,$183157
Risk-Weighted Assets,$1093025,$1219533,$1093239,$1219439
Common Equity Tier 1 Capital Ratio,12.28%,11.01%*,12.28%,11.01%
Tier 1 Capital Ratio,13.77%,12.34%*,13.77%,12.34%
Total Capital Ratio,15.82%,15.02%*,15.81%,15.02%
"* Denotes the binding capital ratio under the Advanced and Standardized Approaches.",,,,
