Schedule,Item,Description,Col_A_RCON,Col_B_RCON,Col_C_RCON,Notes
RC-N,1.a.(1),1-4 family residential construction loans,F172,F174,F176,Past due 30-89 / 90+ / Nonaccrual
RC-N,1.a.(2),Other construction and land development loans,F173,F175,F177,
RC-N,1.b.,Secured by farmland,3493,3494,3495,
RC-N,1.c.(1),Revolving open-end loans secured by 1-4 family residential,5398,5399,5400,
RC-N,1.c.(2)(a),Closed-end first liens on 1-4 family residential,C236,C237,C229,
RC-N,1.c.(2)(b),Closed-end junior liens on 1-4 family residential,C238,C239,C230,
RC-N,1.d.,Secured by multifamily (5+) residential,3499,3500,3501,
RC-N,1.e.(1),Loans secured by owner-occupied nonfarm nonresidential,F178,F180,F182,
RC-N,1.e.(2),Loans secured by other nonfarm nonresidential,F179,F181,F183,
RC-N,2.,Loans to depository institutions and acceptances of other banks,B834,B835,B836,
RC-N,4.,Commercial and industrial loans,1606,1607,1608,
RC-N,5.a.,Credit cards,B575,B576,B577,
RC-N,5.b.,Automobile loans,K213,K214,K215,
RC-N,5.c.,Other consumer loans,K216,K217,K218,
RC-N,7.,All other loans,5459,5460,5461,Includes ag production + state/local + nondepository FI loans
RC-N,8.,Lease financing receivables,1226,1227,1228,
RC-N,9.,Total loans and leases (sum of items 1-8),1406,1407,1403,
RC-N,10.,Debt securities and other assets,3505,3506,3507,Exclude OREO and repossessed assets
RC-N,11.,Loans wholly or partially guaranteed by U.S. Government,K036,K037,K038,
RC-N,11.a.,Guaranteed portion excluding rebooked GNMA loans,K039,K040,K041,
RC-N,11.b.,Rebooked GNMA loans,K042,K043,K044,
RC-N,12.,Portion protected by FDIC loss-sharing agreements,K102,K103,K104,
